セクション,項目,银河星舰7 2025款 55km 启航版,银河星舰7 2025款 55km 探索版,银河星舰7 2025款 120km 启航+版,银河星舰7 2025款 120km 探索+版,银河星舰7 2025款 120km 领航版,银河星舰7 2026款 纯电 基本型,银河星舰7 2026款 甲醇插电式混合动力
基本参数,油电综合燃料消耗量(L/100km),-,-,2.71,2.71,2.71,-,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,-,-
基本参数,整备质量(kg),1610,1610,1724,1724,1724,1760,1645
基本参数,最大满载质量(kg),2010,2010,2144,2144,2144,2219,2035
车身,长度(mm),4740,4740,4740,4740,4740,4750,4740
车身,宽度(mm),1905,1905,1905,1905,1905,1905,1905
车身,高度(mm),1685,1685,1685,1685,1685,1680,1675
车身,轴距(mm),2755,2755,2755,2755,2755,2755,2755
车身,前轮距(mm),1635,1635,1635,1635,1625,1635,1635
车身,后轮距(mm),1635,1635,1635,1635,1625,1635,1635
车身,接近角(°),18,18,18,18,18,16,17
车身,离去角(°),20,20,20,20,20,19,19
车身,最小转弯半径(m),5.3,5.3,5.3,5.3,5.3,-,-
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,51,-,-
车身,后备厢容积(L),528-2065,528-2065,528-2065,528-2065,528-2065,-,-
车身,风阻系数(Cd),0.288,0.288,0.288,0.288,0.288,-,-
发动机,发动机型号,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,-,BHE15-BFDM
发动机,排量(mL),1499,1499,1499,1499,1499,-,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,-,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-
发动机,发动机布局,横置,横置,横置,横置,横置,-,-
发动机,气缸排列形式,L,L,L,L,L,-,-
发动机,气缸数(个),4,4,4,4,4,-,-
发动机,每缸气门数(个),4,4,4,4,4,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,-,-
发动机,最大马力(Ps),112,112,112,112,112,-,126
发动机,最大功率(kW),82,82,82,82,82,-,93
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,-,-
发动机,最大扭矩(N·m),136,136,136,136,136,-,-
发动机,最大扭矩转速(rpm),4000-5000,4000-5000,4000-5000,4000-5000,4000-5000,-,-
发动机,最大净功率(kW),79,79,79,79,79,-,90
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,-,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,-,-
电动机,前电动机品牌,-,-,-,-,-,星驱动力,-
电动机,前电动机型号,TZ220WY075,TZ220WY075,TZ220WY075,TZ220WY075,TZ220WY075,TZ184XY101,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-
电动机,电动机总功率(kW),160,160,160,160,160,160,-
电动机,电动机总马力(Ps),218,218,218,218,218,218,-
电动机,电动机总扭矩(N·m),262,262,262,262,262,-,-
电动机,前电动机最大功率(kW),160,160,160,160,160,160,-
电动机,前电动机最大扭矩(N·m),262,262,262,262,262,-,-
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,-
电动机,电机布局,前置,前置,前置,前置,前置,前置,-
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 中创新航,● 中创新航,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源,● 蜂巢能源,● 中创新航
电池/充电,电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,-,-
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,-,-
电池/充电,WLTC纯电续航里程(km),45,45,101,101,101,-,-
电池/充电,CLTC纯电续航里程(km),55,55,120,120,120,-,-
电池/充电,CLTC综合续航(km),1355,1355,1420,1420,1420,-,-
电池/充电,电池能量(kWh),8.5,8.5,19.09,19.09,19.09,-,-
电池/充电,百公里耗电量(kWh/100km),11,11,14.8,14.8,14.8,-,-
电池/充电,快充功能,-,-,支持,支持,支持,-,-
电池/充电,快充功率(kW),-,-,36,36,36,-,-
电池/充电,电池快充时间(小时),-,-,0.33,0.33,0.33,-,-
电池/充电,电池快充电量范围(%),-,-,30-80,30-80,30-80,-,-
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,-,-
电池/充电,快充接口位置,-,-,车右后侧,车右后侧,车右后侧,-,-
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,-,-
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,电动车单速变速箱,-
变速箱,挡位个数,1,1,1,1,1,1,-
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),固定齿比变速箱,-
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,-
底盘转向,后悬架类型,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,-
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,225/55 R17 225/55 R18 (1200元),● 225/55 R18,● 225/55 R18,● 225/55 R18,225/55 R18 235/50 R19 (3000元),● 225/55 R18,● 215/60 R17
车轮制动,后轮胎规格,225/55 R17 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,225/55 R18 235/50 R19,● 225/55 R18,● 215/60 R17
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-,-
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,-,-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-,-
主动安全,ABS防抱死,●,●,●,●,●,-,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,-,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,-,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-,-
主动安全,安全带未系提醒,●,●,●,●,●,-,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,-,-
主动安全,车道偏离预警系统,-,○,-,●,●,-,-
主动安全,主动刹车/主动安全系统,-,○,-,●,●,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-
主动安全,DOW开门预警,-,-,-,-,●,-,-
主动安全,前方碰撞预警,-,○,-,●,●,-,-
主动安全,后方碰撞预警,-,-,-,-,●,-,-
主动安全,哨兵模式/千里眼,-,-,●,●,●,-,-
主动安全,低速行车警告,●,●,●,●,●,-,-
主动安全,内置行车记录仪,○,○,○,○,○,-,-
主动安全,防侧翻系统,●,●,●,●,●,-,-
驾驶操控,驾驶模式切换,● 运动 标准/舒适,● 运动 标准/舒适,● 运动 标准/舒适,● 运动 标准/舒适,● 运动 标准/舒适,-,-
驾驶操控,能量回收系统,●,●,●,●,●,-,-
驾驶操控,自动驻车,●,●,●,●,●,-,-
驾驶操控,上坡辅助,●,●,●,●,●,-,-
驾驶操控,陡坡缓降,●,●,●,●,●,-,-
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前 / 后,● 前- / 后,● 前 / 后,● 前 / 后,-,-
驾驶硬件,驾驶辅助影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,-,-
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,-,-
驾驶硬件,前方感知摄像头,-,○ 单目,-,● 单目,● 单目,-,-
驾驶硬件,摄像头数量,● 4个,4个 5个,● 4个,● 5个,● 5个,-,-
驾驶硬件,超声波雷达数量,● 3个,● 5个,● 3个,● 5个,● 5个,-,-
驾驶硬件,毫米波雷达数量,-,-,-,-,● 2个,-,-
驾驶功能,巡航系统,● 定速巡航,定速巡航 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,-,-
驾驶功能,辅助驾驶等级,-,○ L2 (2500元),-,● L2,● L2,-,-
驾驶功能,倒车车侧预警系统,-,-,-,-,●,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,-,-
驾驶功能,导航路况信息显示,●,●,●,●,●,-,-
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,-,-
驾驶功能,并线辅助,-,-,-,-,●,-,-
驾驶功能,车道保持辅助系统,-,○,-,●,●,-,-
驾驶功能,车道居中保持,-,○,-,●,●,-,-
驾驶功能,道路交通标识识别,-,○,-,●,●,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,-,-
外观/防盗,电动后备厢,-,●,-,●,●,-,-
外观/防盗,电动后备厢位置记忆,-,●,-,●,●,-,-
外观/防盗,车顶行李架,●,●,●,●,●,-,-
外观/防盗,发动机电子防盗,●,●,●,●,●,-,-
外观/防盗,车内中控锁,●,●,●,●,●,-,-
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,-,-
外观/防盗,无钥匙启动系统,●,●,●,●,●,-,-
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,-,-
外观/防盗,远程启动功能,●,●,●,●,●,-,-
外观/防盗,电池预加热,●,●,●,●,●,-,-
外观/防盗,对外放电,●,●,●,●,●,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,LED日间行车灯,●,●,●,●,●,-,-
车外灯光,自适应远近光,-,○,-,●,●,-,-
车外灯光,自动头灯,●,●,●,●,●,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,-,-
车外灯光,大灯延时关闭,●,●,●,●,●,-,-
天窗/玻璃,天窗类型,-,● 可开启全景天窗,○ 可开启全景天窗 (3000元),● 可开启全景天窗,● 可开启全景天窗,-,-
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-,-
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,-,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,-,-
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,-,-
天窗/玻璃,后雨刷,●,●,●,●,●,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,-
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,-,-
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,-,-
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,-,-
屏幕/系统,手机互联/映射,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持HUAWEI HiCar 支持Carlink 支持Flyme link,-,-
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调 天窗,多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,-,-
屏幕/系统,语音免唤醒词,●,●,●,●,●,-,-
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,-
屏幕/系统,语音连续识别,●,●,●,●,●,-,-
屏幕/系统,DeepSeek应用,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,-,-
屏幕/系统,应用商店,●,●,●,●,●,-,-
屏幕/系统,车载智能系统,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,-,-
智能化配置,车联网,●,●,●,●,●,-,-
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,-,-
智能化配置,OTA升级,●,●,●,●,●,-,-
智能化配置,Wi-Fi热点,●,●,●,●,●,-,-
智能化配置,手机APP远程功能,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,-,-
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,-,-
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,-,-
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,-,-
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,-,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,-,-
方向盘/内后视镜,全液晶仪表盘,-,●,-,●,●,-,-
方向盘/内后视镜,液晶仪表尺寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,-,-
方向盘/内后视镜,HUD抬头数字显示,-,-,-,○ (2500元),●,-,-
方向盘/内后视镜,HUD抬头尺寸,-,-,-,○ 13.8英寸,● 13.8英寸,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,-,-
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,-,-
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,-,-
车内充电,手机无线充电功能,-,● 前排,-,● 前排,● 前排,-,-
车内充电,手机无线充电功率,-,● 50W,-,● 50W,● 50W,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,-,-
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),-,-
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,-,-
座椅配置,主/副驾驶座电动调节,● 主 / 副-,● 主 / 副,● 主 / 副-,● 主 / 副,● 主 / 副,-,-
座椅配置,前排座椅功能,-,加热 通风 头枕扬声器(仅驾驶位),○ 头枕扬声器(仅驾驶位),加热 通风 头枕扬声器(仅驾驶位),● 加热 通风 按摩 头枕扬声器(仅驾驶位),-,-
座椅配置,电动座椅记忆功能,-,-,-,-,● 驾驶位,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-,-
座椅配置,后排杯架,●,●,●,●,●,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,6喇叭 16喇叭 (8800元),6喇叭 16喇叭 (8800元),6喇叭 16喇叭 (8800元),6喇叭 16喇叭 (8800元),-,-
音响/车内灯光,车内环境氛围灯,-,-,-,-,● 256色,-,-
音响/车内灯光,主动式环境氛围灯,-,-,-,-,●,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,-,-
空调/冰箱,后排独立空调,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,-,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,-,-
颜色,外观颜色,初雪白 流月银 烟波灰 墨影黑,初雪白 流月银 烟波灰 墨影黑,初雪白 流月银 映天蓝 拂柳绿 烟波灰 墨影黑,初雪白 流月银 映天蓝 拂柳绿 烟波灰 墨影黑,初雪白 流月银 映天蓝 拂柳绿 烟波灰 墨影黑,-,-
颜色,内饰颜色,黑色/秋韵棕,黑色/秋韵棕,黑色/秋韵棕 黑色/映雪白,黑色/秋韵棕 黑色/映雪白,黑色/秋韵棕 黑色/映雪白,-,-
