セクション,項目,奥迪E5 Sportback 2026款 先锋型,奥迪E5 Sportback 2026款 先锋quattro型,奥迪E5 Sportback 2026款 先锋Plus型,奥迪E5 Sportback 2026款 旗舰quattro型
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,后备厢容积(L),347,347,347,347
车身,风阻系数(Cd),0.252,0.252,0.252,0.252
电动机,前电动机品牌,-,华域汽车,-,联合汽车
电动机,后电动机品牌,华域汽车,华域汽车,华域汽车,华域汽车
电动机,前电动机型号,-,TZ180XS0901,-,TZ180XS0952
电动机,后电动机型号,TZ210XS1191,TZ230XY1301,TZ230XY1251,TZ230XY1351
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),220,386,300,579
电动机,电动机总马力(Ps),299,525,408,787
电动机,电动机总扭矩(N·m),420,725,500,800
电动机,前电动机最大功率(kW),-,155,-,200
电动机,前电动机最大扭矩(N·m),-,250,-,300
电动机,后电动机最大功率(kW),220,231,300,379
电动机,后电动机最大扭矩(N·m),420,475,500,500
电动机,驱动电机数,单电机,双电机,单电机,双电机
电动机,电机布局,后置,前置+后置,后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),618,623,773,647
电池/充电,电池能量(kWh),76,83,100,100
电池/充电,百公里耗电量(kWh/100km),14,15.2,14.1,16.8
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.22,0.58,0.28,0.28
电池/充电,电池快充电量范围(%),10-80,10-80,10-80,10-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6.6,6.6,6.6,6.6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 双电机四驱,● 后置后驱,● 双电机四驱
底盘转向,四驱形式,-,● 电动四驱,-,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20",● 245/40 R20
车轮制动,后轮胎规格,"● 275/40 R19
○ 285/35 R20","● 275/40 R19
○ 285/35 R20","● 275/40 R19
○ 285/35 R20",● 285/35 R20
车轮制动,备胎规格,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,前排中间气囊,●,●,●,●
被动安全,被动行人保护,●,●,●,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●
主动安全,DOW开门预警,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,单踏板模式,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶操控,可变悬架功能,-,"○ 悬架软硬调节
○ 悬架高低调节","○ 悬架软硬调节
○ 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,-,○,○,●
驾驶操控,可变转向比,●,●,●,●
驾驶操控,整体主动转向系统,-,○,○,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●
驾驶硬件,辅助驾驶芯片,● 英伟达 Orin-X,● 英伟达 Orin-X,● 英伟达 Orin-X,● 英伟达 Orin-X
驾驶硬件,芯片总算力,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,"● 11个
○ 13个","● 11个
○ 13个","● 11个
○ 13个","● 11个
○ 13个"
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万
驾驶硬件,环境感知摄像头像素,● 200万,● 200万,● 200万,● 200万
驾驶硬件,环视摄像头像素,● 130万,● 130万,● 130万,● 130万
驾驶硬件,车内摄像头数量,"● 1个
○ 2个","● 1个
○ 2个","● 1个
○ 2个","● 1个
○ 2个"
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达数量,● 1个,● 1个,● 1个,● 1个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Momenta,● Momenta,● Momenta,● Momenta
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●
驾驶功能,记忆泊车,●,●,●,●
驾驶功能,辅助变道,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●
驾驶功能,信号灯识别,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●
驾驶功能,起步提醒,●,●,●,●
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,-,"○ 前排
○ 后排","○ 前排
○ 后排","● 前排
● 后排"
外观/防盗,自动开合车门,-,○,○,●
外观/防盗,无框设计车门,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,电池预加热,●,●,●,●
外观/防盗,对外放电,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,○ 矩阵式,○ 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●
车外灯光,转向头灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
车外灯光,场景灯语,-,○,○,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,光感天幕,-,○,○,●
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排
○ 全车","● 前排
● 后排
○ 全车","● 前排
● 后排
○ 全车",● 全车
天窗/玻璃,后排侧隐私玻璃,○,○,○,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
外后视镜,电子外后视镜功能,○,○,○,○
外后视镜,电子外后视镜显示屏,○ 双7英寸 (1.20万元),○ 双7英寸 (1.20万元),○ 双7英寸 (1.20万元),○ 双7英寸 (1.20万元)
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 27英寸,● 27英寸,● 27英寸,● 27英寸
屏幕/系统,中控屏幕分辨率,● 4032x756,● 4032x756,● 4032x756,● 4032x756
屏幕/系统,蓝牙/车载电话,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink"
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风"
屏幕/系统,语音助手唤醒词,● 你好，AUDI,● 你好，AUDI,● 你好，AUDI,● 你好，AUDI
屏幕/系统,语音免唤醒词,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●
屏幕/系统,面部识别,●,●,●,●
屏幕/系统,应用商店,●,●,●,●
屏幕/系统,车载智能系统,● AUDI OS,● AUDI OS,● AUDI OS,● AUDI OS
屏幕/系统,车机智能芯片,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295
屏幕/系统,车机系统内存(GB),● 24,● 24,● 24,● 24
屏幕/系统,车机系统存储(GB),● 256,● 256,● 256,● 256
屏幕/系统,多指飞屏操控,●,●,●,●
屏幕/系统,触屏振动反馈,●,●,●,●
智能化配置,车联网,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●
智能化配置,车内生物监测系统,○,○,○,○
智能化配置,手机APP远程功能,"● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
智能化配置,模拟声浪,-,-,-,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●
方向盘/内后视镜,方向盘记忆,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,○,○,○
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○,○,○,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 皮/翻毛材质混搭
座椅配置,运动风格座椅,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,"● 加热
● 通风
○ 按摩
○ 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
○ 头枕扬声器(仅驾驶位)","● 加热
● 通风
○ 按摩
○ 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,第二排座椅功能,○ 加热,○ 加热,○ 加热,● 加热
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ BOSE,○ BOSE,○ BOSE,● BOSE
音响/车内灯光,扬声器数量,"● 12喇叭
○ 18喇叭","● 12喇叭
○ 18喇叭","● 12喇叭
○ 18喇叭",● 18喇叭
音响/车内灯光,车内环境氛围灯,● 30色,● 30色,● 30色,● 30色
音响/车内灯光,主动式环境氛围灯,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●
空调/冰箱,后排独立空调,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●
空调/冰箱,负离子发生器,○,○,○,●
空调/冰箱,车内香氛装置,●,●,●,●
空调/冰箱,空气质量监测,●,●,●,●
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,20吋8辐铝合金曜黑轮毂升级包,○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元),-
选装包,奢享座舱升级包,○ 选配 (15000元),○ 选配 (15000元),○ 选配 (15000元),-
选装包,数智座舱升级包,-,○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元)
选装包,20吋8辐铝合金高定轮毂升级包,-,○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元)
选装包,数智先锋升级包,-,○ 选配 (25000元),○ 选配 (25000元),-
选装包,奢适驾享升级包,-,○ 选配 (25000元),○ 选配 (25000元),-
