セクション,項目,银河A7 2025款 EM-i 70km 豪享版,银河A7 2025款 EM-i 150km 尊享版,银河A7 2025款 EM-i 70km 启航版,银河A7 2025款 EM-i 70km 探索版,银河A7 2025款 EM-i 150km 远航版,银河A7 2025款 EM-i 150km 探索+版,银河A7 2025款 EM-i 150km 星舰版
车身,油箱容积(L),60,60,60,60,60,60,60
车身,后备厢容积(L),535-988,535-988,535-988,535-988,535-988,535-988,535-988
车身,风阻系数(Cd),0.229,0.229,0.229,0.229,0.229,0.229,0.229
发动机,发动机型号,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-BFN
发动机,排量(mL),1499,1499,1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),112,112,112,112,112,112,112
发动机,最大功率(kW),82,82,82,82,82,82,82
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000
发动机,最大扭矩(N·m),136,136,136,136,136,136,136
发动机,最大扭矩转速(rpm),4000-5000,4000-5000,4000-5000,4000-5000,4000-5000,4000-5000,4000-5000
发动机,最大净功率(kW),79,79,79,79,79,79,79
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ220WY075,TZ220WY075,TZ220WY075,TZ220WY075,TZ220WY075,TZ220WY075,TZ220WY075
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),175,175,175,175,175,175,175
电动机,电动机总马力(Ps),238,238,238,238,238,238,238
电动机,电动机总扭矩(N·m),262,262,262,262,262,262,262
电动机,前电动机最大功率(kW),175,175,175,175,175,175,175
电动机,前电动机最大扭矩(N·m),262,262,262,262,262,262,262
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 中创新航,● 宁德时代,● 中创新航,● 中创新航,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),55,120,55,55,120,120,120
电池/充电,CLTC纯电续航里程(km),70,150,70,70,150,150,150
电池/充电,电池能量(kWh),8.5,18.4,8.5,8.5,18.4,18.4,18.4
电池/充电,百公里耗电量(kWh/100km),-,12,-,-,12,12,12
电池/充电,快充功能,不支持,支持,不支持,不支持,支持,支持,支持
电池/充电,快充功率(kW),-,37,-,-,37,37,37
电池/充电,电池快充时间(小时),-,0.3,-,-,0.3,0.3,0.3
电池/充电,电池快充电量范围(%),-,30-80,-,-,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,-,车右后侧,-,-,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
变速箱,挡位个数,1,1,1,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/60 R17,● 225/55 R18,● 215/60 R17,● 215/60 R17,● 225/55 R18,● 225/55 R18,● 235/45 R19
车轮制动,后轮胎规格,● 215/60 R17,● 225/55 R18,● 215/60 R17,● 215/60 R17,● 225/55 R18,● 225/55 R18,● 235/45 R19
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压显示,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●
主动安全,内置行车记录仪,○ (798元),○ (798元),○ (798元),○ (798元),○ (798元),○ (798元),○ (798元)
驾驶操控,驾驶模式切换,●,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,-,● 地平线征程J6M,● 地平线征程J6M,● 地平线征程J6M,● 地平线征程J6M,● 地平线征程J6M
驾驶硬件,芯片总算力,-,-,● 128 TOPS,● 128 TOPS,● 128 TOPS,● 128 TOPS,● 128 TOPS
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 5个,● 5个,● 11个,● 11个,● 11个,● 11个,● 11个
驾驶硬件,车内摄像头数量,-,-,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 5个,● 5个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 2个,● 2个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,● 千里浩瀚,● 千里浩瀚,● 千里浩瀚,● 千里浩瀚,● 千里浩瀚
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,●,●,●,●,●
驾驶功能,遥控泊车,-,-,●,●,●,●,●
驾驶功能,记忆泊车,-,-,●,●,●,●,●
驾驶功能,辅助变道,-,-,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,-,●,●,●,●,●
驾驶功能,信号灯识别,-,-,●,●,●,●,●
驾驶功能,辅助驾驶路段,-,-,● 城市路段 高速路段,● 城市路段 高速路段,● 城市路段 高速路段,● 城市路段 高速路段,● 城市路段 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 可开启全景天窗,-,○ 可开启全景天窗 (2500元),● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸
屏幕/系统,中控屏幕分辨率,-,-,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,中控屏幕像素密度,-,-,● 196PPI,● 196PPI,● 196PPI,● 196PPI,● 196PPI
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link,● 支持CarPlay 支持HUAWEI HiCar 支持Carlink 支持Flyme link
屏幕/系统,语音识别控制系统,●,●,●,●,●,●,●
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●
屏幕/系统,语音连续识别,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●
屏幕/系统,面部识别,-,-,●,●,●,●,●
屏幕/系统,应用商店,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto
屏幕/系统,车机智能芯片,-,-,● 龍鹰一号,● 龍鹰一号,● 龍鹰一号,● 龍鹰一号,● 龍鹰一号
屏幕/系统,车机系统存储(GB),● 128,● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,车联网,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,-,○ (2500元),●
方向盘/内后视镜,HUD抬头尺寸,-,-,-,-,-,○ 16.6英寸,● 16.6英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排2个,● 前排2个/后排1个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,-,-,● 前排,● 前排
车内充电,手机无线充电功率,-,-,-,-,-,● 50W,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,-,● 主 / 副,-,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,○ 头枕扬声器(仅驾驶位),-,加热 通风 头枕扬声器(仅驾驶位),○ 头枕扬声器(仅驾驶位),加热 通风 头枕扬声器(仅驾驶位),加热 通风 按摩 头枕扬声器(仅驾驶位)
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,6喇叭 16喇叭 (8800元),● 6喇叭,6喇叭 16喇叭 (8800元),6喇叭 16喇叭 (8800元),6喇叭 16喇叭 (8800元),6喇叭 16喇叭 (8800元)
音响/车内灯光,车外扬声器数量,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭,● 1喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,● 256色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,●,-,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●
颜色,外观颜色,珐琅蓝 霜华银 玄玉黑 烟渚灰 砚雪白 天青灰,珐琅蓝 霜华银 玄玉黑 烟渚灰 砚雪白 天青灰,珐琅蓝 霜华银 玄玉黑 烟渚灰 砚雪白 天青灰,珐琅蓝 霜华银 玄玉黑 烟渚灰 砚雪白 天青灰,珐琅蓝 霜华银 玄玉黑 烟渚灰 砚雪白 天青灰,珐琅蓝 霜华银 玄玉黑 烟渚灰 砚雪白 天青灰,珐琅蓝 霜华银 玄玉黑 烟渚灰 砚雪白 天青灰
颜色,内饰颜色,黑色/秋韵棕 黑色/烟波灰,黑色/秋韵棕 黑色/烟波灰,黑色/秋韵棕 黑色/烟波灰,黑色/秋韵棕 黑色/烟波灰,黑色/秋韵棕 黑色/烟波灰,黑色/秋韵棕 黑色/烟波灰,黑色/秋韵棕 黑色/霁雪白 黑色/烟波灰
