セクション,セクション_ja,項目,項目_ja,2025年モデル 新锐 1.5L 出众新逸版,2025年モデル 新锐 1.5L 出众新愿版,2025年モデル 新锐 1.5L 新逸版,2025年モデル 新锐 1.5L 新愿版,2024年モデル 1.5L 自動得逸版,2024年モデル 1.5L 自動満逸版,2024年モデル 1.5L 自動五百万版,2024年モデル 1.5L 自動星空五百万版,2024年モデル 300TSI DSG 満逸版,2024年モデル 300TSI DSG 星空満逸版,2024年モデル 300TSI DSG 星空先進版,2024年モデル 300TSI DSG 永逸版,2024年モデル 300TSI DSG 星空永逸版,2023年モデル 新锐 1.5L 自動出众新逸版,2023年モデル 新锐 1.5L 自動出众新願版,2023年モデル 新锐 1.5L 自動新逸版,2023年モデル 新锐 1.5L 自動新願版
车身,車体,前轮距(mm),前トレッド(mm),1516,1516,1516,1516,1546,1546,1546,1546,1546,1546,1546,1546,1546,1516,1516,1516,1516
车身,車体,后轮距(mm),後トレッド(mm),1496,1496,1496,1496,1520,1520,1520,1520,1520,1520,1520,1520,1520,1496,1496,1496,1496
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,15,15,15,15,15,15,15,15,15,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17,14,14,14,14,14,14,14,14,14,17,17,17,17
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),42.5,42.5,42.5,42.5,51,51,51,51,51,51,51,51,51,42.5,42.5,42.5,42.5
车身,車体,后备厢容积(L),トランク容量(L),498,498,498,498,510,510,510,510,510,510,510,510,510,498,498,498,498
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DSV,EA211-DSV,EA211-DSV,EA211-DSV,EA211-DSV,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),110,110,110,110,110,110,110,110,160,160,160,160,160,110,110,110,110
发动机,エンジン,最大功率(kW),最大出力(kW),81,81,81,81,81,81,81,81,118,118,118,118,118,81,81,81,81
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6200,6200,6200,6200,6200,6200,6200,6200,5500,5500,5500,5500,5500,6200,6200,6200,6200
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),141,141,141,141,141,141,141,141,250,250,250,250,250,141,141,141,141
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4100,4100,4100,4100,4100,4100,4100,4100,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,4100,4100,4100,4100
发动机,エンジン,最大净功率(kW),最大出力(kW),81,81,81,81,81,81,81,81,118,118,118,118,118,81,81,81,81
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）
发动机,エンジン,最低燃油标号,最低燃料指定番号,-,-,-,-,-,-,-,-,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,直噴,直噴,直噴,直噴,直噴,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,6速AT,6速AT,6速AT,6速AT,6速AT,6速AT,6速AT,6速AT,7速乾式DCT,7速乾式DCT,7速乾式DCT,7速乾式DCT,7速乾式DCT,6速AT,6速AT,6速AT,6速AT
变速箱,トランスミッション,挡位个数,段数,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6
变速箱,トランスミッション,变速箱类型,トランスミッション形式,AT（手自一体）,AT（手自一体）,AT（手自一体）,AT（手自一体）,AT（手自一体）,AT（手自一体）,AT（手自一体）,AT（手自一体）,乾式DCT,乾式DCT,乾式DCT,乾式DCT,乾式DCT,AT（手自一体）,AT（手自一体）,AT（手自一体）,AT（手自一体）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● FF,● FF,● FF,● FF,● FF,● FF,● FF,● FF,● FF,● FF,● FF,● FF,● FF,● FF,● FF,● FF,● FF
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架,● トーションビーム非独立懸架
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ドラム,● ドラム,● ドラム,● ドラム
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 225/45 R17,● 225/45 R17,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 205/55 R16
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 205/55 R16,● 225/45 R17,● 225/45 R17,● 195/65 R15,● 205/55 R16,● 195/65 R15,● 205/55 R16
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 車両全体,● 車両全体,● 車両全体,● 車両全体
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,●,●,●,●,●,●,●,●,-,●,-,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ・エコノミー,● スポーツ・エコノミー,● スポーツ・エコノミー,● スポーツ・エコノミー,● スポーツ・エコノミー,● スポーツ,● スポーツ,● スポーツ,● スポーツ
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前席/後席,● 前席/後席,● 前席/後席,● 前/後,● 前/後,● 前/後,● 前/後
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● バックカメラ,-,● バックカメラ,-,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,-,● バックカメラ,-,● バックカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,-,● 2個,-,● 2個,-,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,-,● 2個,-,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 4個,● 8個,● 8個,● 8個,● 4個,● 4個,● 4個,● 4個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,-,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,-,-,-,-,-,-,-,-,-,● IQ.ドライブ,● IQ.ドライブ,-,-,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,-,-,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,-,-,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,-,-,-,-,●,●,-,-,●,●,●,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,-,-,-,-,●,●,-,-,●,●,●,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,●,●,●,●,●,●,●,●,-,●,-,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,-,-,-,-,-,-,○ スポーツスタイル,● スポーツスタイル,-,● スポーツスタイル,-,-,-,-
