セクション,項目,电动MINI COOPER 2025款 改款 466km COOPER E 经典派,电动MINI COOPER 2025款 463km COOPER SE 艺术家,电动MINI COOPER 2024款 452km COOPER SE 艺术家,电动MINI COOPER 2024款 452km COOPER SE 赛车手
驾驶硬件,车内摄像头数量,-,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,○ 1个,○ 1个,○ 1个
驾驶功能,巡航系统,● 定速巡航,"● 定速巡航
○ 全速自适应巡航","● 定速巡航
○ 全速自适应巡航","● 定速巡航
○ 全速自适应巡航"
驾驶功能,辅助驾驶等级,-,○ L2,○ L2,○ L2
驾驶功能,倒车车侧预警系统,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 腾讯,● 腾讯,● 腾讯,● 腾讯
驾驶功能,AR实景导航,-,○,○,○
驾驶功能,并线辅助,●,●,●,●
驾驶功能,车道保持辅助系统,-,○,○,○
驾驶功能,车道居中保持,-,○,○,○
驾驶功能,道路交通标识识别,-,○,○,○
驾驶功能,辅助泊车入位,●,●,●,●
驾驶功能,循迹倒车,●,●,●,●
外观/防盗,外观套件,-,-,-,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 全车,● 全车,● 全车
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,电池预加热,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,转向辅助灯,-,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
车外灯光,场景灯语,-,●,●,●
天窗/玻璃,天窗类型,-,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
天窗/玻璃,车窗一键升降功能,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
○ 电动折叠
○ 后视镜记忆
○ 后视镜加热
○ 倒车自动下翻
○ 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 9.4英寸,● 9.4英寸,● 9.4英寸,● 9.4英寸
屏幕/系统,中控屏幕类型,● OLED,● OLED,● OLED,● OLED
屏幕/系统,蓝牙/车载电话,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto"
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
屏幕/系统,语音助手唤醒词,● 你好，MINI,● 你好，MINI,● 你好，MINI,● 你好，MINI
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域
屏幕/系统,语音连续识别,●,●,●,●
屏幕/系统,应用商店,●,●,●,●
屏幕/系统,车机系统存储(GB),● 128,● 128,● 128,● 128
智能化配置,车联网,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
智能化配置,模拟声浪,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,-,-,-,-
方向盘/内后视镜,全液晶仪表盘,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-
方向盘/内后视镜,HUD抬头数字显示,-,○,○,○
方向盘/内后视镜,内后视镜功能,"● 手动防眩目
○ 自动防眩目",● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个,● 前排2个,● 前排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 皮/织物混搭,● 皮/织物混搭,● 皮/织物混搭,● 皮/织物混搭
座椅配置,运动风格座椅,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,主/副驾驶座电动调节,主 ○ / 副 ○,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,"○ 加热
○ 按摩(仅驾驶位)","● 加热
● 按摩(仅驾驶位)","● 加热
● 按摩(仅驾驶位)","● 加热
● 按摩(仅驾驶位)"
座椅配置,电动座椅记忆功能,○ 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
座椅配置,后排杯架,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,○ Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,● 6喇叭,"● 6喇叭
○ 10喇叭","● 6喇叭
○ 10喇叭","● 6喇叭
○ 10喇叭"
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-
空调/冰箱,温度分区控制,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,便捷舒适套装,○ 选配 (16000元),-,-,-
选装包,行车安全辅助套装,-,○ 选配 (20000元),○ 选配 (20000元),○ 选配 (20000元)
