セクション,セクション_ja,項目,項目_ja,2025年モデル 203km ライトエコモデル,2025年モデル 333km エンジョイモデル,2025年モデル 333km リンシーコネクトモデル,2025年モデル 333km リンシーラグジュアリーモデル,2025年モデル 410km リンシーラグジュアリーモデル,2024年モデル 203km ライトエコモデル,2024年モデル 333km エンジョイモデル,2024年モデル 333km リンシーコネクトモデル,2024年モデル 410km リンシーラグジュアリーモデル
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),41,68,68,68,68,41,68,68,68
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),3950×1708×1580,3950×1708×1580,3950×1708×1580,3950×1708×1580,3950×1708×1580,3950×1708×1580,3950×1708×1580,3950×1708×1580,3950×1708×1580
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),100,130,130,130,130,100,130,130,130
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.16,1.23,1.23,1.23,1.23,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1010,1155,1155,1155,1200,1010,1125,1140,1185
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1330,1495,1495,1495,1540,1330,1460,1460,1515
车身,車体,长度(mm),全長(mm),3950,3950,3950,3950,3950,3950,3950,3950,3950
车身,車体,宽度(mm),全幅(mm),1708,1708,1708,1708,1708,1708,1708,1708,1708
车身,車体,高度(mm),全高(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580
车身,車体,轴距(mm),ホイールベース(mm),2560,2560,2560,2560,2560,2560,2560,2560,2560
车身,車体,前轮距(mm),前トレッド(mm),1488,1488,1488,1488,1488,1488,1488,1488,1488
车身,車体,后轮距(mm),後トレッド(mm),1472,1472,1472,1472,1472,1472,1472,1472,1472
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,17,17,17,17,17
车身,車体,离去角(°),デパーチャーアングル(°),29,29,29,29,29,29,29,29,29
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 4人乗り,● 4人乗り,● 4人乗り,● 4人乗り,● 4人乗り,● 4人乗り,● 4人乗り,● 4人乗り,● 4人乗り
车身,車体,后备厢容积(L),トランク容量(L),350-1240,350-1240,350-1240,350-1240,350-1240,350-1240,350-1240,350-1240,350-1240
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,中車,中車/赛克,中車/赛克,中車/赛克,中車/双林,双林自動車,株洲中車時代,株洲中車時代,双林自動車
电动机,モーター,前电动机型号,前モーター型式,TZ155X230,TZ180XS250,TZ180XS250,TZ180XS250,TZ180XS250,TZ155X230,TZ180XS250,TZ180XS250,TZ180XS250
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),30,50,50,50,50,30,50,50,50
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),41,68,68,68,68,41,68,68,68
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),85,125,125,125,125,85,125,125,125
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),30,50,50,50,50,30,50,50,50
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),85,125,125,125,125,85,125,125,125
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン
电动机,モーター,三电系统质保,三電システム保証,● 8年または12万km保証,● 8年または12万km保証,● 8年または12万km保証,● 8年または12万km保証,● 8年または12万km保証,● 8年または12万km保証,● 8年または12万km保証,● 8年または12万km保証,● 8年または12万km保証
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 瑞浦赛克,"● 欣旺达
● 瑞浦赛克","● 欣旺达
● 瑞浦赛克","● 欣旺达
● 瑞浦赛克","● 国轩高科
● 正力新能",● 国轩高科,"● 欣旺达
● 瑞浦赛克","● 欣旺达
● 瑞浦赛克","● 国轩高科
● 正力新能"
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,神炼電池,神炼電池,神炼電池,神炼電池,神炼電池,-,-,-,-
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,空冷式,空冷式,空冷式,空冷式,空冷式,空冷式,空冷式,空冷式,空冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),203,333,333,333,410,203,333,333,410
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),17.3,31.9,31.9,31.9,37.9,17.3,31.9,31.9,37.9
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),125,125,125,125,127,125,125,125,127
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),10,10.6,10.6,10.6,10.6,-,-,-,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),5.5,9.5,9.5,9.5,12,5.5,9.5,9.5,12
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電容量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車左前側,車左前側,車左前側,車左前側,車左前側,車左前側,車左前側,車左前側,車左前側
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ドラム式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ドラム式,● ディスク式,● ディスク式,● ディスク式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 手動サイドブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 手動サイドブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ,● 185/60 R15タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席なし,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席なし,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,-,-,-,前席 ● / 後席なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),-,●,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,-,●,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,-,●,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,●,●,●,-,-,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコノミー
● 標準/快適モード","● スポーツ
● エコノミー
● 標準/快適モード","● スポーツ
● エコノミー
● 標準/快適モード","● スポーツ
● エコノミー
● 標準/快適モード","● スポーツ
● エコノミー
● 標準/快適モード","● スポーツ
● エコノミー
● 標準/快適モード","● スポーツ
● エコノミー
● 標準/快適モード","● スポーツ
● エコノミー
● 標準/快適モード","● スポーツ
● エコノミー
● 標準/快適モード"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,●,●,●,●,-,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,-,●,●,●,●,-,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席なし / 後席 ●,前席なし / 後席 ●,前席なし / 後席 ●,前席なし / 後席 ●,前席なし / 後席 ●,前席なし / 後席 ●,前席なし / 後席 ●,前席なし / 後席 ●,前席なし / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 1個,● 4個,● 4個,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 2個,● 2個,● 2個,● 2個,● 2個,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロール,-,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,-,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,●,●,●,-,-,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,●,●,●,-,-,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,● 高徳（地図アプリ）,● 高徳（地図アプリ）,● 高徳（地図アプリ）,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼,● 鋼,● 鋼,● 鋼,● 鋼,● 鋼,● 鋼,● 鋼,● 鋼
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,●,●,●,●,-,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,● 運転席,● 運転席,● 運転席,● 運転席,-,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,●,●,●,●,-,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● LED,● LED,● LED,● LED,● ハロゲン,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● LED,● LED,● LED,● LED,● ハロゲン,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,●,●,●,●,-,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,-,-,●,-,-,-,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,-,●,●,●,●,-,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウィンドウワンタッチアップ/ダウン,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウィンドウ挟み込み防止機能,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",● 運転席,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感知ワイパー機能,-,-,-,-,● 雨量感応式,-,-,-,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,"● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱",● 電動調整,"● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱","● 電動調整
● ドアミラー加熱"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,-,-,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,-,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,-,-,● 10.25インチ,● 10.25インチ,● 10.25インチ,-,-,● 10.25インチ,● 10.25インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン",-,-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,-,● こんにちは、小菱,● こんにちは、小菱,● こんにちは、小菱,-,-,● こんにちは、小菱,● こんにちは、小菱
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,-,-,● Ling OS,● Ling OS,● Ling OS,-,-,● Ling OS,● Ling OS
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,-,●,●,●,-,-,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,-,● 4G,● 4G,● 4G,-,-,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,●,●,●,-,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● 充電管理
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● 充電管理
● ライト操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● 充電管理
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● 充電管理
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● 充電管理
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● 充電管理
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● プラスチック,● レザー,● レザー,● プラスチック,● プラスチック,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式ロータリーシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト,● 電子式ロータリーシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 7インチ,● 7インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個,● 前席3個,● 前席4個,● 前席4個,● 前席4個,● 前席2個,● 前席2個,● 前席3個,● 前席3個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-
