セクション,項目,五菱缤果 2025款 203km 轻享款,五菱缤果 2025款 333km 悦享款,五菱缤果 2025款 333km 灵犀互联款,五菱缤果 2025款 333km 灵犀尊享款,五菱缤果 2025款 410km 灵犀尊享款,五菱缤果 2024款 203km 轻享款,五菱缤果 2024款 333km 悦享款,五菱缤果 2024款 333km 灵犀互联款,五菱缤果 2024款 410km 灵犀尊享款
电池/充电,电池能量(kWh),17.3,31.9,31.9,31.9,37.9,17.3,31.9,31.9,37.9
电池/充电,电池能量密度(Wh/kg),125,125,125,125,127,125,125,125,127
电池/充电,百公里耗电量(kWh/100km),10,10.6,10.6,10.6,10.6,-,-,-,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
电池/充电,电池慢充时间(小时),5.5,9.5,9.5,9.5,12,5.5,9.5,9.5,12
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 鼓式,● 盘式,● 盘式,● 盘式,● 盘式,● 鼓式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15
车轮制动,后轮胎规格,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15,● 185/60 R15
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副-,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副-,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,-,-,前 ● / 后-,前 ● / 后-,前 ● / 后-,-,-,-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,●,●,●,●,-,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),-,●,●,●,●,-,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),-,●,●,●,●,-,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,●,●,●,-,-,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,-,●,●,●,●,-,●,●,●
驾驶操控,上坡辅助,-,●,●,●,●,-,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,摄像头数量,● 1个,● 1个,● 1个,● 4个,● 4个,-,-,-,-
驾驶硬件,超声波雷达数量,● 2个,● 2个,● 2个,● 2个,● 2个,-,-,-,-
驾驶功能,巡航系统,-,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,-,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,卫星导航系统,-,-,●,●,●,-,-,●,●
驾驶功能,导航路况信息显示,-,-,●,●,●,-,-,●,●
驾驶功能,地图品牌,-,-,● 高德,● 高德,● 高德,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,-,●,●,●,●,-,●,●,●
外观/防盗,无钥匙进入功能,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,-,●,●,●,●,-,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● 卤素,● LED,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED
车外灯光,远光灯光源,● 卤素,● LED,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED
车外灯光,LED日间行车灯,-,●,●,●,●,-,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,●,-,-,-,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,●,●,●,●,-,●,●,●
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,● 主驾位,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",● 主驾位,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,● 雨量感应式,-,-,-,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热",● 电动调节,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热"
屏幕/系统,中控彩色屏幕,-,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,-,-,● 10.25英寸,● 10.25英寸,● 10.25英寸,-,-,● 10.25英寸,● 10.25英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,-,-,-,-,-,-,-,-,-
屏幕/系统,语音识别控制系统,-,-,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调",-,-,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
屏幕/系统,语音助手唤醒词,-,-,● 你好，小菱,● 你好，小菱,● 你好，小菱,-,-,● 你好，小菱,● 你好，小菱
屏幕/系统,车载智能系统,-,-,● Ling OS,● Ling OS,● Ling OS,-,-,● Ling OS,● Ling OS
智能化配置,车联网,-,-,●,●,●,-,-,●,●
智能化配置,4G/5G网络,-,-,● 4G,● 4G,● 4G,-,-,● 4G,● 4G
智能化配置,OTA升级,-,-,●,●,●,-,●,●,●
智能化配置,手机APP远程功能,"● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 皮质,● 皮质,● 塑料,● 塑料,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 电子式旋钮换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 7英寸,● 7英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,-,-,-,-,-,-,-,-,-
车内充电,多媒体/充电接口,● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排2个,● 前排3个,● 前排4个,● 前排4个,● 前排4个,● 前排2个,● 前排2个,● 前排3个,● 前排3个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 织物,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,主 ● / 副-,主 ● / 副-,-,-,主 ● / 副-,主 ● / 副-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,-,-,-,-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 2喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 2喇叭,● 4喇叭,● 4喇叭,● 4喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-,-,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–
