セクション,セクション_ja,項目,項目_ja,2026年モデル 437 ライトエディション,2026年モデル 437 コンフォートエディション,2026年モデル 437 フリーダムエディション,2026年モデル 530 スマートエディション,2026年モデル ハーフソリッドセーフティエディション
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),471-1362,471-1362,471-1362,471-1362,471-1362
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
电动机,モーター,前电动机品牌,前モーター ブランド,湖南中車時代,湖南中車時代,湖南中車時代,湖南中車時代,湖南中車時代
电动机,モーター,前电动机型号,前モーター 型式,TZ180XS1001,TZ180XS1001,TZ180XS1001,TZ180XS1001,TZ180XS1001
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),120,120,120,120,120
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),163,163,163,163,163
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),250,250,250,250,250
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),120,120,120,120,120
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),250,250,250,250,250
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証方針,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● ハーフソリッド電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 瑞浦蘭鈞,● 瑞浦蘭鈞,● 瑞浦蘭鈞,● 寧徳時代,● 清陶動力
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),437,437,437,530,530
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),42.8,42.8,42.8,53.9,53.9
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),10.4,10.4,10.4,11.9,11.9
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.33,0.33,0.33,0.35,0.35
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左前側,車両左前側,車両左前側,車両左前側,車両左前側
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左前側,車両左前側,車両左前側,車両左前側,車両左前側
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 195/60 R16,● 195/60 R16,● 205/50 R17,● 205/50 R17,● 205/50 R17
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 195/60 R16,● 195/60 R16,● 205/50 R17,● 205/50 R17,● 205/50 R17
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,● 前席/後席,● 前席/後席,● 前席/後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,●,●,●,●,●
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,-,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セキュリティモード/監視機能,-,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前-/後,● 前-/後,● 前-/後,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援用チップ,-,-,-,● 地平線征程J6E,● 地平線征程J6E
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,-,-,● 80 TOPS,● 80 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,-,● 単眼,● 単眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 1個,● 4個,● 4個,● 6個,● 6個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,-,-,-,● 800万,● 800万
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 3個,● 3個,● 3個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,-,-,-,● 3個,● 3個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,-,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,-,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況情報表示,-,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持機能,-,-,-,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,-,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,-,-,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,-,-,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,-,● 高速道路区間,● 高速道路区間
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,● スポーツスタイル,● スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー機能,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー・ブルートゥースキー,● リモコンキー・ブルートゥースキー,● リモコンキー・ブルートゥースキー,● リモコンキー・ブルートゥースキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキーエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,-,-,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,-,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 後方ミラー加熱機能,● 電動調整 後方ミラー加熱機能,● 電動調整 電動格納 後方ミラー加熱 鍵施錠時自動格納,● 電動調整 電動格納 後方ミラー加熱 鍵施錠時自動格納,● 電動調整 電動格納 後方ミラー加熱 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 720P,● 1080P,● 1080P,● 2.5K,● 2.5K
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● 純正連携／ミラーリング HUAWEI HiCar対応 Carlink対応,● 純正連携／ミラーリング HUAWEI HiCar対応 Carlink対応,● 純正連携／ミラーリング HUAWEI HiCar対応 Carlink対応,● 純正連携／ミラーリング HUAWEI HiCar対応 Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,●,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,● こんにちは、MG,● こんにちは、MG,● こんにちは、MG,● こんにちは、MG
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,-,● SAIC OS,● SAIC OS,● SAIC OS,● SAIC OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載機インテリジェントチップ,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載機システムメモリ(GB),● 4,● 12,● 12,● 12,● 12
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載機システムストレージ(GB),● 16,● 128,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,車載ネットワーク,-,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,-,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,-,● ドア操作 車両始動 車両位置特定／車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検・整備予約,● ドア操作 車両始動 車両位置特定／車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検・整備予約,● ドア操作 車両始動 車両位置特定／車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検・整備予約,● ドア操作 車両始動 車両位置特定／車両検索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検・整備予約
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● レザー調,● レザー調,● レザー調,● レザー調
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席3個／後席1個,● 前席3個／後席1個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 15W,● 15W,● 15W,● 15W,● 15W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 一体可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 256色,● 256色,● 256色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,-
颜色,カラー,外观颜色,外装色,ムーンライトホワイト アイランドブルー トウライパープル セイハスイ サンゴレッド ホシノグレー,ムーンライトホワイト アイランドブルー トウライパープル セイハスイ サンゴレッド ホシノグレー,ムーンライトホワイト アイランドブルー トウライパープル セイハスイ サンゴレッド ホシノグレー,ムーンライトホワイト アイランドブルー トウライパープル セイハスイ サンゴレッド ホシノグレー,ムーンライトホワイト アイランドブルー トウライパープル セイハスイ サンゴレッド ホシノグレー
颜色,カラー,内饰颜色,内装色,ローズパープル,ローズパープル タイザンブルー,ローズパープル タイザンブルー,ローズパープル タイザンブルー,ローズパープル タイザンブルー
选装包,オプションパッケージ,风挡前排防晒玻璃+后排隐私玻璃,フロントガラス前席日除けガラス＋後席プライバシーガラス,-,-,○ 含む：フロントガラス二重銀膜日除けガラス＋前席側面UV-IRコーティング日除けガラス＋後席プライバシーガラス オプション（無料）,○ 含む：フロントガラス二重銀膜日除けガラス＋前席側面UV-IRコーティング日除けガラス＋後席プライバシーガラス オプション（無料）,○ 含む：フロントガラス二重銀膜日除けガラス＋前席側面UV-IRコーティング日除けガラス＋後席プライバシーガラス オプション（無料）
