セクション,項目,奔驰GLB 2025款 GLB 200 动感型,奔驰GLB 2025款 GLB 200 时尚型,奔驰GLB 2025款 GLB 220 动感型,奔驰GLB 2025款 GLB 220 时尚型,奔驰GLB 2025款 GLB 220 4MATIC
车轮制动,后轮胎规格,● 235/55 R18,● 235/55 R18,● 235/55 R18,● 235/50 R19,● 235/50 R19
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,前 / 后 (3400元),● 前 / 后-,前 / 后 (3400元),前 / 后 (3400元)
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●
主动安全,内置行车记录仪,-,-,-,-,●
主动安全,道路救援呼叫,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,发动机启停技术,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶操控,陡坡缓降,-,-,-,-,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,倒车影像 360度全景影像 (6000元)
驾驶硬件,摄像头数量,● 2个,● 2个,● 2个,● 2个,2个 5个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2
驾驶功能,卫星导航系统,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,AR实景导航,-,-,-,-,●
驾驶功能,并线辅助,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●
驾驶功能,辅助变道,-,-,-,-,○
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●
外观/防盗,感应后备厢,-,-,○,○,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,-,○ 全车 (3900元),○ 全车 (3900元),● 全车
外观/防盗,远程启动功能,-,-,-,-,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,-,○ 几何多光束 (5400元),○ 几何多光束 (5400元)
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●
车外灯光,转向头灯,-,-,-,○,○
车外灯光,车前雾灯,-,-,-,-,● LED
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,后排侧隐私玻璃,-,-,-,-,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持Android Auto,● 支持CarPlay 支持Android Auto,● 支持CarPlay 支持Android Auto,● 支持CarPlay 支持Android Auto,● 支持CarPlay 支持Android Auto
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰
屏幕/系统,语音连续识别,●,●,●,●,●
屏幕/系统,车载智能系统,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX
智能化配置,车联网,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●
智能化配置,手机APP远程功能,● 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,○ (9000元)
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○ (3000元),○ (3000元),○ (3000元),○ (3000元),○ (3000元)
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排4个,● 前排3个/后排2个,● 前排3个/后排4个,● 前排3个/后排4个
车内充电,手机无线充电功能,-,-,-,-,● 前排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),前后调节 靠背调节 高低调节(4向) 腿托调节,● 前后调节 靠背调节 高低调节(4向) 腿托调节,● 前后调节 靠背调节 高低调节(4向) 腿托调节
座椅配置,主/副驾驶座电动调节,● 主 / 副-,● 主 / 副-,主 / 副 (2900元),● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,○ 加热 (2600元),○ 加热 (2600元),○ 加热 (2600元),● 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 前后调节 靠背调节,● 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,座椅布局,-,● 2-3-2,-,● 2-3-2,● 2-3-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,○ Burmester柏林之声 (8200元),○ Burmester柏林之声 (8200元),○ Burmester柏林之声 (8200元)
音响/车内灯光,扬声器数量,● 7喇叭,● 7喇叭,7喇叭 12喇叭,7喇叭 12喇叭,7喇叭 12喇叭
音响/车内灯光,车内环境氛围灯,○ 64色 (2400元),○ 64色 (2400元),● 64色,● 64色,● 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,○ (1500元)
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,○
颜色,外观颜色,曜岩黑 北极白 山灰色 时空银 熔岩红 ￥2600 海夜蓝,曜岩黑 北极白 山灰色 时空银 熔岩红 ￥2600 海夜蓝,曜岩黑 北极白 山灰色 时空银 熔岩红 ￥2600 哑光山灰色 ￥17300 海夜蓝,曜岩黑 北极白 山灰色 时空银 熔岩红 ￥2600 哑光山灰色 ￥17300 海夜蓝,曜岩黑 北极白 山灰色 时空银 熔岩红 ￥2600 哑光山灰色 ￥17300 海夜蓝
颜色,内饰颜色,黑色 黑色/可可棕,黑色 黑色/可可棕,黑色 黑色/可可棕,黑色 黑色/可可棕,黑色 黑色/可可棕
选装包,智驾套装1,-,-,○ 包含：可电动调节的前排乘客座椅、可加热前排座椅 选配 (4600元),-,-
