セクション,セクション_ja,項目,項目_ja,2019年モデル 1.6L MT 快適版 国V,2019年モデル 1.6L AT ファッショナブル版 国V,2019年モデル 1.6L MT スマートサンルーフ版 国V,2019年モデル 1.6L AT スマートコネクト版 国V,2019年モデル 1.6L MT 快適版 国VI,2019年モデル 1.6L AT ファッショナブル版 国VI,2019年モデル 1.6L MT スマートサンルーフ版 国VI,2019年モデル 1.6L AT スマートコネクト版 国VI,2018年モデル 1.6L MT 快適版 Smart,2018年モデル 1.6L MT スマートサンルーフ版 Value,2018年モデル 1.6L AT Smart,2018年モデル 1.6L AT スマートコネクト版 Value Connect,2018年モデル 1.6L AT スマートラグジュアリー版 Value Comfort,2016年モデル 1.6L MT GL,2016年モデル 1.6L AT GL,2016年モデル 1.6L MT GLS,2016年モデル 1.6L AT GLS,2014年モデル 1.6L MT GL,2014年モデル 1.6L AT GL,2014年モデル 1.6L MT GLS,2014年モデル 1.6L AT GLS,2014年モデル 1.6L AT プレミアム,2014年モデル 1.6L MT プレミアムスペシャル,2014年モデル 1.6L AT プレミアムスペシャル,2012年モデル 1.6L MT GL 記念版,2012年モデル 1.6L AT GL 記念版,2012年モデル 1.6L MT GLS 記念版,2012年モデル 1.6L AT GLS 記念版,2012年モデル 1.6L AT プレミアム 記念版,2011年モデル 1.6L MT GL,2011年モデル 1.6L AT GL,2011年モデル 1.6L MT GLS,2011年モデル 1.6L AT GLS,2011年モデル 1.6L AT プレミアム,2011年モデル 2.0L AT TOP,2009年モデル 1.6L MT GL,2009年モデル 1.6L AT GL,2009年モデル 1.6L MT GLS,2009年モデル 1.6L AT GLS,2009年モデル 1.6L AT プレミアム,2009年モデル 2.0L AT TOP
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,2.0L 156馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,1.6L 123馬力 直4,2.0L 156馬力 直4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4510×1750×1470（mm）,4560×1775×1460（mm）,4560×1775×1460（mm）,4560×1775×1460（mm）,4560×1775×1460（mm）,4560×1775×1460（mm）,4560×1775×1460（mm）,4560×1775×1460（mm）,4560×1775×1460（mm）,4560×1775×1460（mm）,4560×1775×1460（mm）,4560×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）,4530×1775×1460（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),185,186,185,186,185,186,185,186,185,185,-,186,186,189,181,189,181,189,181,189,181,181,189,181,189,181,189,181,181,189,181,189,181,181,190,189,181,189,181,181,190
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),5.3,5.7,5.3,5.7,5.3,5.7,5.3,5.7,5.6,5.6,-,6,6,6.3,6.6,6.3,6.6,6.4,6.9,6.4,6.9,6.6,6.3,6.6,7,7.1,7,7.1,7.1,7,7.1,7,7.1,7.1,7.7,7,7.1,7,7.1,7.1,7.7
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),-,-,-,-,-,6.14,-,6.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,实测0-100km/h加速(s),実測0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.1,-,-,-
基本参数,基本仕様,实测100-0km/h制动(m),実測100-0km/h制動距離(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.9,-,-,-
基本参数,基本仕様,实测油耗(L/100km),実測燃費(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.42,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または5万km保証,● 3年または5万km保証,● 3年または5万km保証,● 3年または5万km保証,● 3年または5万km保証,● 3年または5万km保証,● 3年または5万km保証,● 3年または5万km保証,● 3年または5万km保証,● 3年または5万km保証,● 3年または5万km保証,● 3年または5万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1140,1180,1140,1180,1140,1180,1140,1180,1140,1140,-,1180,1180,1208,1206,1208,1206,1165,1206,1165,1206,1206,1208,1206,1190,1210,1190,1210,1210,1190,1210,1190,1210,1210,1269,1190,1210,1190,1210,1210,1269
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),-,-,-,-,1560,1600,1560,1600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,长度(mm),全長(mm),4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4510,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4530,4530,4530,4530,4530,4530,4530,4530,4530,4530,4530,4530,4530,4530,4530,4530,4530
车身,車体,宽度(mm),全幅(mm),1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775
车身,車体,高度(mm),全高(mm),1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
车身,車体,轴距(mm),ホイールベース(mm),2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650
车身,車体,前轮距(mm),前トレッド(mm),1542,1542,1542,1530,1542,1542,1542,1530,1542,1542,1542,1542,1530,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563
车身,車体,后轮距(mm),後トレッド(mm),1553,1553,1553,1541,1553,1553,1553,1541,1553,1553,1553,1553,1541,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),150,150,150,150,150,150,150,150,150,150,150,150,150,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15,15,15,15,15,15,15,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20,20,20,20,20,20,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,最小转弯半径(m),最小回転半径(m),5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,车门数(个),ドア数(枚),● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）
车身,車体,座位数(个),乗車定員(名),● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）
车身,車体,油箱容积(L),燃料タンク容量(L),50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,-,-,-,-,G4FG（エンジン型式）,G4FG（エンジン型式）,G4FG（エンジン型式）,G4FG（エンジン型式）,-,-,-,-,-,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,-,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,G4FC（エンジン型式）,-
发动机,エンジン,排量(mL),排気量(mL),1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,-,1591,1591,1591,1591,1591,-
发动机,エンジン,排量(L),排気量(L),1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.0,1.6,1.6,1.6,1.6,1.6,2.0
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）
发动机,エンジン,最大马力(Ps),最高出力(Ps),123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,156,123,123,123,123,123,156
发动机,エンジン,最大功率(kW),最大出力(kW),90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,115,90,90,90,90,90,115
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6200,6300,6300,6300,6300,6300,6200
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,194,155,155,155,155,155,194
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4300,4200,4200,4200,4200,4200,4300
发动机,エンジン,最大净功率(kW),最大出力(kW),-,-,-,-,90.2,90.2,90.2,90.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
