セクション,セクション_ja,項目,項目_ja,2026年モデル xDrive 30Li Mスポーツ曜夜パッケージ,2026年モデル xDrive 30Li プレミアムMスポーツ曜夜パッケージ,2026年モデル xDrive 40Li Mスポーツ曜夜パッケージ,2026年モデル xDrive 40Li プレミアムMスポーツ曜夜パッケージ,2024年モデル xDrive 40Li プレミアム ブラックフレイム限定版,2023年モデル xDrive 30Li Mスポーツパッケージ,2023年モデル xDrive 30Li プレミアムMスポーツパッケージ,2023年モデル xDrive 30Li プレミアムMスポーツ曜夜パッケージ,2023年モデル xDrive 40Li Mスポーツパッケージ,2023年モデル xDrive 40Li Mスポーツ曜夜パッケージ,2023年モデル xDrive 40Li プレミアムMスポーツ曜夜パッケージ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 258馬力 L4,2.0T 258馬力 L4,3.0T 381馬力 L6,3.0T 381馬力 L6,3.0T 381馬力 L6,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,3.0T 381馬力 L6,3.0T 381馬力 L6,3.0T 381馬力 L6
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5060×2004×1776（mm）,5060×2004×1776（mm）,5060×2004×1776（mm）,5060×2004×1768（mm）,5060×2004×1776（mm）,5060×2004×1776（mm）,5060×2004×1776（mm）,5060×2004×1776（mm）,5060×2004×1776（mm）,5060×2004×1776（mm）,5060×2004×1776（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.2,7.2,5.5,5.5,5.5,7.2,7.2,7.2,5.5,5.5,5.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),222,222,250,250,250,222,222,222,250,250,250
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),8.70,8.70,8.90,8.90,8.90,8.70,8.70,8.70,8.90,8.90,8.90
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2157,2157,2271,2271,2271,2157,2157,2157,2271,2271,2271
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2790,2790,2850,2850,2850,2790,2790,2790,2850,2850,2850
车身,車体,长度(mm),全長(mm),5060,5060,5060,5060,5060,5060,5060,5060,5060,5060,5060
车身,車体,宽度(mm),全幅(mm),2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004
车身,車体,高度(mm),全高(mm),1776,1776,1776,1768,1776,1776,1776,1776,1776,1776,1776
车身,車体,轴距(mm),ホイールベース(mm),3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105
车身,車体,前轮距(mm),前トレッド(mm),1684,1680,1680,1680,1680,1684,1680,1680,1680,1680,1680
车身,車体,后轮距(mm),後トレッド(mm),1694,1688,1688,1688,1688,1694,1688,1688,1688,1688,1688
车身,車体,接近角(°),アプローチアングル(°),25,25,25,25,25,25,25,25,25,25,25
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23,23,23,23,23,23,23,23,23
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),83,83,83,83,83,83,83,83,83,83,83
车身,車体,后备厢容积(L),トランク容量(L),2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,B48B20T,B48B20T,B58B30P,B58B30P,B58B30P,B48B20T,B48B20T,B48B20T,B58B30P,B58B30P,B58B30P
发动机,エンジン,排量(mL),排気量(mL),1998,1998,2998,2998,2998,1998,1998,1998,2998,2998,2998
发动机,エンジン,排量(L),排気量(L),2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,6,6,6,4,4,4,6,6,6
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),258,258,381,381,381,258,258,258,381,381,381
发动机,エンジン,最大功率(kW),最大出力(kW),190,190,280,280,280,190,190,190,280,280,280
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000,5000,5500,5500,5500,5000,5000,5000,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),400,400,520,520,520,400,400,400,520,520,520
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1600-4500,1600-4500,1850-5000,1850-5000,1850-5000,1600-4500,1600-4500,1600-4500,1850-5000,1850-5000,1850-5000
发动机,エンジン,最大净功率(kW),最大出力(kW),190,190,280,280,280,190,190,190,280,280,280
发动机,エンジン,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
发动机,エンジン,燃油标号,燃料オクタン価,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン
发动机,エンジン,供油方式,燃料供給方式,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射,混合噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
变速箱,トランスミッション,简称,略称,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）,8速AT（オートマチック）
变速箱,トランスミッション,挡位个数,段数,8,8,8,8,8,8,8,8,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）,AT（オートマチック）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 275/45 R20タイヤ,● 275/40 R21タイヤ,● 275/40 R21タイヤ,● 275/40 R21タイヤ,● 275/35 R22タイヤ,● 275/45 R20タイヤ,● 275/40 R21タイヤ,● 275/40 R21タイヤ,● 275/40 R21タイヤ,● 275/40 R21タイヤ,● 275/40 R21タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 305/40 R20タイヤ,● 315/35 R21タイヤ,● 315/35 R21タイヤ,● 315/35 R21タイヤ,● 315/30 R22タイヤ,● 305/40 R20タイヤ,● 315/35 R21タイヤ,● 315/35 R21タイヤ,● 315/35 R21タイヤ,● 315/35 R21タイヤ,● 315/35 R21タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,缺气保用轮胎,パンク修理対応タイヤ,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,○,●,●,●,●,○ （2000元）,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,-,-,-,-,●,-,-,-,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,○ サスペンション硬さ調整・車高調整,○ サスペンション硬さ調整・車高調整,● サスペンション硬さ調整・車高調整,● サスペンション硬さ調整・車高調整,-,○ サスペンション硬さ調整・車高調整,○ サスペンション硬さ調整・車高調整,○ サスペンション硬さ調整・車高調整,○ サスペンション硬さ調整・車高調整,● サスペンション硬さ調整・車高調整
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,○ （2.10万元）,○ （2.40万元）,●,●,-,○ （2.10万元）,○ （2.10万元）,○ （2.40万元）,○ （2.40万元）,●
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,バックカメラ・360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,バックカメラ・360度全方位カメラ（6500元）,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● ステレオカメラ,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,2個 6個,5個 6個,5個 6個,● 6個,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個,● 12個,● 12個,● 12個,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,3個 5個,3個 5個,3個 5個,● 5個,-,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,アダプティブクルーズコントロール 全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール 全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール 全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール 全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール 全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール 全速度域対応アダプティブクルーズコントロール,アダプティブクルーズコントロール 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車アシスト,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,○,●,●,●,-,-,-,-,-,-,-
驾驶功能,運転機能,循迹倒车,トレースバック機能（バック時）,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,○,○,○,●,●,○,○,○,○,○,●
驾驶功能,運転機能,信号灯识别,信号認識機能,○,○,○,●,●,○,○,○,○,○,●
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー NFC/RFIDキー,● リモコンキー NFC/RFIDキー,● リモコンキー NFC/RFIDキー,● リモコンキー NFC/RFIDキー,● リモコンキー NFC/RFIDキー,● リモコンキー NFC/RFIDキー,● リモコンキー NFC/RFIDキー,● リモコンキー NFC/RFIDキー,● リモコンキー NFC/RFIDキー,● リモコンキー NFC/RFIDキー,● リモコンキー NFC/RFIDキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキー（キー不要）,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●
