セクション,項目,奔腾小马 2026款 222km 萌趣马,奔腾小马 2026款 222km 萌趣马 Plus,奔腾小马 2026款 222km 炫彩马,奔腾小马 2026款 222km 闪耀马,奔腾小马 2026款 222km 伶俐马,奔腾小马 2026款 222km 玲珑马,奔腾小马 2025款 222km 灵动马,奔腾小马 2025款 222km 闪电马,奔腾小马 2025款 222km 伶俐马,奔腾小马 2025款 222km 玲珑马,奔腾小马 2025款 222km 灵韵马,奔腾小马 2025款 222km 灵犀马,奔腾小马 2024款 122km 可爱马,奔腾小马 2024款 122km 萌趣马,奔腾小马 2024款 170km 元气马,奔腾小马 2024款 170km 活力马
,厂商指导价(元),3.49万 计算器,3.69万 计算器,3.89万 计算器,4.19万 计算器,4.29万 计算器,4.59万 计算器,3.69万 计算器,3.99万 计算器,4.09万 计算器,4.39万 计算器,5.09万 计算器,5.39万 计算器,2.49万 计算器,2.69万 计算器,2.99万 计算器,3.19万 计算器
,经销商报价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价,暂无报价 询底价
基本参数,厂商,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾,一汽奔腾
基本参数,级别,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.07,2025.08,2025.07,2025.07,2025.07,2025.07,2024.10,2024.10,2025.02,2025.02,2025.02,2025.02,2024.08,2024.05,2024.05,2024.05
基本参数,CLTC纯电续航里程(km),222,222,222,222,222,222,222,222,222,222,222,222,122,122,170,170
基本参数,电池快充时间(小时),-,-,-,1.08,-,1.08,-,1.08,-,1.08,-,1.08,-,-,-,-
基本参数,电池慢充时间(小时),6,6,6,6,6,6,6,6,6,6,6,6,5.2,5.2,6.5,6.5
基本参数,电池快充电量范围(%),-,-,-,30-80,-,30-80,-,30-80,-,30-80,-,30-80,-,-,-,-
基本参数,最大功率(kW),30,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20
基本参数,最大扭矩(N·m),90,90,90,90,90,90,90,90,90,90,90,90,85,85,85,85
基本参数,车身结构,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车
基本参数,电动机(Ps),41,41,41,41,41,41,41,41,41,41,41,41,27,27,27,27
基本参数,长*宽*高(mm),3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630,3000*1510*1630
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
