セクション,セクション_ja,項目,項目_ja,2026年モデル 222km モエキュウマ,2026年モデル 222km モエキュウマ Plus,2026年モデル 222km センサイマ,2026年モデル 222km センヨウマ,2026年モデル 222km レイリマ,2026年モデル 222km レイロウマ,2025年モデル 222km レイドウマ,2025年モデル 222km センデンマ,2025年モデル 222km レイリマ,2025年モデル 222km レイロウマ,2025年モデル 222km レイインマ,2025年モデル 222km レイサイマ,2024年モデル 122km カワイイマ,2024年モデル 122km モエキュウマ,2024年モデル 170km ゲンキマ,2024年モデル 170km カツリョクマ
车身,車体,接近角(°),アプローチアングル(°),29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
车身,車体,离去角(°),デパーチャーアングル(°),43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
车身,車体,最小转弯半径(m),最小回転半径(m),4.3,4.3,4.3,4.3,4.3,4.3,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3
车身,車体,座位数(个),乗車定員(名),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,后备厢容积(L),トランク容量(L),81-734,81-734,81-734,81-734,81-734,81-734,81-734,81-734,81-734,81-734,81-734,81-734,81-734,81-734,81-734,81-734
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林,山東双林
电动机,モーター,后电动机型号,後モーター型式,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X020,TZ155X020,TZ155X020,TZ155X020
电动机,モーター,电机类型,モーター種類,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型,永久磁石／同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),30,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),41,41,41,41,41,41,41,41,41,41,41,41,27,27,27,27
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),90,90,90,90,90,90,90,90,90,90,90,90,85,85,85,85
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),30,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),90,90,90,90,90,90,90,90,90,90,90,90,85,85,85,85
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 武漢楚能,● 武漢楚能,● 武漢楚能,● 武漢楚能,● 武漢楚能,● 武漢楚能,● 武漢楚能,● 武漢楚能,● 武漢楚能,● 武漢楚能,● 武漢楚能,● 武漢楚能,● 瑞浦蘭鈞,● 瑞浦蘭鈞,● 瑞浦蘭鈞,● 瑞浦蘭鈞
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),222,222,222,222,222,222,222,222,222,222,222,222,122,122,170,170
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),18.11,18.11,18.11,18.11,18.11,18.11,18.11,18.11,18.11,18.11,18.11,18.11,9.4,9.4,13.9,13.9
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,9.2,9.2
电池/充电,バッテリー/充電,快充功能,急速充電機能,-,-,-,対応,-,対応,-,対応,-,対応,非対応,対応,-,-,-,-
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,-,1.08,-,1.08,-,1.08,-,1.08,-,1.08,-,-,-,-
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),6,6,6,6,6,6,6,6,6,6,6,6,5.2,5.2,6.5,6.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),-,-,-,30-80,-,30-80,-,30-80,-,30-80,-,30-80,-,-,-,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面,車両正面
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,-,-,-,車両正面,-,車両正面,-,車両正面,-,車両正面,-,車両正面,-,-,-,-
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動,● リア配置リア駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション,● 3リンク非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ,● 手動サイドブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し,● 無し
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード,● スポーツ／エコモード
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,-,-,-,● バックカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,-,● 1個,● 1個,● 1個,● 1個,● 1個,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況表示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● メカニカルキー・リモコンキー,● メカニカルキー・リモコンキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● メカニカルキー・リモコンキー,● メカニカルキー・リモコンキー,● メカニカルキー・リモコンキー,● メカニカルキー・リモコンキー,● メカニカルキー・リモコンキー,● メカニカルキー・リモコンキー,● メカニカルキー・リモコンキー,● メカニカルキー・リモコンキー,● メカニカルキー・リモコンキー,● メカニカルキー・リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
