セクション,セクション_ja,項目,項目_ja,2026年モデル トゥアング Pro 380TSI 2WD 越境版,2026年モデル トゥアング Pro 380TSI 2WD 縦横版,2026年モデル トゥアング Pro 450TSI 4WD 越境版,2026年モデル トゥアング Pro 450TSI 4WD 縦横版,2026年モデル トゥアング Pro 450TSI 4WD 登峰版,2025年モデル トゥアングX 380TSI 4WD 出衆版,2025年モデル 380TSI 4WD 出衆版,2025年モデル トゥアング Pro 450TSI 4WD 探索版,2025年モデル トゥアング Pro 450TSI 4WD 縦横版,2025年モデル トゥアング Pro 450TSI 4WD 登峰版
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUVクロスオーバー,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 214馬力 L4,2.0T 214馬力 L4,2.0T 272馬力 L4,2.0T 272馬力 L4,2.0T 272馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 272馬力 L4,2.0T 272馬力 L4,2.0T 272馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5158×1991×1788,5158×1991×1788,5158×1991×1788,5158×1991×1788,5158×1991×1788,4917×1989×1729,5052×1989×1773,5158×1991×1788,5158×1991×1788,5158×1991×1788
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.1,9.1,7.6,7.6,7.6,8.4,8.4,7.6,7.6,7.6
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.57,7.57,8.35,8.35,8.35,8.64,8.65,8.35,8.35,8.35
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）
基本参数,基本仕様,整备质量(kg),車両重量(kg),2060,2060,2155,2155,2155,2055,2090,2155,2155,2155
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2620,2620,2715,2715,2715,2615,2650,2715,2715,2715
车身,車体,长度(mm),全長(mm),5158,5158,5158,5158,5158,4917,5052,5158,5158,5158
车身,車体,宽度(mm),全幅(mm),1991,1991,1991,1991,1991,1989,1989,1991,1991,1991
车身,車体,高度(mm),全高(mm),1788,1788,1788,1788,1788,1729,1773,1788,1788,1788
车身,車体,轴距(mm),ホイールベース(mm),2980,2980,2980,2980,2980,2980,2980,2980,2980,2980
车身,車体,前轮距(mm),前トレッド(mm),1704,1704,1704,1704,1704,1704,1704,1704,1704,1704
车身,車体,后轮距(mm),後トレッド(mm),1719,1719,1719,1719,1719,1721,1721,1719,1719,1719
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,20,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18,18,22,18,18,18,18
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUVクロスオーバー,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 7,● 7,● 7,● 7,● 7,● 5,● 7,● 7,● 7,● 7
车身,車体,油箱容积(L),燃料タンク容量(L),70,70,70,70,70,70,70,70,70,70
车身,車体,后备厢容积(L),トランク容量(L),286-2427,286-2427,286-2427,286-2427,286-2427,540-1719,286-2415,286-2427,286-2427,286-2427
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DYM,DYM,DYN,DYN,DYN,DTJ,DTJ,DYN,DYN,DYN
发动机,エンジン,排量(mL),排気量(mL),1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),214,214,272,272,272,220,220,272,272,272
发动机,エンジン,最大功率(kW),最大出力(kW),157,157,200,200,200,162,162,200,200,200
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),4410-6100,4410-6100,5000-6500,5000-6500,5000-6500,4900-6700,4900-6700,5000-6500,5000-6500,5000-6500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),340,340,400,400,400,350,350,400,400,400
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-4410,2000-4410,1700-4500,1700-4500,1700-4500,1600-4300,1600-4300,1700-4500,1700-4500,1700-4500
发动机,エンジン,最大净功率(kW),最大出力(kW),157,157,200,200,200,162,162,200,200,200
发动机,エンジン,发动机特有技术,エンジン独自技術,ミラーサイクル、可変断面ターボ技術,ミラーサイクル、可変断面ターボ技術,ミラーサイクル、可変断面ターボ技術,ミラーサイクル、可変断面ターボ技術,ミラーサイクル、可変断面ターボ技術,-,可変断面ターボチャージャー,可変断面ターボチャージャー,可変断面ターボチャージャー,可変断面ターボチャージャー
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制,国VI排ガス規制
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動,● 走行状況に応じた四輪駆動
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 255/50 R20,255/50 R20 265/45 R21,● 255/50 R20,255/50 R20 265/45 R21,● 265/45 R21,● 255/50 R20,● 255/50 R20,● 255/50 R20,255/50 R20 265/45 R21,● 265/45 R21
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/50 R20,255/50 R20 265/45 R21,● 255/50 R20,255/50 R20 265/45 R21,● 265/45 R21,● 255/50 R20,● 255/50 R20,● 255/50 R20,255/50 R20 265/45 R21,● 265/45 R21
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ収納方法,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,-,-,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-,-
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,-,-,●,●,-,-,-,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席・2列目席,● 前席・2列目席,● 前席・2列目席,● 前席・2列目席,● 前席・2列目席,● 全車,● 前席,● 前席・2列目席,● 前席・2列目席,● 前席・2列目席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,-,●,●,●,●,-,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,-,●,●,●,●,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,●,●,-,-,-,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,-,-,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準／快適 カスタム／パーソナライズ,● スポーツ 経済 標準／快適 カスタム／パーソナライズ,● スポーツ 経済 標準／快適 オフロード 雪上 カスタム／パーソナライズ,● スポーツ 経済 標準／快適 オフロード 雪上 カスタム／パーソナライズ,● スポーツ 経済 標準／快適 オフロード 雪上 カスタム／パーソナライズ,● スポーツ 経済 標準／快適 オフロード 雪上 カスタム／パーソナライズ,● スポーツ 経済 標準／快適 オフロード 雪上 カスタム／パーソナライズ,● スポーツ 経済 標準／快適 オフロード 雪上 カスタム／パーソナライズ,● スポーツ 経済 標準／快適 オフロード 雪上 カスタム／パーソナライズ,● スポーツ 経済 標準／快適 オフロード 雪上 カスタム／パーソナライズ
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,-,-,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,○ サスペンション硬さ調整（5000元）,-,○ サスペンション硬さ調整（5000元）,○ サスペンション硬さ調整（5000元）,-,-,-,○ サスペンション硬さ調整（5000元）,○ サスペンション硬さ調整（5000元）
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● 360度全方位カメラ,● リアビューカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● リアビューカメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼,● 単眼,● 単眼,単眼 複眼,● 単眼 複眼,● 単眼,● 単眼,● 単眼,単眼 複眼,● 単眼 複眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 5個,● 2個,5個 7個,● 7個,● 5個,● 5個,● 2個,5個 7個,● 7個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,-,-,● 1個,● 1個,-,-,-,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 3個,● 5個,● 3個,● 5個,● 5個,● 3個,● 3個,● 3個,● 5個,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール,● 全速域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● IQ.ドライブ,● IQ.ドライブ,● IQ.ドライブ,IQ.ドライブ IQ.パイロット 強化運転支援2.0（5000元）,● IQ.パイロット 強化運転支援2.0,● IQ.ドライブ,● IQ.ドライブ,● IQ.ドライブ,IQ.ドライブ IQ.パイロット（4500元）,● IQ.パイロット
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L1,● L2,● L1,● L2,● L2,● L2,● L2,● L1,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,-,●,●,●,●,-,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● テンセント,● テンセント,● テンセント,● テンセント,● テンセント,-,-,● テンセント,● テンセント,● テンセント
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,-,-,●,●,-,-,-,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,-,●,●,●,●,-,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,-,●,●,●,●,-,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,●,-,●,●,●,●,-,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,-,-,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,-,-,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,●,●,●,●,●,-,-,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,-,-,-,○,●,-,-,-,○,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,-,-,○,●,-,-,-,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル離脱検知,-,-,-,○,●,●,●,-,○,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,-,○ 高速道路区間,● 高速道路区間,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,● スポーティスタイル,● スポーティスタイル,-,-,-,● スポーティスタイル,● スポーティスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,-,●,●,●,-,-,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,-,-,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,-,-,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,-,-,● ピクセル式,-,-,-,○ ピクセル式,● ピクセル式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,-,-,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,●,●,-,-,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,-,-,-,-,●,-,-,-,○,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●
