セクション,項目,途昂 2026款 途昂 Pro 380TSI 两驱越境版,途昂 2026款 途昂 Pro 380TSI 两驱纵横版,途昂 2026款 途昂 Pro 450TSI 四驱越境版,途昂 2026款 途昂 Pro 450TSI 四驱纵横版,途昂 2026款 途昂 Pro 450TSI 四驱登峰版,途昂 2025款 途昂X 380TSI 四驱出众版,途昂 2025款 380TSI 四驱出众版,途昂 2025款 途昂 Pro 450TSI 四驱探索版,途昂 2025款 途昂 Pro 450TSI 四驱纵横版,途昂 2025款 途昂 Pro 450TSI 四驱登峰版
基本参数,最大满载质量(kg),2620,2620,2715,2715,2715,2615,2650,2715,2715,2715
车身,长度(mm),5158,5158,5158,5158,5158,4917,5052,5158,5158,5158
车身,宽度(mm),1991,1991,1991,1991,1991,1989,1989,1991,1991,1991
车身,高度(mm),1788,1788,1788,1788,1788,1729,1773,1788,1788,1788
车身,轴距(mm),2980,2980,2980,2980,2980,2980,2980,2980,2980,2980
车身,前轮距(mm),1704,1704,1704,1704,1704,1704,1704,1704,1704,1704
车身,后轮距(mm),1719,1719,1719,1719,1719,1721,1721,1719,1719,1719
车身,接近角(°),19,19,19,19,19,20,19,19,19,19
车身,离去角(°),18,18,18,18,18,22,18,18,18,18
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV跨界车,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 5,● 7,● 7,● 7,● 7
车身,油箱容积(L),70,70,70,70,70,70,70,70,70,70
车身,后备厢容积(L),286-2427,286-2427,286-2427,286-2427,286-2427,540-1719,286-2415,286-2427,286-2427,286-2427
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,DYM,DYM,DYN,DYN,DYN,DTJ,DTJ,DYN,DYN,DYN
发动机,排量(mL),1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),214,214,272,272,272,220,220,272,272,272
发动机,最大功率(kW),157,157,200,200,200,162,162,200,200,200
发动机,最大功率转速(rpm),4410-6100,4410-6100,5000-6500,5000-6500,5000-6500,4900-6700,4900-6700,5000-6500,5000-6500,5000-6500
发动机,最大扭矩(N·m),340,340,400,400,400,350,350,400,400,400
发动机,最大扭矩转速(rpm),2000-4410,2000-4410,1700-4500,1700-4500,1700-4500,1600-4300,1600-4300,1700-4500,1700-4500,1700-4500
发动机,最大净功率(kW),157,157,200,200,200,162,162,200,200,200
发动机,发动机特有技术,米勒循环、可变截面涡轮技术,米勒循环、可变截面涡轮技术,米勒循环、可变截面涡轮技术,米勒循环、可变截面涡轮技术,米勒循环、可变截面涡轮技术,-,可变截面涡轮增压器,可变截面涡轮增压器,可变截面涡轮增压器,可变截面涡轮增压器
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,-,-,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,-,-,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 255/50 R20,255/50 R20 265/45 R21,● 255/50 R20,255/50 R20 265/45 R21,● 265/45 R21,● 255/50 R20,● 255/50 R20,● 255/50 R20,255/50 R20 265/45 R21,● 265/45 R21
车轮制动,后轮胎规格,● 255/50 R20,255/50 R20 265/45 R21,● 255/50 R20,255/50 R20 265/45 R21,● 265/45 R21,● 255/50 R20,● 255/50 R20,● 255/50 R20,255/50 R20 265/45 R21,● 265/45 R21
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,-,-,-,-,-,● 主驾膝部气囊,● 主驾膝部气囊,-,-,-
被动安全,前排中间气囊,-,-,-,●,●,-,-,-,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 全车,● 前排,● 前排 第二排,● 前排 第二排,● 前排 第二排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,-,●,●,●,●,-,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,-,●,-,●,●,●,●,-,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,-,●,●,-,-,-,●,●
主动安全,道路救援呼叫,●,●,●,●,●,-,-,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化,● 运动 经济 标准/舒适 越野 雪地 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,-,-,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,○ 悬架软硬调节 (5000元),-,○ 悬架软硬调节 (5000元),○ 悬架软硬调节 (5000元),-,-,-,○ 悬架软硬调节 (5000元),○ 悬架软硬调节 (5000元)
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,单目 双目,● 单目 双目,● 单目,● 单目,● 单目,单目 双目,● 单目 双目
驾驶硬件,摄像头数量,● 2个,● 5个,● 2个,5个 7个,● 7个,● 5个,● 5个,● 2个,5个 7个,● 7个
驾驶硬件,车内摄像头数量,-,-,-,● 1个,● 1个,-,-,-,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 5个,● 3个,● 5个,● 5个,● 3个,● 3个,● 3个,● 5个,● 5个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● IQ. Drive,● IQ. Drive,● IQ. Drive,IQ. Drive IQ. Pilot 增强驾驶辅助2.0 (5000元),● IQ. Pilot 增强驾驶辅助2.0,● IQ. Drive,● IQ. Drive,● IQ. Drive,IQ. Drive IQ. Pilot (4500元),● IQ. Pilot
驾驶功能,辅助驾驶等级,● L1,● L2,● L1,● L2,● L2,● L2,● L2,● L1,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,-,●,●,●,●,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 腾讯,● 腾讯,● 腾讯,● 腾讯,● 腾讯,-,-,● 腾讯,● 腾讯,● 腾讯
驾驶功能,AR实景导航,-,-,-,●,●,-,-,-,●,●
驾驶功能,并线辅助,-,●,-,●,●,●,●,-,●,●
驾驶功能,车道保持辅助系统,-,●,-,●,●,●,●,-,●,●
驾驶功能,车道居中保持,-,●,-,●,●,●,●,-,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,-,-,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,-,-,●,●,●
驾驶功能,记忆泊车,●,●,●,●,●,-,-,●,●,●
驾驶功能,辅助变道,-,-,-,○,●,-,-,-,○,●
驾驶功能,辅助匝道自动驶出(入),-,-,-,○,●,-,-,-,-,-
驾驶功能,方向盘离手检测,-,-,-,○,●,●,●,-,○,●
驾驶功能,辅助驾驶路段,-,-,-,○ 高速路段,● 高速路段,-,-,-,-,-
外观/防盗,外观套件,-,-,-,● 运动风格,● 运动风格,-,-,-,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,-,-,-,-,●,●,●,-,-,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙,遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●,●,-,-,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,-,-,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,-,-,● 像素式,-,-,-,○ 像素式,● 像素式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,-,-,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,●,●,●,●,●,-,-,●,●,●
车外灯光,转向头灯,-,-,-,-,●,-,-,-,○,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●
车外灯光,场景灯语,-,-,-,-,●,-,-,-,○,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,-,-,● 前排 后排,● 前排 后排,● 前排 后排,-,-,● 前排 后排,● 前排 后排
天窗/玻璃,后排侧窗遮阳帘,-,-,-,-,● 手动,-,-,-,-,● 手动
天窗/玻璃,后排侧隐私玻璃,-,-,-,-,●,●,●,-,-,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15英寸,● 15英寸,● 15英寸,● 15英寸,● 15英寸,● 12英寸,● 12英寸,● 15英寸,● 15英寸,● 15英寸
屏幕/系统,中控屏幕分辨率,● 2K,● 2K,● 2K,● 2K,● 2K,-,-,● 2K,● 2K,● 2K
屏幕/系统,副驾娱乐屏尺寸,-,● 11.6英寸,-,● 11.6英寸,● 11.6英寸,-,-,-,● 11.6英寸,● 11.6英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,●,●,●,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩
屏幕/系统,语音助手唤醒词,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众
屏幕/系统,语音免唤醒词,●,●,●,●,●,-,-,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 单区域,● 单区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●,●,-,-,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,-,-,●,●,●
屏幕/系统,手势控制,-,●,-,●,●,-,-,-,●,●
屏幕/系统,面部识别,-,-,-,●,●,-,-,-,-,-
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,-,-,● 已接入,● 已接入,● 已接入
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,-,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,车机系统内存(GB),● 12,● 12,● 12,● 12,● 12,-,-,● 12,● 12,● 12
屏幕/系统,车机系统存储(GB),● 128,● 128,● 128,● 128,● 128,-,-,● 128,● 128,● 128
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 4G,● 4G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●
智能化配置,V2X通讯,-,-,-,-,●,-,-,-,-,●
智能化配置,手机APP远程功能,● 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车,● 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车
智能化配置,车载KTV,●,●,●,●,●,-,-,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
