セクション,項目,轩逸 2026款 1.6L CVT省心版,轩逸 2026款 1.6L CVT真心版,轩逸 2026款 1.6L CVT悦享版,轩逸 2026款 1.6L CVT黑金版,轩逸 2026款 1.6L CVT智驾版,轩逸 2025款 1.6L CVT真心版,轩逸 2024款 改款三 经典 1.6XE CVT舒适版,轩逸 2024款 改款 经典 1.6XE+ CVT大屏版,轩逸 2024款 改款二 经典 1.6XL CVT豪华版,轩逸 2024款 改款二 经典 1.6XV CVT尊享版,轩逸 2023款 超混电驱 全电驱Pro,轩逸 2023款 超混电驱 全电驱大屏版,轩逸 2023款 超混电驱 超智联Plus,轩逸 2023款 超混电驱 超智驾Max,轩逸 2023款 超混电驱 超豪华Ultra,轩逸 2023款 1.6L CVT舒享版,轩逸 2023款 改款 1.6L CVT悦享版,轩逸 2023款 1.6L CVT黑金版,轩逸 2023款 改款 1.6L CVT智驾版,轩逸 2021款 经典 1.6XE CVT专享版,轩逸 2026款 基本型
屏幕/系统,声纹识别,-,●,●,●,●,●,-,-,-,-,-,●,●,●,●,-,●,●,●,-,-
屏幕/系统,车载智能系统,-,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,-,-,● Nissan Connect超智联,● Nissan Connect超智联,-,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,-,● Nissan Connect超智联,● Nissan Connect超智联,● Nissan Connect超智联,-,-
智能化配置,车联网,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●,-,●,●,●,-,-
智能化配置,4G/5G网络,-,● 4G,● 4G,● 4G,● 4G,● 4G,-,-,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,-,-
智能化配置,OTA升级,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●,-,●,●,●,-,-
智能化配置,Wi-Fi热点,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●,-,●,●,●,-,-
智能化配置,手机APP远程功能,-,● 车门控制 车辆启动 车灯控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,-,-,● 车门控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,-,● 车门控制 车辆启动 车灯控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,-,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,-,-
智能化配置,车载KTV,-,●,●,●,●,●,-,-,-,-,-,●,●,●,●,-,●,●,●,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮,● 塑料,● 真皮,● 真皮,● 真皮,● 塑料,-
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,-
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,-
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,-,-,●,●,-,●,●,●,●,●,●,●,●,-,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 单色,● 单色,● 单色,● 单色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 单色,-
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,● 4.2英寸,● 4.2英寸,● 7英寸,● 7英寸,● 7英寸,● 4.2英寸,-,-,-,-,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 4.2英寸,● 7英寸,● 7英寸,● 7英寸,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,-
车内充电,多媒体/充电接口,● USB,● USB,● Type-C,● Type-C,● Type-C,● USB,-,● USB AUX,● USB,● USB,● USB AUX Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB AUX,● Type-C,● Type-C,● Type-C,● USB AUX,-
车内充电,USB/Type-C接口数量,● 前排1个,● 前排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排1个,-,● 前排1个,● 前排1个,● 前排1个,● 前排1个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排1个,-
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,● 前排,● 前排,● 前排,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 织物,● 织物,● 仿皮,● 仿皮,● 织物,● 织物,● 仿皮,● 仿皮,● 仿皮,● 织物,● 仿皮,● 仿皮,● 仿皮,● 真皮,-
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),-
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,-
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,● 主 / 副-,● 主 / 副-,● 主 / 副-,-,-,-,-,-,-
座椅配置,前排座椅功能,-,-,○ 加热(仅驾驶位) 通风(仅驾驶位),● 加热(仅驾驶位) 通风(仅驾驶位),○ 加热(仅驾驶位) 通风(仅驾驶位),-,-,-,-,-,-,-,-,-,-,-,-,● 加热(仅驾驶位) 通风(仅驾驶位),-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后-,-
座椅配置,后排杯架,-,-,●,●,●,-,-,-,-,-,-,-,●,●,●,-,●,●,●,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● BOSE,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 8喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 4喇叭,-
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,● 单色,● 单色,● 单色,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,-
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●,-
空调/冰箱,温度分区控制,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,-,●,●,●,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
颜色,外观颜色,钨钢灰 曜石黑 珠贝白,钨钢灰 曜石黑 珠贝白,钨钢灰 曜石黑 珠贝白,曜石黑,钨钢灰 曜石黑 珠贝白,钨钢灰 曜石黑 珠贝白,钨钢灰 珠光白 曜石黑,钨钢灰 珠光白 曜石黑,钨钢灰 珠光白 曜石黑,钨钢灰 珠光白 曜石黑,曜石黑 珠玉白,钨钢灰 曜石黑 天际红 珠玉白 冰岩蓝/曜石黑,钨钢灰 曜石黑 天际红 曜石黑/天际红 珠玉白 冰岩蓝/曜石黑,钨钢灰 曜石黑 天际红 曜石黑/天际红 珠玉白 冰岩蓝/曜石黑,曜石黑 珠玉白 冰岩蓝/曜石黑,曜石黑 珠贝白,钨钢灰 曜石黑 天际红 珠贝白,曜石黑,钨钢灰 曜石黑 天际红 珠贝白,钨钢灰 钛古金 珠光白 曜石黑,-
颜色,内饰颜色,黑色,黑色,黑色,黑色,黑色,黑色,黑色,黑色,黑色,黑色,黑色,黑色,黑色 蓝/黑,黑色 蓝/黑,蓝/黑,黑色,黑色,黑色,黑色 黑色/棕色,黑色,-
