セクション,項目,途岳 2026款 新锐 1.5L 锐进版,途岳 2026款 新锐 1.5L 锐意版,途岳 2026款 新锐 1.5L 锐享版,途岳 2026款 新锐 300TSI 锐意版,途岳 2026款 新锐 300TSI 锐享版,途岳 2025款 300TSI 两驱皓月版,途岳 2025款 新锐 300TSI 锐意版,途岳 2025款 新锐 300TSI 锐享版,途岳 2025款 新锐 1.5L 锐进版,途岳 2025款 新锐 1.5L 锐意版,途岳 2024款 300TSI 两驱皎月版,途岳 2024款 300TSI 两驱满月版,途岳 2024款 300TSI 两驱月尊版,途岳 2024款 300TSI 两驱新月版,途岳 2024款 330TSI 四驱月尊版
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,2.0T 186马力 L4
基本参数,长*宽*高(mm),4355*1762*1605,4355*1762*1605,4355*1762*1605,4355*1762*1605,4355*1762*1605,4458*1841*1632,4355*1762*1605,4355*1762*1605,4355*1762*1605,4355*1762*1605,4458*1841*1632,4458*1841*1632,4458*1841*1632,4458*1841*1632,4458*1841*1632
基本参数,官方0-100km/h加速(s),-,-,-,-,-,9.7,-,-,-,-,9.7,9.7,9.7,9.7,8.6
基本参数,最高车速(km/h),182,182,182,190,190,200,190,190,182,182,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),6.41,6.41,6.41,5.70,5.70,5.99,5.70,5.70,6.41,6.41,5.99,5.99,5.99,5.99,6.93
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1275,1275,1275,1335,1335,1480,1335,1335,1275,1275,1480,1480,1480,1480,1655
基本参数,最大满载质量(kg),1705,1705,1705,1765,1765,1950,1765,1765,1705,1705,1950,1950,1950,1950,2125
车身,长度(mm),4355,4355,4355,4355,4355,4458,4355,4355,4355,4355,4458,4458,4458,4458,4458
车身,宽度(mm),1762,1762,1762,1762,1762,1841,1762,1762,1762,1762,1841,1841,1841,1841,1841
车身,高度(mm),1605,1605,1605,1605,1605,1632,1605,1605,1605,1605,1632,1632,1632,1632,1632
车身,轴距(mm),2651,2651,2651,2651,2651,2680,2651,2651,2651,2651,2680,2680,2680,2680,2680
车身,前轮距(mm),1535,1535,1535,1535,1535,1576,1535,1535,1535,1535,1576,1576,1576,1576,1576
车身,后轮距(mm),1515,1515,1515,1515,1515,1541,1515,1515,1515,1515,1541,1541,1541,1541,1541
车身,接近角(°),18,18,18,18,18,19,18,18,18,18,19,19,19,19,19
车身,离去角(°),20,20,20,20,20,21,20,20,20,20,21,21,21,21,21
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),-,-,-,-,-,51,-,-,-,-,51,51,51,51,56.5
车身,后备厢容积(L),445-1443,445-1443,445-1443,445-1443,445-1443,455-1543,445-1443,445-1443,445-1443,445-1443,455-1543,455-1543,455-1543,455-1543,374-1462
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,DRZ,DRZ,DRZ,DSV,DSV,EA211-DSV,DSV,DSV,DRZ,DRZ,EA211-DSV,EA211-DSV,EA211-DSV,EA211-DSV,EA888-DTH
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1984
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0
发动机,进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),110,110,110,160,160,160,160,160,110,110,160,160,160,160,186
发动机,最大功率(kW),81,81,81,118,118,118,118,118,81,81,118,118,118,118,137
发动机,最大功率转速(rpm),6200,6200,6200,5500,5500,5500,5500,5500,6200,6200,5500,5500,5500,5500,4150-6000
发动机,最大扭矩(N·m),141,141,141,250,250,250,250,250,141,141,250,250,250,250,320
发动机,最大扭矩转速(rpm),4100,4100,4100,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,4100,4100,1750-4000,1750-4000,1750-4000,1750-4000,1500-4050
发动机,最大净功率(kW),81,81,81,118,118,118,118,118,81,81,118,118,118,118,137
发动机,发动机特有技术,-,-,-,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,-,-,米勒循环,米勒循环,米勒循环,米勒循环,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,95号,95号,95号,95号,95号,92号,92号,95号,95号,95号,95号,95号
发动机,最低燃油标号,-,-,-,92号,92号,92号,92号,92号,-,-,92号,92号,92号,92号,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,6挡手自一体,6挡手自一体,6挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,6挡手自一体,6挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合
变速箱,挡位个数,6,6,6,7,7,7,7,7,6,6,7,7,7,7,7
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱
底盘转向,四驱形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 适时四驱
底盘转向,中央差速器结构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 多连杆式独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 205/60 R16
○ 205/55 R17 (1000元)",● 205/55 R17,● 205/55 R17,● 205/55 R17,● 205/55 R17,● 225/50 R18,● 205/55 R17,● 205/55 R17,"● 205/60 R16
○ 205/55 R17 (1000元)",● 205/55 R17,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/55 R17,● 225/50 R18
车轮制动,后轮胎规格,"● 205/60 R16
○ 205/55 R17",● 205/55 R17,● 205/55 R17,● 205/55 R17,● 205/55 R17,● 225/50 R18,● 205/55 R17,● 205/55 R17,"● 205/60 R16
○ 205/55 R17",● 205/55 R17,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/55 R17,● 225/50 R18
车轮制动,备胎规格,-,-,-,-,-,● 非全尺寸,-,-,-,-,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,-,-,-,-,-,● 后备厢内,-,-,-,-,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,前排中间气囊,-,●,●,●,●,-,●,●,-,●,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 前排,● 全车,● 全车,● 全车,● 全车,● 前排,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,-,●,●,-,●,●,●,●,-,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,-,●,●,-,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,-,●,-,-,●,-,-,●,●,●,-,●
主动安全,前方碰撞预警,-,●,●,●,●,-,●,●,-,●,●,●,●,●,●
主动安全,道路救援呼叫,-,-,●,-,●,●,-,●,-,-,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动,● 运动,● 运动,● 运动,● 运动,-,● 运动,● 运动,● 运动,● 运动,-,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",-,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
驾驶硬件,前/后驻车雷达,-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-,前 ● / 后 ●,前- / 后 ●,前- / 后 ●,前 ● / 后 ●,前- / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 单目,● 单目,-,● 单目,● 单目,-,● 单目,-,-,-,-,-
驾驶硬件,摄像头数量,● 1个,● 2个,● 2个,● 2个,● 2个,-,● 2个,● 2个,● 1个,● 2个,-,-,-,-,-
驾驶硬件,超声波雷达数量,-,● 8个,● 8个,● 8个,● 8个,-,● 8个,● 8个,-,● 8个,-,-,-,-,-
驾驶硬件,毫米波雷达数量,-,● 3个,● 3个,● 3个,● 3个,-,● 3个,● 3个,-,● 3个,-,-,-,-,-
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,-,● IQ. Drive,● IQ. Drive,-,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,-,● IQ. Drive
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,● L2,-,● L2,● L2,-,● L2,● L2,● L2,● L2,-,● L2
驾驶功能,倒车车侧预警系统,-,●,●,●,●,-,●,●,-,●,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,●,-,●,○,-,●,-,-,○,●,●,-,●
驾驶功能,导航路况信息显示,-,-,●,-,●,○,-,●,-,-,○,●,●,-,●
驾驶功能,并线辅助,-,●,●,●,●,●,●,●,-,●,●,●,●,-,●
驾驶功能,车道保持辅助系统,-,●,●,●,●,-,●,●,-,●,●,●,●,-,●
驾驶功能,车道居中保持,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●
外观/防盗,外观套件,-,○ 运动风格,● 运动风格,○ 运动风格,● 运动风格,-,○ 运动风格,● 运动风格,-,○ 运动风格,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,-,-,-,○,-,-,-,-,○,○,●,-,●
外观/防盗,感应后备厢,-,-,-,-,-,-,-,-,-,-,-,○,●,-,●
外观/防盗,电动后备厢位置记忆,-,-,-,-,-,○,-,-,-,-,○,○,●,-,●
外观/防盗,车顶行李架,-,●,●,●,●,●,●,●,-,●,●,●,●,-,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,-,● 前排
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,-,-,-,-,-,-,-,-,-,● 矩阵式,● 矩阵式,-,● 矩阵式
车外灯光,LED日间行车灯,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●
车外灯光,自动头灯,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,-,-,-,-,●,-,-,-,-,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 8英寸,● 8英寸,● 9.2英寸,● 8英寸,● 9.2英寸,"● 8英寸
○ 12英寸",● 8英寸,● 9.2英寸,● 8英寸,● 8英寸,"● 8英寸
○ 12英寸",● 12英寸,● 12英寸,● 8英寸,● 12英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 支持HUAWEI HiCar"
屏幕/系统,语音识别控制系统,-,-,"● 多媒体系统
● 导航
● 电话",-,"● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话",-,"● 多媒体系统
● 导航
● 电话",-,-,"● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话"
屏幕/系统,语音助手唤醒词,-,-,● 你好，大众,-,● 你好，大众,-,-,● 你好，大众,-,-,-,-,-,-,-
屏幕/系统,车载智能系统,-,-,-,-,-,● IQ. Connectivity,-,-,-,-,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity
