セクション,項目,宝马3系 2025款 325i M运动套装,宝马3系 2025款 330i 50周年限量版,宝马3系 2025款 330i M运动曜夜套装,宝马3系 2025款 325Li M运动套装,宝马3系 2025款 330Li 50周年限量版,宝马3系 2025款 330Li M运动曜夜套装,宝马3系 2025款 330Li 尊享型 M运动曜夜套装
音响/车内灯光,扬声器数量,"● 6喇叭
○ 10喇叭
○ 16喇叭",● 16喇叭,● 16喇叭,"● 6喇叭
○ 10喇叭
○ 16喇叭",● 16喇叭,● 16喇叭,● 16喇叭
音响/车内灯光,车内环境氛围灯,● 9色,● 9色,● 9色,● 9色,● 9色,● 9色,● 9色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–
选装包,娱乐套装1,○ 选配 (8000元),-,-,○ 选配 (8000元),-,-,-
选装包,娱乐套装2,-,-,○ 选配 (1900元),-,-,○ 选配 (1900元),-
