セクション,項目,奥迪Q3 2025款 quattro 45周年典藏版 35TFSI 进取致雅型,奥迪Q3 2025款 quattro 45周年典藏版 35TFSI 进取动感型,奥迪Q3 2025款 quattro 45周年典藏版 35TFSI 时尚致雅型,奥迪Q3 2025款 quattro 45周年典藏版 35TFSI 时尚动感型,奥迪Q3 2025款 quattro 45周年典藏版 35TFSI RS套件燃速型,奥迪Q3 2025款 quattro 45周年典藏版 40TFSI RS套件燃速型,奥迪Q3 2025款 quattro 45周年典藏版 40TFSI 时尚动感型,奥迪Q3 2025款 quattro 45周年典藏版 45TFSI quattro 时尚动感型
基本参数,长*宽*高(mm),4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614
基本参数,官方0-100km/h加速(s),9.6,9.6,9.6,9.6,9.6,8.8,8.8,7.3
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200
基本参数,NEDC综合油耗(L/100km),6.7,6.7,6.7,6.7,6.7,6.8,6.8,7.5
基本参数,WLTC综合油耗(L/100km),6.79,6.79,6.79,6.79,6.79,7.16,7.16,8.00
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1600,1600,1600,1600,1600,1660,1660,1750
基本参数,最大满载质量(kg),2090,2090,2090,2090,2090,2145,2145,2235
车身,长度(mm),4498,4498,4498,4498,4498,4498,4498,4498
车身,宽度(mm),1848,1848,1848,1848,1848,1848,1848,1848
车身,高度(mm),1614,1614,1614,1614,1614,1614,1614,1614
车身,轴距(mm),2680,2680,2680,2680,2680,2680,2680,2680
车身,前轮距(mm),1584,1584,1584,1584,1584,1584,1584,1584
车身,后轮距(mm),1576,1576,1576,1576,1576,1576,1576,1576
车身,满载最小离地间隙(mm),152,152,152,152,152,152,152,152
车身,接近角(°),17,17,17,17,17,17,17,17
车身,离去角(°),20,20,20,20,20,20,20,20
车身,最小转弯半径(m),6,6,6,6,6,6,6,6
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,60,60,60,60,60,62.5
车身,后备厢容积(L),450,450,450,450,450,450,450,450
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,DSV,DSV,DSV,DSV,DSV,DTH,DTH,DTJ
发动机,排量(mL),1498,1498,1498,1498,1498,1984,1984,1984
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),160,160,160,160,160,186,186,220
发动机,最大功率(kW),118,118,118,118,118,137,137,162
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,4150-6000,4150-6000,4900-6700
发动机,最大扭矩(N·m),250,250,250,250,250,320,320,350
发动机,最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1600-4050,1600-4050,1600-4300
发动机,最大净功率(kW),118,118,118,118,118,137,137,162
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱
底盘转向,四驱形式,-,-,-,-,-,-,-,● 适时四驱
底盘转向,中央差速器结构,-,-,-,-,-,-,-,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 235/55 R18
○ 235/50 R19 (2500元)","● 235/55 R18
○ 235/50 R19 (2500元)",● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19
车轮制动,后轮胎规格,"● 235/55 R18
○ 235/50 R19 (2500元)","● 235/55 R18
○ 235/50 R19 (2500元)",● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19,● 235/50 R19
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后 ○ (1700元),前 ● / 后 ○ (1700元),前 ● / 后 ○ (1700元),前 ● / 后 ○ (1700元),前 ● / 后 ○ (1700元),前 ● / 后 ○ (1700元),前 ● / 后 ○ (1700元),前 ● / 后 ○ (1700元)
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,○,○,○,○,○,○
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,-,-,-,-,-,-,-,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,"○ 倒车影像 (2500元)
○ 360度全景影像 (7500元)","○ 倒车影像 (2500元)
○ 360度全景影像 (7500元)","● 倒车影像
○ 360度全景影像 (5000元)","● 倒车影像
○ 360度全景影像 (5000元)","● 倒车影像
○ 360度全景影像 (5000元)","● 倒车影像
○ 360度全景影像 (5000元)","● 倒车影像
○ 360度全景影像 (5000元)","● 倒车影像
○ 360度全景影像 (5000元)"
驾驶功能,巡航系统,"● 定速巡航
○ 全速自适应巡航 (7000元)","● 定速巡航
○ 全速自适应巡航 (7000元)",● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,-,○ L2,○ L2,○ L2,○ L2,○ L2,○ L2
驾驶功能,卫星导航系统,-,-,○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元),○ (6500元)
驾驶功能,导航路况信息显示,-,-,○,○,○,○,○,○
驾驶功能,并线辅助,-,-,○ (3500元),○ (3500元),○ (3500元),○ (3500元),○ (3500元),○ (3500元)
驾驶功能,车道保持辅助系统,-,-,○ (5500元),○ (5500元),○ (5500元),○ (5500元),○ (5500元),○ (5500元)
驾驶功能,辅助泊车入位,○ (1500元),○ (1500元),●,●,●,●,●,●
外观/防盗,外观套件,-,● 运动风格,-,● 运动风格,● 运动风格,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,○,○,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,○ 前排,○ 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,○ 矩阵式 (6000元),○ 矩阵式 (6000元),○ 矩阵式 (6000元),○ 矩阵式 (6000元),○ 矩阵式 (6000元),● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●
车外灯光,大灯清洗装置,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●
天窗/玻璃,后排侧隐私玻璃,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元)
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
○ 电动折叠 (1000元)
● 后视镜加热
○ 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
○ 电动折叠 (1000元)
● 后视镜加热
○ 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目 (1000元)"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,●,●,●,●,●,●,●,●
屏幕/系统,触屏振动反馈,●,●,●,●,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (1000元),○ (1000元),○ (1000元),○ (1000元),-,-,○ (1000元),○ (1000元)
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元)
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 皮/Alcantara混搭,● 皮/Alcantara混搭,● 皮/Alcantara混搭,● 皮/Alcantara混搭,● 皮/Alcantara混搭,● 皮/Alcantara混搭,● 皮/Alcantara混搭
座椅配置,运动风格座椅,-,●,●,●,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,○ 加热 (2500元),○ 加热 (2500元),○ 加热 (2500元),○ 加热 (2500元),○ 加热 (2500元),○ 加热 (2500元),○ 加热 (2500元),○ 加热 (2500元)
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ SONOS (8500元),○ SONOS (8500元),○ SONOS (8500元),○ SONOS (8500元),○ SONOS (8500元),○ SONOS (8500元),○ SONOS (8500元),○ SONOS (8500元)
音响/车内灯光,扬声器数量,○ 12喇叭,○ 12喇叭,○ 12喇叭,○ 12喇叭,○ 12喇叭,○ 12喇叭,○ 12喇叭,○ 12喇叭
音响/车内灯光,车内环境氛围灯,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–
选装包,导航包,-,-,○ 选配 (6500元),○ 选配 (6500元),○ 选配 (6500元),○ 选配 (6500元),○ 选配 (6500元),○ 选配 (6500元)
