セクション,項目,银河E5 2026款 530km 启航版,银河E5 2026款 530km 探索版,银河E5 2026款 610km 远航版,银河E5 2026款 610km 探索+版,银河E5 2026款 610km 星舰版,银河E5 2024款 440km 启航版,银河E5 2024款 530km 公务版,银河E5 2024款 440km 探索版,银河E5 2024款 530km 远航版,银河E5 2024款 530km 探索+版,银河E5 2024款 530km 星舰版
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.33,0.33,0.33,0.33,0.33,0.33,0.66,0.33,0.33,0.33,0.33
电池/充电,电池慢充时间(小时),9,9,11,11,11,7.5,9,7.5,9,9,9
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充电量范围(%),10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
电池/充电,对外直流放电功率(kW),6,6,6,6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 235/50 R19,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,225/55 R18 235/50 R19 (3000元)
车轮制动,后轮胎规格,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 235/50 R19,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,225/55 R18 235/50 R19
车轮制动,备胎规格,-,-,-,-,-,● 补胎工具,-,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,-,-,○,○,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,-,-,○,○,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,-,-,-,●,●,-,-,-,-,●,●
主动安全,前方碰撞预警,-,●,●,●,●,-,-,○,○,●,●
主动安全,后方碰撞预警,-,-,-,●,●,-,-,-,-,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,-,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,-,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前- / 后,● 前- / 后,● 前- / 后,● 前 / 后,● 前- / 后,● 前- / 后,● 前- / 后,● 前- / 后,● 前- / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,-,●,●,●,●
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 单目,● 单目,-,-,○ 单目,○ 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 4个,● 5个,● 5个,● 5个,● 5个,● 4个,● 1个,4个 5个,4个 5个,● 5个,● 5个
驾驶硬件,超声波雷达数量,● 3个,● 3个,● 3个,● 3个,● 12个,● 3个,● 3个,● 3个,● 3个,● 3个,● 12个
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,定速巡航 全速自适应巡航 (2500元),定速巡航 全速自适应巡航 (2500元),● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,● L2,-,-,○ L2,○ L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,●,●,-,-,-,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,●,●,-,-,-,-,●,●
驾驶功能,车道保持辅助系统,-,●,●,●,●,-,-,○,○,●,●
驾驶功能,车道居中保持,-,●,●,●,●,-,-,○,○,●,●
驾驶功能,道路交通标识识别,-,●,●,●,●,-,-,○,○,●,●
驾驶功能,辅助泊车入位,-,-,-,-,●,-,-,-,-,-,●
驾驶功能,遥控泊车,-,-,-,-,●,-,-,-,-,-,●
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,○,-,●,●,-,-,-,-,●,●
外观/防盗,电动后备厢位置记忆,-,○,-,●,●,-,-,-,-,●,●
外观/防盗,车顶行李架,-,○,-,●,●,-,-,-,-,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,-,●,●,●,●
外观/防盗,主动闭合式进气格栅,-,-,-,●,●,-,-,-,-,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,●,●,-,-,○,○,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,-,-,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,-,●,●,●,●
天窗/玻璃,感应雨刷功能,-,○ 雨量感应式,-,● 雨量感应式,● 雨量感应式,-,-,-,-,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 14.6英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸,● 15.4英寸
屏幕/系统,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,-,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持Flyme link,● 支持Flyme link,● 支持Flyme link,● 支持Flyme link,● 支持Flyme link,● 支持Flyme link,● 支持Flyme link,● 支持Flyme link,● 支持Flyme link,● 支持Flyme link,● 支持Flyme link
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩
屏幕/系统,语音助手唤醒词,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河,● 你好，银河
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,DeepSeek应用,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线,● 即将上线
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto
屏幕/系统,车机智能芯片,● 龍鹰一号,● 龍鹰一号,● 龍鹰一号,● 龍鹰一号,● 龍鹰一号,● 龍鹰一号,-,● 龍鹰一号,● 龍鹰一号,● 龍鹰一号,● 龍鹰一号
屏幕/系统,车机系统内存(GB),● 16,● 16,● 16,● 16,● 16,-,-,-,-,-,-
屏幕/系统,车机系统存储(GB),● 64,● 64,● 64,● 64,● 64,-,-,-,-,-,-
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,-,●,●,●,●
