セクション,セクション_ja,項目,項目_ja,2026年モデル 530km スタート版,2026年モデル 530km エクスプローラー版,2026年モデル 610km ロングレンジ版,2026年モデル 610km エクスプローラー＋版,2026年モデル 610km スターシップ版,2024年モデル 440km スタート版,2024年モデル 530km ビジネス版,2024年モデル 440km エクスプローラー版,2024年モデル 530km ロングレンジ版,2024年モデル 530km エクスプローラー＋版,2024年モデル 530km スターシップ版
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100,10-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側,車両右前側
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
电池/充电,バッテリー/充電,对外直流放电功率(kW),外部直流放電出力(kW),6,6,6,6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 235/50 R19タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,225/55 R18、235/50 R19（3000元）
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 235/50 R19タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,225/55 R18、235/50 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,● パンク修理キット,-,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●,●,-,-,○,○,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●,●,-,-,○,○,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,●,●,-,-,-,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●,●,-,-,○,○,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,●,●,-,-,-,-,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セキュリティモード/監視機能,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ、エコノミー、標準／快適モード,● スポーツ、エコノミー、標準／快適モード,● スポーツ、エコノミー、標準／快適モード,● スポーツ、エコノミー、標準／快適モード,● スポーツ、エコノミー、標準／快適モード,● スポーツ、エコノミー、標準／快適モード,● スポーツ、エコノミー、標準／快適モード,● スポーツ、エコノミー、標準／快適モード,● スポーツ、エコノミー、標準／快適モード,● スポーツ、エコノミー、標準／快適モード,● スポーツ、エコノミー、標準／快適モード
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前／後,● 前／後,● 前／後,● 前／後,● 前席／後席,● 前／後,● 前／後,● 前／後,● 前／後,● 前／後,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,-,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,-,○ 単眼カメラ,○ 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 4個,● 5個,● 5個,● 5個,● 5個,● 4個,● 1個,4個、5個,4個、5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 3個,● 3個,● 3個,● 3個,● 12個,● 3個,● 3個,● 3個,● 3個,● 3個,● 12個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,クルーズコントロール、全速度域対応アダプティブクルーズコントロール（2500元）,クルーズコントロール、全速度域対応アダプティブクルーズコントロール（2500元）,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● L2,● L2,● L2,● L2,-,-,○ L2,○ L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,●,●,-,-,-,-,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,●,●,-,-,-,-,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,●,●,-,-,○,○,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,-,●,●,●,●,-,-,○,○,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,●,●,-,-,○,○,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,●,-,-,-,-,-,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,-,-,●,-,-,-,-,-,●
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,○,-,●,●,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,○,-,●,●,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,○,-,●,●,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー,● リモコンキー・Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,-,-,●,●,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,●,●,-,-,○,○,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●
