セクション,項目,皓影 2025款 240TURBO 两驱精英版 5座,皓影 2025款 240TURBO 两驱豪华版 5座,皓影 2025款 240TURBO 两驱豪华版 7座,皓影 2025款 240TURBO 两驱尊贵版 5座,皓影 2025款 240TURBO 四驱尊享版 5座,皓影 2025款 e:HEV 两驱豪华版,皓影 2025款 e:HEV 两驱尊耀版,皓影 2025款 e:HEV 四驱尊耀版,皓影 2025款 e:HEV 两驱尊享版,皓影 2025款 e:HEV 四驱至尊版
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,-,●,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,-,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,-,●,●,●,●,-,●,●,●,●
主动安全,低速行车警告,-,-,-,-,-,●,●,●,●,●
主动安全,内置行车记录仪,-,-,-,-,●,-,-,-,-,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 经济 标准/舒适 雪地,● 经济 标准/舒适 雪地,● 经济 标准/舒适 雪地,● 经济 标准/舒适 雪地,● 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地
驾驶操控,发动机启停技术,●,●,●,●,●,-,-,-,-,-
驾驶操控,能量回收系统,-,-,-,-,-,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变转向比,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,● 前- / 后,● 前- / 后,● 前- / 后,● 前 / 后,-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像 车侧盲区影像,-,● 倒车影像 车侧盲区影像,● 倒车影像 车侧盲区影像,● 倒车影像 车侧盲区影像,● 360度全景影像 车侧盲区影像
驾驶硬件,超声波雷达数量,-,● 4个,● 4个,● 4个,● 8个,-,● 8个,● 8个,● 8个,● 8个
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,-,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,● L2,-,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,●,●,-,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●
驾驶功能,AR实景导航,-,-,-,-,●,-,-,-,-,●
驾驶功能,并线辅助,-,-,-,●,●,-,●,●,●,●
驾驶功能,车道保持辅助系统,-,●,●,●,●,-,●,●,●,●
驾驶功能,车道居中保持,-,●,●,●,●,-,●,●,●,●
驾驶功能,道路交通标识识别,-,●,●,●,●,-,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助变道,-,-,-,-,●,-,-,-,-,●
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,-,●,●,-,-,-,●,●
外观/防盗,感应后备厢,-,-,-,●,●,-,-,-,●,●
外观/防盗,电动后备厢位置记忆,-,-,-,●,●,-,-,-,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●,●,●,●
外观/防盗,远程启动功能,-,●,●,●,●,-,-,-,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,●,●,-,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,-,-,●,-,-,-,-,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 全车,● 驾驶位,● 驾驶位,● 驾驶位,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,-,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,-,-,-,-,●,-,-,-,-,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,● 雨量感应式,-,-,-,-,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗
屏幕/系统,语音助手唤醒词,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
屏幕/系统,车载智能系统,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车
智能化配置,主动降噪,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,●,-,-,-,-,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,●,●,●,●,-,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 7英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,●,-,-,-,-,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目 流媒体,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 流媒体
方向盘/内后视镜,ETC装置,●,●,●,●,●,●,●,●,●,●
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,-,● 前排,-,-,● 前排,● 前排,● 前排
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 织物,● 真皮,● 真皮,● 真皮,● 真皮,● 织物,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,-,-,● 加热 通风,● 加热 通风,-,-,-,● 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,-,-,-,● 驾驶位,● 驾驶位,-,-,-,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,第二排座椅功能,-,-,-,-,● 加热,-,-,-,-,● 加热
座椅配置,座椅布局,-,-,● 2-3-2,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,● BOSE,● BOSE,-,-,-,● BOSE,● BOSE
