セクション_ja,項目_ja,2025年モデル 改良版 E 260 L,2025年モデル 改良版 E 260 L スポーツタイプ,2025年モデル 改良版 E 260 L 4MATIC,2025年モデル 改良版 E 260 L 4MATIC スポーツタイプ,2025年モデル 改良版 E 300 L ファッショナブルタイプ,2025年モデル 改良版 E 300 L ファッショナブルスポーツタイプ,2025年モデル 改良版 E 300 L ラグジュアリータイプ,2025年モデル 改良版 E 300 L ラグジュアリースポーツタイプ,2025年モデル 改良版 E 300 L プレミアムタイプ,2025年モデル 改良版 E 300 L プレミアムスポーツタイプ
基本,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4门5座三厢车,4门5座三厢车
基本,エンジン,2.0T 204馬力 L4,2.0T 204馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258马力 L4,2.0T 258马力 L4
基本,全長×全幅×全高(mm),5092×1880×1493（mm）,5092×1880×1493（mm）,5092×1880×1493（mm）,5092×1880×1493（mm）,5092×1880×1493（mm）,5092×1880×1493（mm）,5092×1880×1493（mm）,5092×1880×1493（mm）,5092*1880*1493,5092*1880*1493
基本,公式0-100km/h加速(s),7.7,7.7,8,8,6.6,6.6,6.6,6.6,6.6,6.6
基本,最高速度(km/h),233,233,230,230,245,245,245,245,245,245
基本,WLTC複合燃費(L/100km),6.15,6.15,6.6,6.6,6.55,6.55,6.55,6.55,6.55,6.55
基本,車両保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 三年不限公里,● 三年不限公里
基本,車両重量(kg),1890,1890,1955,1955,1930,1930,1950,1950,1950,1950
基本,最大積載質量(kg),2470,2470,2540,2540,2520,2520,2520,2520,2520,2520
車体,全長(mm),5092,5092,5092,5092,5092,5092,5092,5092,5092,5092
車体,全幅(mm),1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
車体,全高(mm),1493,1493,1493,1493,1493,1493,1493,1493,1493,1493
車体,ホイールベース(mm),3094,3094,3094,3094,3094,3094,3094,3094,3094,3094
車体,前トレッド(mm),1628,1628,1628,1628,1622,1622,1622,1622,1622,1622
車体,後トレッド(mm),1641,1641,1641,1641,1604,1604,1604,1604,1604,1604
車体,アプローチアングル(°),15,15,15,15,15,15,15,15,15,15
車体,デパーチャーアングル(°),17,17,17,17,17,17,17,17,17,17
車体,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,三厢车,三厢车
車体,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,平开门,平开门
車体,ドア数(個),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
車体,乗車定員(人),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
車体,燃料タンク容量(L),66,66,66,66,66,66,66,66,66,66
車体,トランク容量(L),,,,,,,,,,
車体,空気抵抗係数(Cd),0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
エンジン,エンジン型式,254 920,254 920,254 920,254 920,254 920,254 920,254 920,254 920,254 920,254 920
エンジン,排気量(mL),1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
エンジン,排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
エンジン,吸気方式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,涡轮增压,涡轮增压
エンジン,エンジン配置,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,纵置,纵置
エンジン,シリンダー配列,L,L,L,L,L,L,L,L,L,L
エンジン,気筒数(個),4,4,4,4,4,4,4,4,4,4
エンジン,1気筒あたりのバルブ数(個),4,4,4,4,4,4,4,4,4,4
エンジン,バルブ駆動方式,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC,DOHC
エンジン,最大馬力(Ps),204,204,204,204,258,258,258,258,258,258
エンジン,最大出力(kW),150,150,150,150,190,190,190,190,190,190
エンジン,最大出力回転数(rpm),5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
エンジン,最大トルク(N·m),320,320,320,320,400,400,400,400,400,400
エンジン,最大トルク回転数(rpm),1600-4000,1600-4000,1600-4000,1600-4000,2000-3200,2000-3200,2000-3200,2000-3200,2000-3200,2000-3200
エンジン,最大正味出力(kW),150,150,150,150,190,190,190,190,190,190
エンジン,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,汽油+48V轻混系统,汽油+48V轻混系统
エンジン,燃料指定,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95号,95号
エンジン,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直喷,直喷
エンジン,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,铝合金,铝合金
エンジン,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,铝合金,铝合金
エンジン,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI,国VI
トランスミッション,略称,9速AT（手自一体）,9速AT（手自一体）,9速AT（手自一体）,9速AT（手自一体）,9速AT（手自一体）,9速AT（手自一体）,9速AT（手自一体）,9速AT（手自一体）,9挡手自一体,9挡手自一体
トランスミッション,ギア段数,9,9,9,9,9,9,9,9,9,9
トランスミッション,トランスミッションタイプ,手自一体変速機（AT）,手自一体変速機（AT）,手自一体変速機（AT）,手自一体変速機（AT）,手自一体変速機（AT）,手自一体変速機（AT）,手自一体変速機（AT）,手自一体変速機（AT）,手自一体变速箱(AT),手自一体变速箱(AT)
シャシー・ステアリング,駆動方式,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● フロントエンジン・後輪駆動,● 前置后驱,● 前置后驱
シャシー・ステアリング,4WD形式,● フルタイム4WD,● フルタイム4WD,● 全时四驱,● 全时四驱,,,,,,
シャシー・ステアリング,センターデフ構造,● 多板クラッチ,● 多板クラッチ,● 多片离合器,● 多片离合器,,,,,,
シャシー・ステアリング,フロントサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● 多连杆式独立悬架,● 多连杆式独立悬架
シャシー・ステアリング,リアサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● 多连杆式独立悬架,● 多连杆式独立悬架
シャシー・ステアリング,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 电动助力,● 电动助力
シャシー・ステアリング,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,承载式,承载式
ホイール・ブレーキ,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● 通风盘式,● 通风盘式
ホイール・ブレーキ,後ブレーキタイプ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● 通风盘式,● 通风盘式
ホイール・ブレーキ,パーキングブレーキタイプ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 电子驻车,● 电子驻车
ホイール・ブレーキ,前輪タイヤサイズ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/40 R20タイヤ,● 245/40 R20タイヤ,● 245/40 R20,● 245/40 R20
ホイール・ブレーキ,後輪タイヤサイズ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 275/40 R19タイヤ,● 275/40 R19タイヤ,● 275/40 R19タイヤ,● 275/40 R19タイヤ,● 275/35 R20タイヤ,● 275/35 R20タイヤ,● 275/35 R20,● 275/35 R20
ホイール・ブレーキ,スペアタイヤサイズ,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● 无,● 无
衝突安全,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 主 / 副,● 主 / 副
衝突安全,前後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,前席／後席（3300元）,前席／後席（3300元）,前席／後席（3300元）,前席／後席（3300元）,前 / 后 (3300元),前 / 后 (3300元)
衝突安全,前後席ヘッドエアバッグ（カーテン）,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前 / 后,● 前 / 后
衝突安全,ニーエアバッグ,● 運転席・助手席膝部エアバッグ,● 運転席・助手席膝部エアバッグ,● 運転席・助手席膝部エアバッグ,● 運転席・助手席膝部エアバッグ,● 運転席・助手席膝部エアバッグ,● 運転席・助手席膝部エアバッグ,● 運転席・助手席膝部エアバッグ,● 運転席・助手席膝部エアバッグ,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊
衝突安全,前席中央エアバッグ,●,●,●,●,●,●,●,●,●,●
衝突安全,歩行者保護機能（パッシブ）,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,ABS（アンチロック・ブレーキ・システム）,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,制動力配分（EBD/CBC等）,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,ブレーキアシスト（EBA/BAS/BA等）,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,トラクションコントロール（ASR/TCS/TRC等）,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,車両安定制御（ESC/ESP/DSC等）,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,タイヤ空気圧監視システム（TPMS）,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● 胎压显示,● 胎压显示
アクティブセーフティ,シートベルト未装着警告,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全车,● 全车
アクティブセーフティ,ISOFIXチャイルドシート固定機構,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,車線逸脱警報システム,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,自動ブレーキ／先進安全システム,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,ドライバー疲労検知システム,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,前方衝突警報,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,●
アクティブセーフティ,ロードアシスタンスコール,●,●,●,●,●,●,●,●,●,●
ドライビングコントロール,ドライブモード切替,● スポーツ・エコ・標準／快適・カスタム／パーソナライズドモード,● スポーツ・エコ・標準／快適・カスタム／パーソナライズドモード,● スポーツ・エコ・標準／快適・カスタム／パーソナライズドモード,● スポーツ・エコ・標準／快適・カスタム／パーソナライズドモード,● スポーツ・エコ・標準／快適・カスタム／パーソナライズドモード,● スポーツ・エコ・標準／快適・カスタム／パーソナライズドモード,● スポーツ・エコ・標準／快適・カスタム／パーソナライズドモード,● スポーツ・エコ・標準／快適・カスタム／パーソナライズドモード,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
ドライビングコントロール,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●
ドライビングコントロール,オートパーキングブレーキ,●,●,●,●,●,●,●,●,●,●
ドライビングコントロール,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●
ドライビングコントロール,可変サスペンション機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● サスペンション硬さ調整機能,● 悬架软硬调节,● 悬架软硬调节
ドライビングコントロール,可変ステアリングギア比,●,●,●,●,●,●,●,●,●,●
ドライビングハードウェア,前後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前 / 后,● 前 / 后
ドライビングハードウェア,運転支援カメラ映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度全景影像,● 360度全景影像
ドライビングハードウェア,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● 双目,● 双目
ドライビングハードウェア,カメラ台数,● 6個,● 6個,● 6個,● 6個,● 6個,● 6個,● 6個,● 6個,● 6个,● 6个
ドライビングハードウェア,車内カメラ台数,,,○ 1個,○ 1個,● 1個,● 1個,● 1個,● 1個,● 1个,● 1个
ドライビングハードウェア,超音波センサー台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12个,● 12个
ドライビング機能,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速自适应巡航,● 全速自适应巡航
ドライビング機能,運転支援レベル,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● L2,● L2
ドライビング機能,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●
ドライビング機能,ナビ渋滞情報表示,●,●,●,●,●,●,●,●,●,●
ドライビング機能,地図ブランド,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高德,● 高德
ドライビング機能,AR実景ナビゲーション,,,,,,,,,●,●
ドライビング機能,レーンチェンジアシスト,●,●,●,●,●,●,●,●,●,●
ドライビング機能,レーンキープアシストシステム,●,●,●,●,●,●,●,●,●,●
ドライビング機能,車線中央維持機能,○,○,○,○,●,●,●,●,●,●
ドライビング機能,交通標識認識機能,○,○,○,○,●,●,●,●,●,●
ドライビング機能,駐車アシスト,●,●,●,●,●,●,●,●,●,●
ドライビング機能,レーンチェンジ支援,○,○,○,○,●,●,●,●,●,●
ドライビング機能,ランプ自動進出支援,○,○,○,○,●,●,●,●,●,●
ドライビング機能,運転支援対応区間,○ 高速道路区間対応,○ 高速道路区間対応,● 高速道路区間対応,● 高速道路区間対応,● 高速道路区間対応,● 高速道路区間対応,● 高速道路区間対応,● 高速道路区間対応,● 高速路段,● 高速路段
エクステリア・盗難防止,エクステリアキット,,● スポーツスタイル,,● スポーツスタイル,,● スポーツスタイル,,● スポーツスタイル,,● 运动风格
エクステリア・盗難防止,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 铝合金,● 铝合金
エクステリア・盗難防止,電動トランク,,,,,●,●,●,●,●,●
エクステリア・盗難防止,ハンズフリートランク（感応式）,,,,,●,●,●,●,●,●
エクステリア・盗難防止,電動トランク位置メモリー機能,,,,,,,,,●,●
エクステリア・盗難防止,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●
エクステリア・盗難防止,車内集中ドアロック,●,●,●,●,●,●,●,●,●,●
エクステリア・盗難防止,キータイプ,● リモコンキー,● リモコンキー,● リモコンキー NFC/RFIDキー UWBデジタルキー,● リモコンキー NFC/RFIDキー UWBデジタルキー,● リモコンキー NFC/RFIDキー UWBデジタルキー,● リモコンキー NFC/RFIDキー UWBデジタルキー,● リモコンキー NFC/RFIDキー UWBデジタルキー,● リモコンキー NFC/RFIDキー UWBデジタルキー,● 遥控钥匙 NFC/RFID钥匙 UWB数字钥匙,● 遥控钥匙 NFC/RFID钥匙 UWB数字钥匙
エクステリア・盗難防止,キーレススタートシステム,●,●,●,●,●,●,●,●,●,●
エクステリア・盗難防止,キーなしエントリー機能,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全车,● 全车
エクステリア・盗難防止,隠し電動ドアハンドル,●,●,●,●,●,●,●,●,●,●
エクステリア・盗難防止,リモートスタート機能,●,●,●,●,●,●,●,●,●,●
外部ライト,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
外部ライト,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
外部ライト,ライト特長機能,,,,,○ デジタル式（2.40万元）,○ デジタル式（2.40万元）,● デジタル式,● デジタル式,● 数字式,● 数字式
外部ライト,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●
外部ライト,アダプティブハイローライト,●,●,●,●,●,●,●,●,●,●
外部ライト,オートヘッドライト,●,●,●,●,●,●,●,●,●,●
外部ライト,コーナリングライト,,,,,,,○,○,●,●
外部ライト,フロントフォグランプ,,,,,,,,,,
外部ライト,ヘッドライト高さ調整機能,●,●,●,●,●,●,●,●,●,●
外部ライト,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●
サンルーフ・ガラス,サンルーフタイプ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● 分段式电动天窗,● 分段式电动天窗
サンルーフ・ガラス,前後電動ウインドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前 / 后,● 前 / 后
サンルーフ・ガラス,ワンタッチウインドウアップ／ダウン機能,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全车,● 全车
サンルーフ・ガラス,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●
サンルーフ・ガラス,側面多層防音ガラス,,,,,○ 全車（3100元）,○ 全車（3100元）,● 全車両,● 全車両,● 全车,● 全车
サンルーフ・ガラス,リアウインドウサンシェード,,,,,,,,,●,●
サンルーフ・ガラス,後席側面サンシェード,,,,,,,● 電動,● 電動,● 电动,● 电动
サンルーフ・ガラス,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
サンルーフ・ガラス,リアワイパー,,,,,,,,,,
サンルーフ・ガラス,レインセンサー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感应式,● 雨量感应式
外側ドアミラー,外側ドアミラー機能,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整 電動格納 ドアミラー加熱 施錠時自動格納,● 電動調整 電動格納 ドアミラー記憶 ドアミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー記憶 ドアミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー記憶 ドアミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー記憶 ドアミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー記憶 ドアミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ドアミラー記憶 ドアミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目
ディスプレイ・システム,センターコンソールカラースクリーン,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● 触控液晶屏,● 触控液晶屏
ディスプレイ・システム,センタースクリーンサイズ,● 14.4インチ,● 14.4インチ,● 14.4インチ,● 14.4インチ,● 14.4インチ,● 14.4インチ,● 14.4インチ,● 14.4インチ,● 14.4英寸,● 14.4英寸
ディスプレイ・システム,助手席エンターテインメントスクリーンサイズ,,,○ 12.3インチ,○ 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3英寸,● 12.3英寸
ディスプレイ・システム,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●
ディスプレイ・システム,スマホ連携／ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● 支持CarPlay,● 支持CarPlay
ディスプレイ・システム,音声認識コントロールシステム,マルチメディアシステム ナビ 電話 エアコン サンルーフ シートヒーター,マルチメディアシステム ナビ 電話 エアコン サンルーフ シートヒーター,マルチメディアシステム ナビ 電話 エアコン サンルーフ シートヒーター シートベンチレーション,マルチメディアシステム ナビ 電話 エアコン サンルーフ シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン サンルーフ シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン サンルーフ シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン サンルーフ シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン サンルーフ シートヒーター シートベンチレーション,● 多媒体系统 导航 电话 空调 天窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 天窗 座椅加热 座椅通风
