セクション,項目,探岳 2026款 3000万辆甄选款 300TSI,探岳 2026款 3000万辆甄选款 330TSI,探岳 2025款 探岳L 380TSI 四驱豪华,探岳 2025款 探岳L 380TSI 四驱豪华Easy包,探岳 2025款 探岳L 330TSI 两驱精英,探岳 2025款 探岳L 330TSI 两驱精英City包,探岳 2025款 改款 众享款 330TSI,探岳 2025款 探岳L 300TSI 两驱精英,探岳 2025款 改款 众享款 300TSI,探岳 2024款 300TSI 两驱豪华Plus进阶版,探岳 2024款 330TSI 两驱豪华Plus进阶版,探岳 2024款 330TSI 两驱R-Line高能版,探岳 2024款 380TSI 四驱R-Line高能版,探岳 2024款 380TSI 四驱R-Line Pro智慧版
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,-,-,● 适时四驱,● 适时四驱,-,-,-,-,-,-,-,-,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,-,-,● 多片离合器,● 多片离合器,-,-,-,-,-,-,-,-,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 235/55 R18
○ 235/50 R19 (2000元)","● 235/55 R18
○ 235/50 R19 (2000元)","● 255/45 R19
○ 255/40 R20 (2500元)",● 255/40 R20,"● 235/55 R18
○ 235/50 R19 (2000元)","● 255/45 R19
○ 255/40 R20 (2500元)","● 235/55 R18
○ 235/50 R19 (1000元)","● 235/55 R18
○ 235/50 R19 (2000元)","● 235/55 R18
○ 235/50 R19 (1000元)","● 235/55 R18
○ 235/50 R19 (2000元)","● 235/55 R18
○ 235/50 R19 (2000元)",● 235/50 R19,● 235/50 R19,● 235/45 R20
车轮制动,后轮胎规格,"● 235/55 R18
○ 235/50 R19","● 235/55 R18
○ 235/50 R19","● 255/45 R19
○ 255/40 R20",● 255/40 R20,"● 235/55 R18
○ 235/50 R19","● 255/45 R19
○ 255/40 R20","● 235/55 R18
○ 235/50 R19","● 235/55 R18
○ 235/50 R19","● 235/55 R18
○ 235/50 R19","● 235/55 R18
○ 235/50 R19 (2000元)","● 235/55 R18
○ 235/50 R19 (2000元)",● 235/50 R19,● 235/50 R19,● 235/45 R20
车轮制动,备胎规格,○ 非全尺寸 (200元),○ 非全尺寸 (200元),● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,○ 非全尺寸 (200元),● 非全尺寸,○ 非全尺寸 (200元),● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,○ 后备厢内,○ 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,○ 后备厢内,● 后备厢内,○ 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,-,-,-,-,● 主驾膝部气囊,-,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,-,-,●,●,●,●,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,○,○,●,●,●,●,○,●,○,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,-,●,●,●,●,●,●
主动安全,DOW开门预警,-,-,●,●,●,●,-,●,-,-,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,●,●,●,●,-,●,-,-,-,-,-,-
主动安全,道路救援呼叫,-,-,●,●,●,●,-,●,-,-,-,-,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,-,-,●,●,●,●,-,●,-,-,-,-,-,-
驾驶操控,陡坡缓降,-,-,●,●,-,-,-,-,-,-,-,-,●,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,"● 倒车影像
○ 360度全景影像 (1500元)","● 倒车影像
○ 360度全景影像 (1500元)",● 360度全景影像,● 360度全景影像,"● 倒车影像
○ 360度全景影像 (3000元)",● 360度全景影像,● 倒车影像,"● 倒车影像
○ 360度全景影像 (3000元)",● 倒车影像,"● 倒车影像
○ 360度全景影像 (3000元)","● 倒车影像
○ 360度全景影像 (3000元)",● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,○,○,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前方感知摄像头,-,-,"● 单目
○ 双目","● 单目
● 双目","● 单目
○ 双目","● 单目
○ 双目",-,● 单目,-,-,-,-,-,-
驾驶硬件,摄像头数量,-,-,"● 5个
○ 7个",● 7个,"● 2个
○ 7个","● 5个
○ 7个",-,"● 2个
○ 5个",-,-,-,-,-,-
驾驶硬件,超声波雷达数量,-,-,● 12个,● 12个,● 8个,● 12个,-,● 8个,-,-,-,-,-,-
驾驶硬件,毫米波雷达数量,-,-,● 5个,● 5个,● 5个,● 5个,-,● 5个,-,-,-,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,○ Travel Assist,○ Travel Assist,"○ IQ. Pilot (6000元)
● Travel Assist",● IQ. Pilot,"○ IQ. Pilot (6000元)
● Travel Assist","○ IQ. Pilot (6000元)
● Travel Assist",○ Travel Assist,● Travel Assist,○ Travel Assist,● Travel Assist,● Travel Assist,● Travel Assist,● Travel Assist,● Travel Assist
驾驶功能,辅助驾驶等级,○ L2,○ L2,● L2,● L2,● L2,● L2,○ L2,● L2,○ L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,●,●,●,-,●,-,-,-,○,○,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,-,-,● 四维图新,● 四维图新,● 四维图新,● 四维图新,-,● 四维图新,-,-,-,-,-,-
驾驶功能,AR实景导航,-,-,●,●,●,●,-,●,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,●,●,●,●,-,●,-,-,-,○ (1500元),○ (1500元),●
驾驶功能,车道保持辅助系统,○,○,●,●,●,●,○,●,○,●,●,●,●,●
驾驶功能,车道居中保持,○,○,●,●,●,●,○,●,○,●,●,●,●,●
驾驶功能,道路交通标识识别,○,○,●,●,●,●,○,●,○,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,●,●,-,●,-,-,-,-,-,-,-,●
驾驶功能,辅助变道,-,-,○,●,○,○,-,-,-,-,-,-,-,-
驾驶功能,方向盘离手检测,○,○,●,●,●,●,○,●,○,●,●,●,●,●
外观/防盗,外观套件,-,-,● 运动风格,● 运动风格,-,● 运动风格,-,-,-,-,-,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,○ (1600元),○ (1600元),●,●,○ (2000元),●,○ (1600元),○ (2000元),○ (1600元),●,●,●,●,●
外观/防盗,感应后备厢,-,-,●,●,○,●,-,○,-,○ (500元),●,●,●,●
外观/防盗,电动后备厢位置记忆,○,○,●,●,○,●,○,○,○,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
○ 蓝牙钥匙 (600元)","● 遥控钥匙
○ 蓝牙钥匙 (600元)","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,-,-,●,●,●,●,-,●,-,-,-,-,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,● 矩阵式,● 矩阵式,-,● 矩阵式,-,-,-,-,-,● 矩阵式,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,●,-,●,-,-,-,-,-,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,●,●,●,●,-,●,-,-,-,-,-,-
车外灯光,转向头灯,-,-,●,●,-,●,-,-,-,-,-,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,场景灯语,-,-,●,●,●,●,-,●,-,-,-,-,-,-
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
