セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T EcoBoost ファッショナブル,2025年モデル 1.5T EcoBoost エレガント,2025年モデル 1.5T EcoBoost ラグジュアリー,2025年モデル 1.5T EcoBoost E ハイブリッド エレガント,2025年モデル 1.5T EcoBoost E ハイブリッド ラグジュアリー,2025年モデル 2.0T EcoBoost ラグジュアリー,2025年モデル 2.0T EcoBoost プレミアム,2025年モデル 2.0T EcoBoost E ハイブリッド スポーツ,2025年モデル 2.0T EcoBoost E ハイブリッド スポーツ STライン
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.76,6.76,6.64,4.86,4.56,6.94,7.15,6.06,5.99
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1503,1503,1520,1595,1603,1573,1609,1708,1736
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1995,1995,1995,2075,2075,2045,2045,2165,2165
车身,車体,长度(mm),全長(mm),4935,4935,4935,4935,4935,4935,4935,4920,4920
车身,車体,宽度(mm),全幅(mm),1875,1875,1875,1875,1875,1875,1875,1920,1920
车身,車体,高度(mm),全高(mm),1500,1500,1500,1500,1500,1500,1500,1600,1600
车身,車体,轴距(mm),ホイールベース(mm),2945,2945,2945,2945,2945,2945,2945,2945,2945
车身,車体,前轮距(mm),前トレッド(mm),1608,1608,1608,1608,1608,1608,1608,1628,1628
车身,車体,后轮距(mm),後トレッド(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),-,-,-,-,-,-,-,168,168
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21,21,21,21,25,25
车身,車体,最小转弯半径(m),最小回転半径(m),-,-,-,-,-,-,-,6.1,6.1
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),66,66,66,52.6,52.6,66,66,52.6,52.6
车身,車体,后备厢容积(L),トランク容量(L),520,520,520,504,504,520,520,527,527
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.293,0.293,0.293,0.293,0.293,0.293,0.293,-,-
发动机,エンジン,发动机型号,エンジン型式,CAF479WQP1,CAF479WQP1,CAF479WQP1,CAF479WQP2,CAF479WQP2,CAF484WQC1,CAF484WQC1,CAF484WQH1,CAF484WQH1
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1995,1995,1995,1995
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,11,11,11,11,11,10.8,10.8,9.5,9.5
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),190,190,190,190,190,254,254,288,288
发动机,エンジン,最大功率(kW),最大出力(kW),140,140,140,140,140,187,187,212,212
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),258,258,258,222,222,393,393,403,403
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1750-4500,1750-4500,1750-4500,1750-6000,1750-6000,2000-4000,2000-4000,3000-4500,3000-4500
发动机,エンジン,最大净功率(kW),最大出力(kW),138,138,138,138,138,185,185,210,210
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,混合噴射,混合噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,-,-,-,永久磁石同期,永久磁石同期,-,-,永久磁石同期,永久磁石同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,-,96,96,-,-,140,140
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),-,-,-,131,131,-,-,190,190
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,235,235,-,-,320,320
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,96,96,-,-,140,140
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,235,235,-,-,320,320
电动机,モーター,系统综合功率(kW),システム総合出力(kW),-,-,-,153,153,-,-,227,227
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),-,-,-,208,208,-,-,308,308
电动机,モーター,驱动电机数,駆動モーター数,-,-,-,単一モーター,単一モーター,-,-,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,-,-,-,前置,前置,-,-,前置,前置
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,-,● 三元リチウム電池,● 三元リチウム電池,-,-,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,-,-,● BYD,● BYD,-,-,● BYD,● BYD
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),-,-,-,1051,1051,-,-,915,915
变速箱,トランスミッション,简称,略称,8速オートマチック,8速オートマチック,8速オートマチック,E-CVT無段変速,E-CVT無段変速,8速オートマチック,8速オートマチック,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,8,8,8,無段変速,無段変速,8,8,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),電子式無段変速機(E-CVT),電子式無段変速機(E-CVT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),電子式無段変速機(E-CVT),電子式無段変速機(E-CVT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/55 R17,● 235/55 R17,● 235/50 R18,● 235/55 R17,● 235/50 R18,● 235/50 R18,● 235/45 R19,● 255/45 R20,● 255/45 R20
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/55 R17,● 235/55 R17,● 235/50 R18,● 235/55 R17,● 235/50 R18,● 235/50 R18,● 235/45 R19,● 255/45 R20,● 255/45 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,-,-,-,-,-,-,-,● 運転席膝部エアバッグ
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,●,-,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,-,-,●,●,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,● 前 / 後,-,● 前 / 後,● 前 / 後,● 前席 / 後席,● 前 / 後,● 前席 / 後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● 360度全方位カメラ,● バックカメラ,● 360度全方位カメラ
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,-,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,● Co-Pilot360,-,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360,● Co-Pilot360
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,● レベル2（L2）,-,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,-,-,●,-,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,-,-,-,-,-,-,-,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,●,-,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,●,-,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,-,●,-,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,●,-,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,起步提醒,発進お知らせ機能,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,-,-,-,-,-,● スポーティスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,-,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,-,-,-,-,-,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー機能,-,-,-,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,-,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,●,-,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 分割式電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内ミラー（化粧鏡）,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）,● 雨量感知式（レインセンサー）
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整式 後方ミラー加熱機能付き,● 電動調整式 後方ミラー加熱機能付き,● 電動調整 電動格納 後方ミラー加熱 鍵施錠時自動格納,● 電動調整式 後方ミラー加熱機能付き,● 電動調整 電動格納 後方ミラー加熱 鍵施錠時自動格納,● 電動調整 電動格納 後方ミラー加熱 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 後方ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 後方ミラー加熱 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 後方ミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 13.2インチ,● 13.2インチ,● 27インチ,● 13.2インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ,● 27インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターディスプレイ解像度,-,-,● 4K（高解像度）,-,● 4K（高解像度）,● 4K（高解像度）,● 4K（高解像度）,● 4K（高解像度）,● 4K（高解像度）
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）,● イーリアン（Yilian）
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）,● マルチメディアシステム（ナビ・電話・エアコン・サンルーフ対応）
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,"● ハロー、フォード（Hello, Ford）","● ハロー、フォード（Hello, Ford）","● ハロー、フォード（Hello, Ford）","● ハロー、フォード（Hello, Ford）","● ハロー、フォード（Hello, Ford）","● ハロー、フォード（Hello, Ford）","● ハロー、フォード（Hello, Ford）","● ハロー、フォード（Hello, Ford）","● ハロー、フォード（Hello, Ford）"
