セクション,項目,库斯途 2024款 270TGDi GLS 领先版,库斯途 2024款 270TGDi LUX 尊贵版,库斯途 2024款 270TGDi TOP 智爱旗舰版,库斯途 2024款 380TGDi LUX Premium 智爱尊贵版,库斯途 2024款 380TGDi TOP Premium 智爱旗舰版,库斯途 2022款 270TGDi 智爱旗舰版 TOP,库斯途 2021款 270TGDi 领先版 GLS,库斯途 2021款 270TGDi 尊贵版 LUX,库斯途 2021款 380TGDi 豪华版 DLX,库斯途 2021款 380TGDi 智爱尊贵版 LUX Premium,库斯途 2021款 380TGDi 智爱旗舰版 TOP Premium
基本参数,发动机,1.5T 170马力 L4,1.5T 170马力 L4,1.5T 170马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,1.5T 170马力 L4,1.5T 170马力 L4,1.5T 170马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4
基本参数,长*宽*高(mm),4950*1850*1734,4950*1850*1734,4950*1850*1734,4950*1850*1734,4950*1850*1734,4950*1850*1734,4950*1850*1734,4950*1850*1734,4950*1850*1734,4950*1850*1734,4950*1850*1734
基本参数,官方0-100km/h加速(s),-,-,-,8.8,8.8,-,-,-,8.8,8.8,8.8
基本参数,最高车速(km/h),200,200,200,210,210,200,200,200,210,210,210
基本参数,NEDC综合油耗(L/100km),6.4,6.5,6.5,6.9,6.9,6.5,6.4,6.5,6.9,6.9,6.9
基本参数,WLTC综合油耗(L/100km),7.4,7.6,7.6,7.7,7.7,7.6,7.4,7.6,7.7,7.7,7.7
基本参数,实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,9.44
基本参数,实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,42.86
基本参数,实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,12
基本参数,整车质保,-,-,-,-,-,-,-,-,-,-,-
基本参数,整备质量(kg),1635,1712,1712,1754,1754,1712,1635,1712,1754,1754,1754
基本参数,最大满载质量(kg),2220,2300,2300,2335,2335,2300,2220,2300,2335,2335,2335
车身,长度(mm),4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950
车身,宽度(mm),1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850
车身,高度(mm),1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734
车身,轴距(mm),3055,3055,3055,3055,3055,3055,3055,3055,3055,3055,3055
车身,前轮距(mm),1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
车身,后轮距(mm),1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632
车身,满载最小离地间隙(mm),121,121,121,121,121,121,121,121,121,121,121
车身,接近角(°),16,16,16,16,16,16,16,16,16,16,16
车身,离去角(°),22,22,22,22,22,22,22,22,22,22,22
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,油箱容积(L),58,58,58,58,58,58,58,58,58,58,58
车身,后备厢容积(L),262-707,262-707,262-707,262-707,262-707,262-707,262-707,262-707,262-707,262-707,262-707
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,G4FS,G4FS,G4FS,G4NN,G4NN,G4FS,G4FS,G4FS,G4NN,G4NN,G4NN
发动机,排量(mL),1497,1497,1497,1975,1975,1497,1497,1497,1975,1975,1975
发动机,排量(L),1.5,1.5,1.5,2.0,2.0,1.5,1.5,1.5,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),170,170,170,236,236,170,170,170,236,236,236
发动机,最大功率(kW),125,125,125,173.6,173.6,125,125,125,173.6,173.6,173.6
发动机,最大功率转速(rpm),5500,5500,5500,6000,6000,5500,5500,5500,6000,6000,6000
发动机,最大扭矩(N·m),253,253,253,353,353,253,253,253,353,353,353
发动机,最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000
发动机,最大净功率(kW),125,125,125,173.6,173.6,125,125,125,173.6,173.6,173.6
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡自动,8挡自动,8挡自动,8挡手自一体,8挡手自一体,8挡自动,8挡自动,8挡自动,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8,8,8,8,8,8,8
变速箱,变速箱类型,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/60 R17,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/60 R17,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,后轮胎规格,● 225/60 R17,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/60 R17,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,● 底挂式,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,●,-,●,-,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,●,-,●,-,●,●
主动安全,疲劳驾驶提示,-,●,●,●,●,●,-,●,-,●,●
主动安全,DOW开门预警,-,-,-,-,●,-,-,-,-,-,●
主动安全,前方碰撞预警,-,●,●,●,●,●,-,●,-,●,●
主动安全,道路救援呼叫,-,●,●,●,●,●,-,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像 车侧盲区影像,● 倒车影像 车侧盲区影像,● 倒车影像 车侧盲区影像,● 倒车影像 车侧盲区影像,● 360度全景影像,● 倒车影像 车侧盲区影像,● 倒车影像 车侧盲区影像,● 倒车影像 车侧盲区影像,● 倒车影像 车侧盲区影像,● 倒车影像 车侧盲区影像,● 360度全景影像
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● Hyundai Smart Sense,● Hyundai Smart Sense,● Hyundai Smart Sense,● Hyundai Smart Sense,● Hyundai Smart Sense,-,● Hyundai Smart Sense,-,● Hyundai Smart Sense,● Hyundai Smart Sense
驾驶功能,辅助驾驶等级,-,-,-,-,● L2,-,-,-,-,-,● L2
驾驶功能,倒车车侧预警系统,-,-,-,-,●,-,-,-,-,-,●
驾驶功能,卫星导航系统,-,●,●,●,●,●,-,●,●,●,●
驾驶功能,导航路况信息显示,-,●,●,●,●,●,-,●,●,●,●
驾驶功能,地图品牌,-,● 百度,● 百度,● 百度,● 百度,● 百度,-,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,-,-,-,-,●,-,-,-,-,-,●
驾驶功能,车道保持辅助系统,-,●,●,●,●,●,-,●,-,●,●
驾驶功能,车道居中保持,-,●,●,●,●,●,-,●,-,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 双侧手动,右侧电动左侧手动 双侧电动,● 双侧电动,右侧电动左侧手动 双侧电动,● 双侧电动,● 双侧电动,右侧电动左侧手动 双侧手动,右侧电动左侧手动 双侧电动,右侧电动左侧手动 双侧电动,右侧电动左侧手动 双侧电动,● 双侧电动
外观/防盗,电动后备厢,-,○,●,○,●,●,-,○,○,○,●
外观/防盗,感应后备厢,-,○,●,○,●,●,-,○,○,○,●
外观/防盗,电动后备厢位置记忆,-,○,●,○,●,●,-,○,○,○,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,-,●,●,●,●,●,-,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,●,●,●,-,●,-,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,-,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 全车,● 全车,● 全车,● 全车,● 全车,● 驾驶位,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,-,-,● 前排,● 前排,-,-,-,-,-,-
天窗/玻璃,后排侧窗遮阳帘,-,● 手动,● 手动,● 手动,● 手动,● 手动,-,● 手动,● 手动,● 手动,● 手动
天窗/玻璃,后排侧隐私玻璃,-,-,-,●,●,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.4英寸,● 10.4英寸,● 10.4英寸,● 10.4英寸,● 10.4英寸,● 10.4英寸,● 10.4英寸,● 10.4英寸,● 10.4英寸,● 10.4英寸,● 10.4英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife
屏幕/系统,语音识别控制系统,-,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,-,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音分区域唤醒识别,-,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,-,-,-,-,-
屏幕/系统,车载智能系统,-,● Bluelink,● Bluelink,● Bluelink,● Bluelink,● Bluelink,-,● Bluelink,● Bluelink,● Bluelink,● Bluelink
智能化配置,车联网,-,●,●,●,●,●,-,●,●,●,●
智能化配置,4G/5G网络,-,● 4G,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,-,-,-,-,-,-,-,-,-,-,-
智能化配置,手机APP远程功能,-,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,-,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断,● 车门控制 车辆启动 车灯控制 车况查询/诊断
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,●,●,-,-,-,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元)
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排3个,● 前排2个/后排3个,● 前排2个/后排3个,● 前排2个/后排3个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排3个,● 前排2个/后排3个
车内充电,手机无线充电功能,-,-,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,-,-,-,● 前排 后排,● 前排 后排
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),前后调节 靠背调节 高低调节(2向) 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,● 主 / 副-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,○ 主 / 副-,主 / 副,● 主 / 副-,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风,-,-,-,● 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,-,-,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,●,●,●,●,-,○,-,●,●
座椅配置,第二排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节 腿托调节 左右调节,● 前后调节 靠背调节 高低调节 腿托调节 左右调节,● 前后调节 靠背调节 高低调节 腿托调节 左右调节,● 前后调节 靠背调节 高低调节 腿托调节 左右调节,● 前后调节 靠背调节,前后调节 靠背调节 高低调节 腿托调节 左右调节,● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节 腿托调节 左右调节,● 前后调节 靠背调节 高低调节 腿托调节 左右调节
座椅配置,第二排座椅电动调节,-,-,●,●,●,●,-,○,-,●,●
座椅配置,第二排座椅功能,-,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风,-,○ 加热 通风,-,● 加热 通风,● 加热 通风
座椅配置,后排小桌板,-,●,●,●,●,●,○,●,●,●,●
座椅配置,零重力座椅,-,-,● 第二排,● 第二排,● 第二排,-,-,-,-,-,-
座椅配置,第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-
