セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L e HEV 鋭・悦享版,2026年モデル 2.0L e HEV 鋭・智享版,2026年モデル 2.0L e HEV 鋭・領享版,2026年モデル 2.0L e HEV 鋭・耀享版,2026年モデル 2.0L e HEV 鋭・至尊版,2026年モデル 2.0L e HEV 鋭・領享福祉版,2024年モデル 2.0L e HEV 鋭・悦享版,2024年モデル 2.0L e HEV 鋭・智享版,2024年モデル 2.0L e HEV 鋭・領享版,2024年モデル 2.0L e HEV 鋭・耀享版,2024年モデル 2.0L e HEV 鋭・至尊版,2024年モデル 2.0L e HEV 鋭・領享福祉版,2024年モデル 2.0L e HEV 鋭・御享四座版
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン
电动机,モーター,三电系统质保,三電システム保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション,● トーションビーム式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 215/60 R17タイヤ,● 215/60 R17タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし,前席● / 後席なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,前席● / 後席●,前席● / 後席●,-,-,-,-,前席● / 後席●,前席● / 後席●,-,前席● / 後席●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●,●,●,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●,●,●,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●,●,●,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,-,前席なし / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● リアカメラ（バックモニター）,● リアカメラ（バックモニター）,"● リアカメラ
● サイドブラインドビューカメラ","● 360度全方位カメラ
● サイドブラインドビューカメラ",● リアカメラ（バックモニター）,-,● リアカメラ（バックモニター）,● リアカメラ（バックモニター）,"● リアカメラ
● サイドブラインドビューカメラ","● 360度全方位カメラ
● サイドブラインドビューカメラ",● リアカメラ（バックモニター）,"● リアカメラ
● サイドブラインドビューカメラ"
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,-,● 2個,● 2個,● 3個,● 5個,● 2個,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 6個,● 6個,● 6個,● 6個,● 8個,● 6個,-,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロール,-,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,-,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● Honda SENSING（ホンダセンシング）,● Honda SENSING（ホンダセンシング）,● Honda SENSING（ホンダセンシング）,● Honda SENSING（ホンダセンシング）,● Honda SENSING（ホンダセンシング）,-,● Honda SENSING（ホンダセンシング）,● Honda SENSING（ホンダセンシング）,● Honda SENSING（ホンダセンシング）,● Honda SENSING（ホンダセンシング）,● Honda SENSING（ホンダセンシング）,● Honda SENSING（ホンダセンシング）
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,-,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,●,-,-,-,-,-,-,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ渋滞情報表示,-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,●,●,●,●,●,-,●,●,●,●,●,●
