セクション,項目,奥德赛 2026款 2.0L e:HEV 锐·悦享版,奥德赛 2026款 2.0L e:HEV 锐·智享版,奥德赛 2026款 2.0L e:HEV 锐·领享版,奥德赛 2026款 2.0L e:HEV 锐·耀享版,奥德赛 2026款 2.0L e:HEV 锐·至尊版,奥德赛 2026款 2.0L e:HEV 锐·领享福祉版,奥德赛 2024款 2.0L e:HEV 锐·悦享版,奥德赛 2024款 2.0L e:HEV 锐·智享版,奥德赛 2024款 2.0L e:HEV 锐·领享版,奥德赛 2024款 2.0L e:HEV 锐·耀享版,奥德赛 2024款 2.0L e:HEV 锐·至尊版,奥德赛 2024款 2.0L e:HEV 锐·领享福祉版,奥德赛 2024款 2.0L e:HEV 锐·御享四座版
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 4
车身,油箱容积(L),50,50,50,50,50,50,50,50,50,50,50,50,50
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,LFB11,LFB11,LFB11,LFB11,LFB11,LFB11,LFB11,LFB11,LFB11,LFB11,LFB11,LFB11,LFB11
发动机,排量(mL),1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),146,146,146,146,146,146,146,146,146,146,146,146,146
发动机,最大功率(kW),107,107,107,107,107,107,107,107,107,107,107,107,107
发动机,最大功率转速(rpm),6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
发动机,最大扭矩(N·m),175,175,175,175,175,175,175,175,175,175,175,175,175
发动机,最大扭矩转速(rpm),3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
发动机,最大净功率(kW),107,107,107,107,107,107,107,107,107,107,107,107,107
发动机,发动机特有技术,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC
发动机,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,电动机总功率(kW),135,135,135,135,135,135,135,135,135,135,135,135,135
电动机,电动机总扭矩(N·m),315,315,315,315,315,315,315,315,315,315,315,315,315
电动机,前电动机最大功率(kW),135,135,135,135,135,135,135,135,135,135,135,135,135
电动机,前电动机最大扭矩(N·m),315,315,315,315,315,315,315,315,315,315,315,315,315
电动机,系统综合功率(kW),158,158,158,158,158,158,158,158,158,158,158,158,158
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里
电池/充电,电池类型,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池,● 锂离子电池
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 225/50 R18,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 225/50 R18,● 215/60 R17,● 215/60 R17
车轮制动,后轮胎规格,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 225/50 R18,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 225/50 R18,● 215/60 R17,● 215/60 R17
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),-,-,-,● 前 / 后,● 前 / 后,-,-,-,-,● 前 / 后,● 前 / 后,-,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,●,●,-,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,●,●,-,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,-,●,●,●,●,●,-,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济,● 运动 经济
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-,● 前- / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,-,● 倒车影像,● 倒车影像,● 倒车影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 倒车影像,-,● 倒车影像,● 倒车影像,● 倒车影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 倒车影像,● 倒车影像 车侧盲区影像
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 单目,● 单目,● 单目,-,-,-,-,-,-,-
驾驶硬件,摄像头数量,-,● 2个,● 2个,● 3个,● 5个,● 2个,-,-,-,-,-,-,-
驾驶硬件,超声波雷达数量,● 6个,● 6个,● 6个,● 6个,● 8个,● 6个,-,-,-,-,-,-,-
驾驶功能,巡航系统,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,-,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING,● Honda SENSING
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,● L2,● L2,-,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,-,●,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,导航路况信息显示,-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,车道居中保持,-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,道路交通标识识别,-,●,●,●,●,●,-,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,●,-,-,-,-,-,●,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 双侧手动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧手动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动
外观/防盗,魔术感应门,-,-,-,-,●,-,-,-,-,-,●,-,-
外观/防盗,电动后备厢,-,●,●,●,●,●,-,●,●,●,●,●,●
外观/防盗,感应后备厢,-,●,●,●,●,●,-,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,●,●,●,-,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙 智能手表/手环钥匙,● 遥控钥匙 蓝牙钥匙 智能手表/手环钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,-,-,-,-,●,-,-,-,-,●,●,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,-,-,-,●,●,-,-,-,-,●,●,-,-
车外灯光,自适应远近光,-,●,●,●,●,●,-,●,●,●,●,●,-
车外灯光,自动头灯,-,●,●,●,●,●,-,●,●,●,●,-,●
车外灯光,转向辅助灯,-,-,-,-,●,-,-,-,-,-,●,-,-
车外灯光,车前雾灯,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 电动天窗,-,-,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 全车,● 全车,● 全车,● 全车,● 全车,● 驾驶位,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,后排侧隐私玻璃,-,-,●,●,●,●,-,-,-,●,●,-,●
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠,● 电动调节 电动折叠 锁车自动折叠
屏幕/系统,中控彩色屏幕,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,-,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,-,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸
屏幕/系统,蓝牙/车载电话,-,●,●,●,●,●,-,●,●,●,●,●,●
屏幕/系统,手机互联/映射,-,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,-,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife
屏幕/系统,语音识别控制系统,-,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,-,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗,● 多媒体系统 导航 电话 空调 车窗
屏幕/系统,语音分区域唤醒识别,-,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,-,-,-,-,-,-,-
屏幕/系统,车载智能系统,-,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,-,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect
屏幕/系统,车载电视,-,-,-,-,-,-,-,-,-,-,-,-,●
屏幕/系统,后排液晶屏幕,-,-,-,-,-,-,-,-,-,-,-,-,●
屏幕/系统,后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,●
智能化配置,车联网,-,●,●,●,●,●,-,●,●,●,●,●,●
智能化配置,4G/5G网络,-,● 4G,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,-,●,●,●,●,●,-,●,●,●,●,●,●
智能化配置,Wi-Fi热点,-,●,●,●,●,●,-,●,●,●,●,●,●
智能化配置,手机APP远程功能,-,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,-,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 空调控制 车况查询/诊断 车辆定位/寻车
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 塑料,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡
方向盘/内后视镜,多功能方向盘,-,●,●,●,●,●,-,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
