セクション,セクション_ja,項目,項目_ja,2024年モデル 2.0L CVT 2WD 都市版,2024年モデル 2.0L CVT 2WD ファッショナブル版,2024年モデル 2.0L CVT 2WD ファッショナブルPlus版,2024年モデル 2.0L CVT 4WD アドベンチャーPlus版,2024年モデル 2.0L CVT 4WD アドベンチャー旗艦版,2024年モデル ハイブリッド 2.5L E CVT 2WD エリートPlus版,2024年モデル ハイブリッド 2.5L E CVT 4WD エリートPlus版,2026年モデル 2.0L ベーシックタイプ,2026年モデル ハイブリッド 2.5L ベーシックタイプ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.0L 171馬力 L4,2.5L 178馬力 L4,2.5L 178馬力 L4,2.0L 171馬力 L4,2.5L 185馬力 L4
基本参数,基本仕様,电动机(Ps),モーター（Ps）,-,-,-,-,-,120,174,-,5
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4600×1855×1680,4600×1855×1680,4625×1855×1680,4610×1865×1680,4610×1865×1680,4600×1855×1685,4600×1855×1685,4620×1855×1680,4620×1855×1680
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.27,6.41,6.41,6.9,6.84,5.1,5.23,-,5.23
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1540,1570,1595,1655,1695,1660,1750,1685,1770
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2115,2115,2115,2195,2195,2195,2230,2150,2240
车身,車体,长度(mm),全長(mm),4600,4600,4625,4610,4610,4600,4600,4620,4620
车身,車体,宽度(mm),全幅(mm),1855,1855,1855,1865,1865,1855,1855,1855,1855
车身,車体,高度(mm),全高(mm),1680,1680,1680,1680,1680,1685,1685,1680,1680
车身,車体,轴距(mm),ホイールベース(mm),2690,2690,2690,2690,2690,2690,2690,2690,2690
车身,車体,前轮距(mm),前トレッド(mm),1605,1605,1605,1605,1595,1605,1605,1600,1600
车身,車体,后轮距(mm),後トレッド(mm),1620,1620,1620,1620,1610,1620,1620,1620,1620
车身,車体,接近角(°),アプローチアングル(°),18,18,18,17,17,18,18,17,17
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20,20,21,21
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.5,5.5,5.7,5.5,5.5,-,-
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),55,55,55,55,55,55,55,55,-
车身,車体,后备厢容积(L),トランク容量(L),542-580,542-580,542-580,542-580,542-580,542-580,542-580,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,M20D,M20D,M20D,M20D,M20D,A25F,A25F,M20D,A25F
发动机,エンジン,排量(mL),排気量(mL),1987,1987,1987,1987,1987,2487,2487,1987,2487
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.0,2.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,缸径(mm),ボア(mm),80.5,80.5,80.5,80.5,80.5,87.5,87.5,80.5,-
发动机,エンジン,行程(mm),ストローク(mm),97.6,97.6,97.6,97.6,97.6,103.4,103.4,97.6,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),171,171,171,171,171,178,178,171,185
发动机,エンジン,最大功率(kW),最大出力(kW),126,126,126,126,126,131,131,126,136
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6600,6600,6600,6600,6600,5700,5700,6600,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),206,206,206,206,206,221,221,206,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4600-5000,4600-5000,4600-5000,4600-5000,4600-5000,3600-5200,3600-5200,4600-5000,-
发动机,エンジン,最大净功率(kW),最大出力(kW),126,126,126,126,126,131,131,126,136
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ガソリン,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）
发动机,エンジン,供油方式,燃料供給方式,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国6
电动机,モーター,电机类型,モーター種類,-,-,-,-,-,永久磁石／同期型,永久磁石／同期型,-,永久磁石／同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,-,-,-,88,128,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,-,-,202,323,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,-,88,88,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,-,202,202,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,-,-,-,-,40,-,-
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,-,-,-,-,-,121,-,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),-,-,-,-,-,160,163,-,-
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),-,-,-,-,-,218,222,-,-
电动机,モーター,驱动电机数,駆動モーター数,-,-,-,-,-,単モーター,デュアルモーター,-,デュアルモーター
电动机,モーター,电机布局,モーター配置,-,-,-,-,-,前置,前置＋後置,-,前置＋後置
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,-,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,-,-,-,-,● 新中源トヨタ,● 新中源トヨタ,-,● 新中源トヨタ
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,-,-,-,-,-,空冷,空冷,-,空冷
变速箱,トランスミッション,简称,略称,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,E-CVT無段変速,E-CVT無段変速,CVT無段変速（擬似10速）,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,10,10,10,10,10,無段変速,無段変速,10,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,無段変速機（CVT）,電子無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置4WD,● 前置前輪駆動,● 前置4WD,● 前置4WD,● 前置4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● パートタイム4WD,● パートタイム4WD,-,● 電動4WD,● パートタイム4WD,● 電動4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,● 多板クラッチ,● 多板クラッチ,-,-,● 多板クラッチ,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック,モノコック
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/65 R17,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 235/55 R19,● 225/60 R18,● 225/60 R18,● 235/60 R18,● 235/50 R20
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/65 R17,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 235/55 R19,● 225/60 R18,● 225/60 R18,● 235/60 R18,● 235/50 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-,-
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,-,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,-,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,-,-,-,-,-,●,●,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適 オフロード 雪道,● スポーツ 経済 標準/快適 オフロード 雪道,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,-,-
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,-,-,-,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,-,-,-,-,-,●,●,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,-,-,-,-,●,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,-,-,● 8個,● 8個,● 8個,● 8個,● 8個,-,-
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,-,-
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,●,-,-,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,●,●,●,●,●,●,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,●,●,●,●,●,●,-,-
驾驶功能,運転機能,地图品牌,地図ブランド,-,● 高徳（ガオドゥ）,● 高徳（ガオドゥ）,● 高徳（ガオドゥ）,● 高徳（ガオドゥ）,● 高徳（ガオドゥ）,● 高徳（ガオドゥ）,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,●,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,-,-
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,●,●,●,●,●,●,●,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアパッケージ,-,-,-,● オフロードスタイル,● オフロードスタイル,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,●,-,●,-,-,-,-
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,-,●,-,-,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,●,-,●,-,-,-,-
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,-,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,-
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,-,-,-,-,●,●,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,-,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止,●,●,●,●,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,-,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,-,-
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,-,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,-,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 HUAWEI HiCar対応,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,-,-
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ,● こんにちは、トヨタ,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,-,-
智能化配置,スマート機能装備,车联网,コネクテッドカー,-,●,●,●,●,●,●,-,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,●,●,●,●,●,●,-,-
