セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5L HEV 2WD 豪華版,2026年モデル 2.5L HEV 4WD 豪華版,2026年モデル 2.5L HEV 4WD 尊貴版,2026年モデル 2.5L HEV 4WD 旗艦版,2026年モデル 2.0T 4WD 劲享版,2026年モデル 2.0T 4WD 劲耀版,2024年モデル 2.5L HEV 2WD 豪華版,2024年モデル 2.5L HEV 4WD 豪華版,2024年モデル 2.5L HEV 4WD 尊貴版,2024年モデル 2.5L HEV 4WD 旗艦版,2024年モデル 2.0T 4WD 劲耀版,2024年モデル 2.0T 4WD 劲享版
发动机,エンジン,行程(mm),ストローク(mm),103.4,103.4,103.4,103.4,88,88,103.4,103.4,103.4,103.4,88,88
发动机,エンジン,最大马力(Ps),最高出力(Ps),189,189,189,189,248,248,189,189,189,189,248,248
发动机,エンジン,最大功率(kW),最大出力(kW),139,139,139,139,182,182,139,139,139,139,182,182
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),236,236,236,236,380,380,236,236,236,236,380,380
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4200-4700,4200-4700,4200-4700,4200-4700,1800-4000,1800-4000,4200-4700,4200-4700,4200-4700,4200-4700,1800-4000,1800-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),139,139,139,139,182,182,139,139,139,139,182,182
发动机,エンジン,发动机特有技术,エンジン独自技術,VVT-iE（可変バルブタイミング）」,VVT-iE（可変バルブタイミング）」,VVT-iE（可変バルブタイミング）」,VVT-iE（可変バルブタイミング）」,-,-,VVT-iE（可変バルブタイミング）」,VVT-iE（可変バルブタイミング）」,VVT-iE（可変バルブタイミング）」,VVT-iE（可変バルブタイミング）」,-,-
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,ハイオクガソリン（95オクタン）,ハイオクガソリン（95オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,ハイオクガソリン（95オクタン）,ハイオクガソリン（95オクタン）
发动机,エンジン,供油方式,燃料供給方式,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射,複合燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,-,-,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),134,174,174,174,-,-,134,174,174,174,-,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),182,237,237,237,-,-,182,237,237,237,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),270,391,391,391,-,-,270,391,391,391,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),134,134,134,134,-,-,134,134,134,134,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),270,270,270,270,-,-,270,270,270,270,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,40,40,40,-,-,-,40,40,40,-,-
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,121,121,121,-,-,-,121,121,121,-,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),181,181,181,181,-,-,181,181,181,181,-,-
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),246,246,246,246,-,-,246,246,246,246,-,-
电动机,モーター,驱动电机数,駆動モーター数,シングルモーター,デュアルモーター,デュアルモーター,デュアルモーター,-,-,シングルモーター,デュアルモーター,デュアルモーター,デュアルモーター,-,-
电动机,モーター,电机布局,モーター配置,フロントエンジン,フロント＋リアエンジン配置,フロント＋リアエンジン配置,フロント＋リアエンジン配置,-,-,フロントエンジン,フロント＋リアエンジン配置,フロント＋リアエンジン配置,フロント＋リアエンジン配置,-,-
电动机,モーター,三电系统质保,三電システム保証,● 8年または20万km保証,● 8年または20万km保証,● 8年または20万km保証,● 8年または20万km保証,-,-,● 8年または20万km保証,● 8年または20万km保証,● 8年または20万km保証,● 8年または20万km保証,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,-,-,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,-,-
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 新中源トヨタ,● 新中源トヨタ,● 新中源トヨタ,● 新中源トヨタ,-,-,● 新中源トヨタ,● 新中源トヨタ,● 新中源トヨタ,● 新中源トヨタ,-,-
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,8,8,無段変速,無段変速,無段変速,無段変速,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,マニュアルモード付AT,マニュアルモード付AT,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,マニュアルモード付AT,マニュアルモード付AT
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）,-,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 走行状況に応じた四輪駆動（オンデマンド4WD）,● 走行状況に応じた四輪駆動（オンデマンド4WD）
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,-,● 多板クラッチ,● 多板クラッチ,-,-,-,-,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ,● 235/55 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ収納方法,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ,● 底部装着式スペアタイヤ
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応,● 全車速対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,-,-,●,●,●,●,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適・オフロード・スノーモード,● スポーツ・エコノミー・標準/快適・オフロード・スノーモード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適モード,● スポーツ・エコノミー・標準/快適・オフロード・スノーモード,● スポーツ・エコノミー・標準/快適・オフロード・スノーモード
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ技術,-,-,-,-,●,●,-,-,-,-,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,-,-,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,-,-,-,-,●,●,-,-,-,-,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,● 前席/後席,● 前席/後席,-,-,-,-,● 前席/後席,● 前席/後席,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ映像,● バックカメラ映像,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ映像,● 360度全方位カメラ,● バックカメラ映像,● バックカメラ映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ映像
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼,● 単眼
