セクション,項目,高尔夫 2026款 300TSI,高尔夫 2026款 300TSI Pro,高尔夫 2026款 300TSI R-Line,高尔夫 2025款 300TSI,高尔夫 2025款 300TSI Pro,高尔夫 2025款 改款 300TSI,高尔夫 2025款 改款 300TSI R-Line,高尔夫 2025款 改款 300TSI Pro,高尔夫 2025款 改款二 300TSI R-Line
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 205/55 R16,● 225/45 R17,225/45 R17 225/40 R18 (2000元),● 205/55 R16,● 225/45 R17,● 205/55 R16,225/45 R17 225/40 R18 (2000元),● 225/45 R17,225/45 R17 225/40 R18 (2000元)
车轮制动,后轮胎规格,● 205/55 R16,● 225/45 R17,225/45 R17 225/40 R18,● 205/55 R16,● 225/45 R17,● 205/55 R16,225/45 R17 225/40 R18,● 225/45 R17,225/45 R17 225/40 R18
车轮制动,备胎规格,补胎工具 非全尺寸 (200元),补胎工具 非全尺寸 (200元),补胎工具 非全尺寸 (200元),补胎工具 非全尺寸 (200元),补胎工具 非全尺寸 (200元),补胎工具 非全尺寸 (200元),补胎工具 非全尺寸 (200元),补胎工具 非全尺寸 (200元),补胎工具 非全尺寸 (200元)
车轮制动,备胎放置方式,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,-,○,●,-,●,-,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,○,●,-,○,-,●,○,●
主动安全,主动刹车/主动安全系统,-,○,●,-,○,-,●,○,●
主动安全,疲劳驾驶提示,-,●,●,-,●,-,●,●,●
主动安全,前方碰撞预警,-,○,●,-,○,-,●,○,●
主动安全,内置行车记录仪,-,●,●,-,●,-,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动,运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动,运动 经济 标准/舒适 自定义/个性化,● 运动,● 运动 经济 标准/舒适 自定义/个性化,运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前 / 后,● 前 / 后,● 前- / 后,● 前 / 后,● 前- / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,-,● 倒车影像,● 倒车影像,-,● 倒车影像,-,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,○ 单目,○ 单目,● 单目,○ 单目,○ 单目,○ 单目,● 单目,○ 单目,● 单目
驾驶硬件,摄像头数量,-,1个 2个,● 2个,-,1个 2个,-,● 2个,1个 2个,● 2个
驾驶硬件,超声波雷达数量,● 4个,● 8个,● 12个,● 4个,● 8个,● 4个,● 12个,● 8个,● 12个
驾驶功能,巡航系统,-,定速巡航 全速自适应巡航,● 全速自适应巡航,-,定速巡航 全速自适应巡航,-,● 全速自适应巡航,定速巡航 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,○ IQ. Drive (6400元),● IQ. Drive,-,○ IQ. Drive (6400元),-,● IQ. Drive,○ IQ. Drive (6400元),● IQ. Drive
驾驶功能,辅助驾驶等级,-,○ L2,● L2,-,○ L2,-,● L2,○ L2,● L2
驾驶功能,倒车车侧预警系统,-,○,●,-,○,-,●,○,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●
驾驶功能,AR实景导航,-,●,●,-,●,-,●,●,●
驾驶功能,并线辅助,-,○,●,-,○,-,●,○,●
驾驶功能,车道保持辅助系统,-,○,●,-,○,-,●,○,●
驾驶功能,车道居中保持,-,○,●,-,○,-,●,○,●
驾驶功能,辅助泊车入位,-,-,●,-,-,-,●,-,●
驾驶功能,方向盘离手检测,-,○,●,-,○,-,●,○,●
外观/防盗,外观套件,-,-,● 运动风格,-,-,-,● 运动风格,-,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 前排,● 前排,-,● 前排,-,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,-,-,-,-,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,○ 矩阵式 (5700元),● 矩阵式,-,○ 矩阵式 (5700元),-,● 矩阵式,○ 矩阵式 (5700元),● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,○,●,-,○,-,●,○,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,转向头灯,-,○,●,-,○,-,●,○,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,○ 电动天窗 (4000元),● 电动天窗,● 电动天窗,○ 电动天窗 (4000元),● 电动天窗,○ 电动天窗 (4000元),● 电动天窗,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸
屏幕/系统,中控屏幕分辨率,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080,● 1920x1080
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,车机系统内存(GB),● 12,● 12,● 12,● 12,● 12,● 12,● 12,● 12,● 12
屏幕/系统,车机系统存储(GB),● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,车联网,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●
智能化配置,V2X通讯,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,皮质 真皮,● 皮质,● 真皮,皮质 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,-,○,-,●,○,●
方向盘/内后视镜,方向盘加热,-,○,●,-,○,-,●,○,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,HUD抬头数字显示,-,○ (3000元),○ (3000元),-,○ (3000元),-,○ (3000元),○ (3000元),○ (3000元)
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○,○,○,○,○,○,○,○,○
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,● 前排,● 前排,-,● 前排,-,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 织物,● 皮/织物混搭,● 仿皮,● 织物,● 皮/织物混搭,● 织物,● 仿皮,● 皮/织物混搭,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,○ 主 / 副- (1000元),● 主 / 副-,-,○ 主 / 副- (1000元),-,● 主 / 副-,○ 主 / 副- (1000元),● 主 / 副-
座椅配置,前排座椅功能,-,○ 加热 (1000元) 通风 (3000元),○ 加热 (1000元) 通风 (2000元),-,○ 加热 (1000元) 通风 (3000元),-,○ 加热 (1000元) 通风 (2000元),○ 加热 (1000元) 通风 (3000元),○ 加热 (1000元) 通风 (2000元)
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,○ Harman/Kardon哈曼卡顿 (4000元),○ Harman/Kardon哈曼卡顿 (4000元),-,○ Harman/Kardon哈曼卡顿 (4000元),-,○ Harman/Kardon哈曼卡顿 (4000元),○ Harman/Kardon哈曼卡顿 (4000元),○ Harman/Kardon哈曼卡顿 (4000元)
音响/车内灯光,扬声器数量,● 5喇叭,7喇叭 10喇叭,7喇叭 10喇叭,● 5喇叭,7喇叭 10喇叭,● 5喇叭,7喇叭 10喇叭,7喇叭 10喇叭,7喇叭 10喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,● 30色,● 30色,-,● 10色,-,● 30色,● 10色,● 30色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,●,-,-,-,●,-,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,●,-,-,-,●,-,●
空调/冰箱,车载空气净化器,-,-,●,-,-,-,●,-,●
空调/冰箱,车内PM2.5过滤装置,-,-,●,-,-,-,●,-,●
空调/冰箱,空气质量监测,-,-,●,-,-,-,●,-,●
颜色,外观颜色,极地白 锰石黑 月岩灰,极地白 锰石黑 月岩灰 青柠绿 ￥2000 月瓷米 ￥2000,极地白 锰石黑 珠光白 ￥2000 月岩灰,极地白 锰石黑 月岩灰,极地白 锰石黑 月岩灰 青柠绿 ￥2000 月瓷米 ￥2000,极地白 锰石黑 月岩灰,锰石黑 珠光白 ￥2000 月岩灰 星际蓝,极地白 锰石黑 月岩灰 青柠绿 ￥2000 月瓷米 ￥2000,极地白 锰石黑 珠光白 ￥2000 月岩灰 星际蓝
颜色,内饰颜色,黑色,黑色 黑色/灰色 黑色/米色 黑色/绿色,黑色/灰色,黑色,黑色 黑色/灰色 黑色/米色,黑色,黑色/灰色,黑色 黑色/灰色 黑色/米色 黑色/绿色,黑色/灰色
选装包,高颜专属内饰包,-,-,-,-,○ 包含：高颜专属内饰、司机侧电动调节座椅 选配 (暂无价格),-,-,○ 包含：高颜专属内饰、司机侧电动调节座椅 选配 (暂无价格),-
选装包,驾驶辅助包2,-,-,-,-,○ 包含：ACC 3.0高级自适应巡航系统、Front Assist前部防碰撞自动刹车系统 选配 (3000元),-,-,○ 包含：ACC 3.0高级自适应巡航系统、Front Assist前部防碰撞自动刹车系统 选配 (3000元),-
选装包,豪华音响包,-,-,-,-,○ 包含：Harman Kardon高级环绕音响带10扬声器 选配 (4000元),-,○ 包含：Harman Kardon高级环绕音响带10扬声器 选配 (4000元),○ 包含：Harman Kardon高级环绕音响带10扬声器 选配 (4000元),○ 包含：Harman Kardon高级环绕音响带10扬声器 选配 (4000元)
