セクション,セクション_ja,項目,項目_ja,2025年モデル 智驾版 430KM 先進型,2025年モデル 智驾版 430KM 上位型,2025年モデル 智驾版 510KM 先進型,2025年モデル 智驾版 510KM 上位型,2025年モデル 智驾版 510KM プレミアム型,2024年モデル 栄光版 430KM 先進型,2024年モデル 栄光版 430KM 上位型,2024年モデル 栄光版 510KM 先進型,2024年モデル 栄光版 510KM 上位型,2024年モデル 栄光版 510KM プレミアム型,2026年モデル ベーシック型
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,160,160,160,160,160,160,180
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.42,1.42,1.45,1.45,1.45,1.38,1.38,1.41,1.41,1.41,-
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1625,1625,1690,1690,1690,1625,1625,1690,1690,1690,1880
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2000,2000,2065,2065,2065,2000,2000,2065,2065,2065,2410
车身,車体,长度(mm),全長(mm),4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455
车身,車体,宽度(mm),全幅(mm),1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875
车身,車体,高度(mm),全高(mm),1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
车身,車体,轴距(mm),ホイールベース(mm),2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
车身,車体,前轮距(mm),前トレッド(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1580
车身,車体,后轮距(mm),後トレッド(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1585
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),24,24,24,24,24,24,24,24,24,24,24
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,ビーワイディー,-
电动机,モーター,后电动机品牌,後モーターブランド,-,-,-,-,-,-,-,-,-,-,ビーワイディー
电动机,モーター,前电动机型号,前モーター型式,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,-
电动机,モーター,后电动机型号,後モーター型式,-,-,-,-,-,-,-,-,-,-,TZ200XYC
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),150,150,150,150,150,150,150,150,150,150,230
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),204,204,204,204,204,204,204,204,204,204,313
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),310,310,310,310,310,310,310,310,310,310,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),150,150,150,150,150,150,150,150,150,150,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),310,310,310,310,310,310,310,310,310,310,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,-,-,-,-,-,-,-,-,230
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,後置
电动机,モーター,三电首任车主质保政策,三電システム初回オーナー保証方針,● 生涯保証/非営業用（免責条項は公式基準に準ずる）,● 生涯保証/非営業用（免責条項は公式基準に準ずる）,● 生涯保証/非営業用（免責条項は公式基準に準ずる）,● 生涯保証/非営業用（免責条項は公式基準に準ずる）,● 生涯保証/非営業用（免責条項は公式基準に準ずる）,● 生涯保証/非営業用（免責条項は公式基準に準ずる）,● 生涯保証/非営業用（免責条項は公式基準に準ずる）,● 生涯保証/非営業用（免責条項は公式基準に準ずる）,● 生涯保証/非営業用（免責条項は公式基準に準ずる）,● 生涯保証/非営業用（免責条項は公式基準に準ずる）,● 生涯保証/非営業用（免責条項は公式基準に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),430,430,510,510,510,430,430,510,510,510,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),49.92,49.92,60.48,60.48,60.48,49.92,49.92,60.48,60.48,60.48,-
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),140,140,150,150,150,140,140,150,150,150,-
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),12.2,12.2,12.5,12.5,12.5,12.2,12.2,12.5,12.5,12.5,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),70,70,80,80,80,70,70,80,80,80,-
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),7.13,7.13,8.64,8.64,8.64,7.13,7.13,8.64,8.64,8.64,-
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右後側
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右前側,車右後側
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3,-,3.3,3.3,3.3,3.3,-
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/55 R18,● 215/55 R18,● 215/60 R17,● 215/60 R17,● 215/60 R17,215/55 R18 235/50 R18 (2000元),215/55 R18 235/50 R18 (2000元),● 215/55 R18
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/55 R18,● 215/55 R18,● 215/60 R17,● 215/60 R17,● 215/60 R17,215/55 R18 235/50 R18,215/55 R18 235/50 R18,● 215/55 R18
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,-,● 前席/後席,-,● 前席/後席,● 前席/後席,-
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 全車,● 全車,● 前席,● 前席,● 前席,● 全車,● 全車,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,-,●,-,●,●,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,-,●,-,●,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,●,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,-,-,-,●,●,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,-,●,-,●,●,-
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,-,-,-,●,●,-
主动安全,アクティブセーフティ,移动物体预警系统,移動物体警告システム,●,●,●,●,●,-,-,-,●,●,-
主动安全,アクティブセーフティ,哨兵模式/千里眼,セキュリティモード/監視機能,●,●,●,●,●,-,-,-,-,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,● スポーツ 経済 標準/快適 雪道,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前-/後,● 前席/後席,● 前-/後,● 前席/後席,● 前席/後席,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● バックカメラ,● 360度パノラマ映像,● バックカメラ,● 360度パノラマ映像,● 360度パノラマ映像,-
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,-,●,-,●,●,-
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,-,● シングルカメラ,-,● シングルカメラ,● シングルカメラ,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 1個,● 5個,● 1個,● 5個,● 5個,-
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,-,-,-,-,● 1個,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 4個,● 6個,● 4個,● 6個,● 12個,-
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 5個,● 5個,● 5個,● 5個,● 5個,-,-,-,● 2個,● 2個,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● クルーズコントロール,● 全速度域自動追従クルーズコントロール,● クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,-
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 100,-,● DiPilot,-,● DiPilot,● DiPilot,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2,● L2,-,● L2,-,● L2,● L2,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,-,-,-,●,●,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● バイドゥ,● 高徳,● 高徳,● 高徳,● 高徳,● 高徳,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,-,-,-,●,●,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,-,●,-,●,●,-
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,-,●,-,●,●,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,-,●,-,●,●,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,-,-,-,-,●,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,●,-,-,-,-,-,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●,●,-,-,-,-,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,-,-,-,-,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,-,●,●,-,-,-,-,●,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,-,●,●,-,-,-,-,●,-
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,●,-,●,●,-,●,-,●,●,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,● リモコンキー Bluetoothキー NFC/RFIDキー,-
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,-,●,●,●,●,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,-,●,-,●,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉可能なパノラマサンルーフ,-,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,-,● 開閉可能なパノラマサンルーフ,-,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,-
