セクション,項目,赛图斯 2026款 1.5L IVT时尚版,赛图斯 2026款 1.5L IVT舒适版,赛图斯 2026款 1.5L IVT豪华版,赛图斯 2026款 1.5L IVT豪华舒享版,赛图斯 2026款 1.5L IVT尊贵版,赛图斯 2026款 1.4T DCT豪华版,赛图斯 2026款 1.4T DCT尊贵版,赛图斯 2026款 1.4T DCT尊贵奢享版
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,●,●,●,●,●,●,●,●
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,-,●,●,●,●
主动安全,主动刹车/主动安全系统,-,-,●,-,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,-,●,●,●,●
主动安全,前方碰撞预警,-,-,●,-,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,发动机启停技术,-,●,●,●,●,●,●,●
驾驶操控,自动驻车,-,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,-,● 倒车影像,● 倒车影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像,● 倒车影像,● 360度全景影像 车侧盲区影像,● 360度全景影像 车侧盲区影像
驾驶硬件,前方感知摄像头,-,-,● 单目,-,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,-,● 1个,● 2个,● 4个,● 5个,● 2个,● 5个,● 5个
驾驶硬件,超声波雷达数量,-,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,毫米波雷达数量,-,-,-,-,● 1个,-,● 1个,● 1个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 自适应巡航,● 定速巡航,● 自适应巡航,● 自适应巡航
驾驶功能,辅助驾驶等级,-,-,-,-,● L2,-,● L2,● L2
驾驶功能,卫星导航系统,-,-,-,●,●,-,●,●
驾驶功能,导航路况信息显示,-,-,-,●,●,-,●,●
驾驶功能,地图品牌,-,-,-,● 百度,● 百度,-,● 百度,● 百度
驾驶功能,并线辅助,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,●,-,●,●,●,●
驾驶功能,车道居中保持,-,-,●,-,●,●,●,●
驾驶功能,道路交通标识识别,-,-,●,-,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,车顶行李架,-,-,●,○,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,-,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,-,-,-,●,●,-,●,●
车外灯光,近光灯光源,● 卤素,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● 卤素,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,-,-,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,-,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,○ LED,-,○ LED,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,● 可开启全景天窗,○ 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 副驾驶+照明灯,● 副驾驶+照明灯,● 副驾驶+照明灯,● 主驾位 副驾驶+照明灯,● 副驾驶+照明灯,● 副驾驶+照明灯,● 副驾驶+照明灯,● 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,● 电动调节,● 电动调节,● 电动调节,电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节,电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
屏幕/系统,中控彩色屏幕,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,-,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,-,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife,● 支持CarLife
屏幕/系统,语音识别控制系统,-,-,-,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,-,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音分区域唤醒识别,-,-,-,● 单区域,● 单区域,-,● 单区域,● 单区域
屏幕/系统,车载智能系统,-,-,-,● Kia Connect,● Kia Connect,-,● Kia Connect,● Kia Connect
智能化配置,车联网,-,-,-,●,●,-,●,●
智能化配置,4G/5G网络,-,-,-,● 4G,● 4G,-,● 4G,● 4G
智能化配置,OTA升级,-,-,-,●,●,-,●,●
智能化配置,手机APP远程功能,-,-,-,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,-,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料,● 真皮,● 塑料,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,●,●,-,●,●
方向盘/内后视镜,液晶仪表尺寸,● 4.2英寸,● 4.2英寸,● 4.2英寸,● 10.25英寸,● 10.25英寸,● 4.2英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○,○,○,○,○,○,○,○
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,手机无线充电功能,-,-,-,-,● 前排,-,● 前排,● 前排
座椅配置,座椅材质,● 织物,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,-,○ 主 / 副-,○ 主 / 副-,-,○ 主 / 副-,● 主 / 副-
座椅配置,前排座椅功能,-,-,-,○ 加热 通风,○ 加热 通风,-,○ 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,○ 靠背调节,-,○ 靠背调节,● 靠背调节
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,前 / 后,● 前 / 后-,前 / 后,● 前 / 后
座椅配置,后排杯架,-,-,-,-,○,-,○,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 6喇叭,● 4喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,○ 多色,-,○ 多色,● 多色
空调/冰箱,空调温度控制方式,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●
颜色,外观颜色,珍珠白 极光黑 跃动红 星耀黄 橄榄绿 冰岩蓝 引力灰,珍珠白 极光黑 跃动红 黑色/珍珠白 星耀黄 橄榄绿 冰岩蓝 引力灰 黑色/橄榄绿 黑色/冰岩蓝 黑色/引力灰 黑色/星耀黄 黑色/跃动红,珍珠白 极光黑 跃动红 黑色/珍珠白 星耀黄 橄榄绿 冰岩蓝 引力灰 黑色/橄榄绿 黑色/冰岩蓝 黑色/引力灰 黑色/星耀黄 黑色/跃动红,珍珠白 极光黑 跃动红 黑色/珍珠白 星耀黄 橄榄绿 冰岩蓝 引力灰 黑色/橄榄绿 黑色/冰岩蓝 黑色/引力灰 黑色/星耀黄 黑色/跃动红,珍珠白 极光黑 跃动红 黑色/珍珠白 星耀黄 橄榄绿 冰岩蓝 引力灰 黑色/橄榄绿 黑色/冰岩蓝 黑色/引力灰 黑色/星耀黄 黑色/跃动红,珍珠白 极光黑 跃动红 黑色/珍珠白 星耀黄 橄榄绿 冰岩蓝 引力灰 黑色/橄榄绿 黑色/冰岩蓝 黑色/引力灰 黑色/星耀黄 黑色/跃动红,珍珠白 极光黑 跃动红 黑色/珍珠白 星耀黄 橄榄绿 冰岩蓝 引力灰 黑色/橄榄绿 黑色/冰岩蓝 黑色/引力灰 黑色/星耀黄 黑色/跃动红,黑色/珍珠白 黑色/橄榄绿 黑色/冰岩蓝 黑色/引力灰 黑色/星耀黄 黑色/跃动红
颜色,内饰颜色,黑色,黑色,黑色 黑色/灰色,黑色 黑色/灰色,黑色 黑色/灰色,黑色 黑色/灰色,黑色 黑色/灰色,黑色 黑色/灰色
选装包,双色车身,-,○ 包含：双色车身 选配 (1500元),○ 包含：双色车身 选配 (1500元),○ 包含：双色车身 选配 (1500元),○ 包含：双色车身 选配 (1500元),○ 包含：双色车身 选配 (1500元),○ 包含：双色车身 选配 (1500元),-
选装包,设计包,-,-,-,-,○ 包含：LED 雾灯、中控台 IMG工艺（软包裹）、多色动态氛围灯、镀铬内门把手、外后视镜电动折叠&加热 选配 (2500元),-,○ 包含：LED 雾灯、中控台 IMG工艺（软包裹）、多色动态氛围灯、镀铬内门把手、外后视镜电动折叠&加热 选配 (2500元),-
选装包,座椅包,-,-,-,-,○ 包含：驾驶席电动座椅(6向)、前排座椅 通风/加热、后排座椅头枕可调(3头枕)、后排中央扶手、后排座椅靠背角度可调 选配 (4000元),-,○ 包含：驾驶席电动座椅(6向)、前排座椅 通风/加热、后排座椅头枕可调(3头枕)、后排中央扶手、后排座椅靠背角度可调 选配 (4000元),-
