セクション,セクション_ja,項目,項目_ja,2025年モデル 2.0L e HEV 鋭・先鋒版,2025年モデル 2.0L e HEV 鋭・テクノロジー版,2025年モデル ハッチバック 2.0L e HEV 鋭・快適型クールパッケージ,2025年モデル 240TURBO MT スピード版,2025年モデル 240TURBO CVT テクノロジー版,2025年モデル ハッチバック 240TURBO MT スピード版,2025年モデル ハッチバック 240TURBO MT チャンピオン版,2024年モデル 240TURBO CVT 無限MUGEN版,2023年モデル 2.0L e HEV 鋭・テクノロジー版,2023年モデル 2.0L e HEV 鋭・豪華版,2023年モデル 2.0L e HEV 鋭・尊享版,2023年モデル ハッチバック 2.0L e HEV 鋭・リーダー版,2023年モデル ハッチバック 2.0L e HEV 鋭・豪華版,2023年モデル ハッチバック 240TURBO MT 専用版,2023年モデル ハッチバック 240TURBO CVT リーダー版,2023年モデル ハッチバック 240TURBO CVT 幻夜・豪華版,2023年モデル ハッチバック 240TURBO CVT 幻夜・尊享版,2023年モデル 240TURBO MT 専用版,2023年モデル 240TURBO CVT リーディング版,2023年モデル 240TURBO CVT テクノロジー版,2023年モデル 240TURBO CVT 幻夜・テクノロジー版,2023年モデル 240TURBO CVT スマート享受版,2023年モデル 240TURBO CVT 豪華版,2023年モデル 240TURBO CVT 幻夜・豪華版,2023年モデル 240TURBO CVT 尊享版
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（個）,● 4（個）,● 5（個）,● 4（個）,● 4（個）,● 5（個）,● 5（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）
车身,車体,座位数(个),乗車定員(名),● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）,● 5（個）
车身,車体,油箱容积(L),燃料タンク容量(L),40,40,40,47,47,47,47,47,40,40,40,40,40,47,47,47,47,47,47,47,47,47,47,47,47
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,LFB17（エンジン型式）,LFB17（エンジン型式）,LFB17（エンジン型式）,L15C9（エンジン型式）,L15CN/L15C9（エンジン型式）,L15C9（エンジン型式）,L15C9（エンジン型式）,L15CN/L15C9（エンジン型式）,LFB17（エンジン型式）,LFB17（エンジン型式）,LFB17（エンジン型式）,LFB17（エンジン型式）,LFB17（エンジン型式）,L15C9（エンジン型式）,L15C9（エンジン型式）,L15C9（エンジン型式）,L15C9（エンジン型式）,L15CN/L15C9（エンジン型式）,L15CN/L15C9（エンジン型式）,L15CN/L15C9（エンジン型式）,L15CN/L15C9（エンジン型式）,L15CN/L15C9（エンジン型式）,L15CN/L15C9（エンジン型式）,L15CN/L15C9（エンジン型式）,L15CN/L15C9（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1993,1993,1993,1498,1498,1498,1498,1498,1993,1993,1993,1993,1993,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,13.9,13.9,13.9,10.3,10.3,10.3,10.3,10.3,13.9,13.9,13.9,13.9,13.9,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),143,143,143,182,182,182,182,182,143,143,143,143,143,182,182,182,182,182,182,182,182,182,182,182,182
发动机,エンジン,最大功率(kW),最大出力(kW),105,105,105,134,134,134,134,134,105,105,105,105,105,134,134,134,134,134,134,134,134,134,134,134,134
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),182,182,182,240,240,240,240,240,182,182,182,182,182,240,240,240,240,240,240,240,240,240,240,240,240
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4500,4500,4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,4500,4500,4500,4500,4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500
发动机,エンジン,最大净功率(kW),最大出力(kW),105,105,105,134,134,134,134,134,105,105,105,105,105,134,134,134,134,134,134,134,134,134,134,134,134
发动机,エンジン,发动机特有技术,エンジン独自技術,アトキンソンサイクル,アトキンソンサイクル,アトキンソンサイクル,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,アトキンソンサイクル,アトキンソンサイクル,アトキンソンサイクル,アトキンソンサイクル,アトキンソンサイクル,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」,VTEC（可変バルブタイミング）」
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电动机总功率(kW),モーター総出力(kW),135,135,135,-,-,-,-,-,135,135,135,135,135,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),184,184,184,-,-,-,-,-,184,184,184,184,184,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),315,315,315,-,-,-,-,-,315,315,315,315,315,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),135,135,135,-,-,-,-,-,135,135,135,135,135,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),315,315,315,-,-,-,-,-,315,315,315,315,315,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),149,149,149,-,-,-,-,-,149,149,149,149,149,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),203,203,203,-,-,-,-,-,203,203,203,203,203,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,-,-,-,-,-,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,电机布局,モーター配置,前置エンジン,前置エンジン,前置エンジン,-,-,-,-,-,前置エンジン,前置エンジン,前置エンジン,前置エンジン,前置エンジン,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,-,-,-,-,-,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,● リチウムイオンバッテリー,-,-,-,-,-,-,-,-,-,-,-,-
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,6速マニュアル,CVT無段変速,6速マニュアル,6速マニュアル,CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,6速マニュアル,CVT無段変速,CVT無段変速,CVT無段変速,6速マニュアル,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,6,無段変速,6,6,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,6,無段変速,無段変速,無段変速,6,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,マニュアルトランスミッション（MT）,無段変速機（CVT）,マニュアルトランスミッション（MT）,マニュアルトランスミッション（MT）,無段変速機（CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,マニュアルトランスミッション（MT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,マニュアルトランスミッション（MT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）,● 前置前輪駆動（FF）
