セクション,項目,深蓝S07 2026款 230Plus 华为乾崑ADS SE版,深蓝S07 2026款 230Max 华为乾崑ADS SE版,深蓝S07 2026款 230Ultra 华为乾崑ADS SE版,深蓝S07 2026款 300Ultra 华为乾崑ADS SE版,深蓝S07 2026款 550Max 华为乾崑ADS SE版,深蓝S07 2026款 550Ultra 华为乾崑ADS SE版,深蓝S07 2025款 215Plus 深蓝智驾AD PRO增程版,深蓝S07 2025款 215Max 深蓝智驾AD PRO增程版,深蓝S07 2025款 285Max 深蓝智驾AD PRO增程版,深蓝S07 2025款 215Max 华为乾崑智驾ADS SE增程版,深蓝S07 2025款 285Max 华为乾崑智驾ADS SE增程版,深蓝S07 2025款 628Max 华为乾崑智驾ADS SE纯电版,深蓝S07 2025款 520Max 深蓝智驾AD PRO纯电版,深蓝S07 2025款 520Max 华为乾崑智驾ADS SE纯电版
车身,风阻系数(Cd),-,-,-,-,-,-,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258
发动机,发动机型号,JL469Q1,JL469Q1,JL469Q1,JL469Q1,-,-,JL469Q1,JL469Q1,JL469Q1,JL469Q1,JL469Q1,-,-,-
发动机,排量(mL),1497,1497,1497,1497,-,-,1497,1497,1497,1497,1497,-,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,-,-,1.5,1.5,1.5,1.5,1.5,-,-,-
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,-,-,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-
发动机,发动机布局,横置,横置,横置,横置,-,-,横置,横置,横置,横置,横置,-,-,-
发动机,气缸排列形式,L,L,L,L,-,-,L,L,L,L,L,-,-,-
发动机,气缸数(个),4,4,4,4,-,-,4,4,4,4,4,-,-,-
发动机,每缸气门数(个),4,4,4,4,-,-,4,4,4,4,4,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-
发动机,最大马力(Ps),98,98,98,98,-,-,98,98,98,98,98,-,-,-
发动机,最大功率(kW),72,72,72,72,-,-,72,72,72,72,72,-,-,-
发动机,最大功率转速(rpm),5600,5600,5600,5600,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),125,125,125,125,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),3000,3000,3000,3000,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),70,70,70,70,-,-,70,70,70,70,70,-,-,-
发动机,能源类型,增程式,增程式,增程式,增程式,纯电动,纯电动,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,-,-,92号,92号,92号,92号,92号,-,-,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,-,-,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,-,-,国VI,国VI,国VI,国VI,国VI,-,-,-
电动机,后电动机品牌,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车
电动机,后电动机型号,XTDM68,XTDM68,XTDM68,XTDM67,XTDM67,XTDM67,XTDM66,XTDM66,XTDM41,XTDM66,XTDM41,XTDM16,XTDM27,XTDM27
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),190,190,190,200,200,200,175,175,190,175,190,160,190,190
电动机,电动机总马力(Ps),258,258,258,272,272,272,238,238,258,238,258,218,258,258
电动机,电动机总扭矩(N·m),290,290,290,290,290,290,320,320,320,320,320,320,320,320
电动机,后电动机最大功率(kW),190,190,190,200,200,200,175,175,190,175,190,160,190,190
电动机,后电动机最大扭矩(N·m),290,290,290,290,290,290,320,320,320,320,320,320,320,320
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,"● 宁德时代
● 中创新航","● 宁德时代
● 中创新航","● 宁德时代
● 中创新航",● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 中创新航,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),170,170,170,216,-,-,165,165,210,165,210,-,-,-
电池/充电,CLTC纯电续航里程(km),230,230,230,300,550,550,215,215,285,215,285,628,520,520
电池/充电,CLTC综合续航(km),1320,1320,1320,1385,-,-,1210,1210,1280,1210,1280,-,-,-
电池/充电,电池能量(kWh),31.73,31.73,31.73,39.05,68.82,68.82,31.73,31.73,39.05,31.73,39.05,79.97,68.82,68.82
电池/充电,百公里耗电量(kWh/100km),17.4,17.4,17.4,18.1,14,14,17.3,17.3,18.4,17.3,18.4,14.2,14.5,14.5
电池/充电,电池组质保,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,-,-,-,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.58,0.25,0.25
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车左后侧,车左后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车左后侧,车左后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/55 R19,"● 235/55 R19
○ 255/45 R20 (2999元)","● 235/55 R19
○ 255/45 R20 (2999元)","● 235/55 R19
○ 255/45 R20 (2999元)","● 235/55 R19
○ 255/45 R20 (2999元)","● 235/55 R19
○ 255/45 R20 (2999元)","● 235/55 R19
○ 255/45 R20 (1999元)","● 235/55 R19
○ 255/45 R20 (1999元)","● 235/55 R19
○ 255/45 R20 (1999元)","● 235/55 R19
○ 255/45 R20 (1999元)","● 235/55 R19
○ 255/45 R20 (1999元)","● 235/55 R19
○ 255/45 R20 (1999元)","● 235/55 R19
○ 255/45 R20 (1999元)","● 235/55 R19
○ 255/45 R20 (1999元)"
车轮制动,后轮胎规格,● 235/55 R19,"● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20"
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,-,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像",● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 单目,● 单目,● 单目,● 双目,● 双目,● 双目,● 单目,● 双目
驾驶硬件,摄像头数量,● 10个,● 10个,● 10个,● 10个,● 10个,● 10个,● 5个,● 5个,● 5个,● 10个,● 10个,● 10个,● 5个,● 10个
驾驶硬件,车内摄像头数量,-,-,-,-,-,-,-,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 5个,● 5个,● 5个,● 3个,● 3个,● 3个,● 5个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● 华为乾崑智驾ADS SE,● 华为乾崑智驾ADS SE,● 华为乾崑智驾ADS SE,● 华为乾崑智驾ADS SE,● 华为乾崑智驾ADS SE,● 华为乾崑智驾ADS SE,● Deepal AD PRO 深蓝驾驶辅助,● Deepal AD PRO 深蓝驾驶辅助,● Deepal AD PRO 深蓝驾驶辅助,● 华为乾崑智驾ADS SE,● 华为乾崑智驾ADS SE,● 华为乾崑智驾ADS SE,● Deepal AD PRO 深蓝驾驶辅助,● 华为乾崑智驾ADS SE
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,"● 高德
● 华为Petal","● 高德
● 华为Petal","● 高德
● 华为Petal",● 高德,"● 高德
● 华为Petal"
驾驶功能,AR实景导航,●,●,●,●,●,●,-,-,-,-,-,-,-,-
驾驶功能,高精地图,●,●,●,●,●,●,-,-,-,●,●,●,-,●
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,●,●,●,●,●,●,-,-,-,○,○,○,-,○
驾驶功能,循迹倒车,-,-,-,-,-,-,●,●,●,-,-,-,●,-
驾驶功能,辅助变道,●,●,●,●,●,●,●,●,●,●,●,●,●,●
