セクション,セクション_ja,項目,項目_ja,2026年モデル eDrive 35 L,2026年モデル eDrive 40 L 曜夜パッケージ,2026年モデル eDrive 40 L 曜夜スポーツパッケージ,2025年モデル eDrive 35 L,2025年モデル eDrive 40 L 曜夜パッケージ,2025年モデル eDrive 40 L 曜夜スポーツパッケージ,2025年モデル eDrive 40 L 50周年限定版
车身,車体,后轮距(mm),後トレッド(mm),1581,1581,1581,1581,1581,1581,1581
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),15,15,15,15,15,15,15
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),410,410,410,410,410,410,410
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-
电动机,モーター,电机类型,モーター種類,励磁式/同期式,励磁式/同期式,励磁式/同期式,励磁式/同期式,励磁式/同期式,励磁式/同期式,励磁式/同期式
电动机,モーター,电动机总功率(kW),モーター総出力(kW),210,250,250,210,250,250,250
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),286,340,340,286,340,340,340
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),400,430,430,400,430,430,430
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),210,250,250,210,250,250,250
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),400,430,430,400,430,430,430
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置,リア配置
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,换电,バッテリー交換対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),550,625,625,526,592,592,592
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),70.2,79.1,79.1,70,79.05,79.05,79.05
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),138,140,140,138,140,140,140
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),13.6,13.4,13.4,14.3,14.1,14.1,14.1
电池/充电,バッテリー/充電,电池组质保,バッテリー保証期間,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.52,0.53,0.53,0.52,0.53,0.53,0.53
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),10.75,12.25,12.25,10.75,12.25,12.25,12.25
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100
变速箱,トランスミッション,简称,略称,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション,電動車用単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルボールジョイント式マクファーソン独立サスペンション,● ダブルボールジョイント式マクファーソン独立サスペンション,● ダブルボールジョイント式マクファーソン独立サスペンション,● ダブルボールジョイント式マクファーソン独立サスペンション,● ダブルボールジョイント式マクファーソン独立サスペンション,● ダブルボールジョイント式マクファーソン独立サスペンション,● ダブルボールジョイント式マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,225/50 R18 225/45 R19 (1.48万元),225/50 R18 225/45 R19 (9800元),● 225/45 R19,● 225/50 R18,● 225/50 R18,● 225/45 R19,● 225/45 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,245/45 R18 245/40 R19,245/45 R18 245/40 R19,● 245/40 R19,● 245/45 R18,● 245/45 R18,● 245/40 R19,● 245/40 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定機構,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,●,-,-,●,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ,● スポーツ・エコノミー・標準/快適・カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,● サスペンション硬軟調整・車高調整,● サスペンション硬軟調整・車高調整,● サスペンション硬軟調整・車高調整,● サスペンション硬軟調整・車高調整,● サスペンション硬軟調整・車高調整,● サスペンション硬軟調整・車高調整,● サスペンション硬軟調整・車高調整
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,バックカメラ・360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,バックカメラ・360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー,● 360度パノラマビュー
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,○ 単眼カメラ,● 単眼カメラ,● 単眼カメラ,○ 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,1個 5個,● 5個,● 5個,1個 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,8個 12個,● 12個,● 12個,8個 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,○ 5個,● 5個,● 5個,○ 5個,● 5個,● 5個,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,○ レベル2,● レベル2,● レベル2,○ レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,○,●,●,○,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,○,●,●,○,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,○,●,●,○,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,○,●,●,○,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバックリバース,○,●,●,○,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,○,●,●,○,●,●,●
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,● スポーティスタイル,● スポーティスタイル,-,● スポーティスタイル,● スポーティスタイル,● スポーティスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,○ (4600元),○ (4600元),○ (4600元),○ (4600元),○ (4600元),○ (4600元),-
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,○,○,○,○,○,○,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキーエントリー機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,○ (9100元),○ (9100元),●,○ (9100元),○ (9100元),●,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目ミラー
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ,● 14.9インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話機能,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載インテリジェントチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
智能化配置,スマート機能装備,车联网,コネクテッドカー機能,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク対応,4G 5G (3000元),4G 5G (3000元),4G 5G (3000元),4G 5G (3000元),4G 5G (3000元),4G 5G (3000元),● 4G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し,● ドア操作 車両始動 充電管理 ライト操作 エアコン操作 車両状態確認・診断 車両位置特定・呼出し
智能化配置,スマート機能装備,模拟声浪,エンジンサウンドシミュレーション,○ (1900元),○ (1900元),○ (1900元),○ (1900元),○ (1900元),○ (1900元),-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● アルカンターラ／スエードレザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー表示,● カラー表示,● カラー表示,● カラー表示,● カラー表示,● カラー表示,● カラー表示
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,○ (10000元),○ (10000元),●,○ (10000元),○ (10000元),●,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート,● USB Type-Cポート
