セクション,セクション_ja,項目,項目_ja,2026年モデル 310km ヤングエディション,2026年モデル 310km ドリームエディション,2026年モデル 410km フリースタイルエディション,2026年モデル 410km フリーエディション,2026年モデル 410km エクスプローラーエディション,2026年モデル STAR 限定版,2025年モデル 310km ヤングエディション,2025年モデル 310km ドリームエディション,2025年モデル 410km フリーエディション,2025年モデル UP 410km エクスプローラーエディション,2025年モデル UP 410km エクスプローラー+エディション
基本参数,基本パラメータ,车身结构,車体構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本パラメータ,电动机(Ps),モーター出力(Ps),79,79,116,116,116,116,79,79,116,116,116
基本参数,基本パラメータ,长*宽*高(mm),全長×全幅×全高(mm),4135*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570,4155*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570
基本参数,基本パラメータ,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,基本パラメータ,官方0-50km/h加速(s),公式0-50km/h加速(s),-,-,3.9,3.9,3.9,3.9,-,-,-,-,-
基本参数,基本パラメータ,最高车速(km/h),最高速度(km/h),125,125,135,135,135,135,125,125,135,135,135
基本参数,基本パラメータ,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.24,1.24,1.24,1.24,1.24,-,1.27,1.27,1.24,1.24,1.24
基本参数,基本パラメータ,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本パラメータ,首任车主质保政策,初回オーナー保証方針,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本パラメータ,整备质量(kg),車両重量(kg),1215,1215,1285,1285,1285,-,1215,1215,1285,1285,1285
基本参数,基本パラメータ,最大满载质量(kg),最大積載質量(kg),1590,1590,1660,1660,1660,-,1590,1590,1660,1660,1660
车身,車体,长度(mm),全長(mm),4135,4135,4135,4135,4135,4155,4135,4135,4135,4135,4135
车身,車体,宽度(mm),全幅(mm),1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805
车身,車体,高度(mm),全高(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
车身,車体,轴距(mm),ホイールベース(mm),2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650
车身,車体,前轮距(mm),前トレッド(mm),1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555
车身,車体,后轮距(mm),後トレッド(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),19,19,19,19,19,19,19,19,19,19,19
车身,車体,最小转弯半径(m),最小回転半径(m),4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95
车身,車体,车身结构,車体構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(個),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(人),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,前备厢容积(L),フロントトランク容量(L),70,70,70,70,70,70,70,70,70,70,70
车身,車体,后备厢容积(L),リアトランク容量(L),375-1320,375-1320,375-1320,375-1320,375-1320,375-1320,375-1320,375-1320,375-1320,375-1320,375-1320
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,グレイボーインテリジェントパワー,グレイボーインテリジェントパワー,グレイボーインテリジェントパワー,グレイボーインテリジェントパワー,グレイボーインテリジェントパワー,グレイボーインテリジェントパワー,グレイボーインテリジェントパワー,グレイボーインテリジェントパワー,グレイボーインテリジェントパワー,グレイボーインテリジェントパワー,グレイボーインテリジェントパワー
电动机,モーター,后电动机型号,後モーター型式,TZ160XS001,TZ160XS001,TZ160XS002,TZ160XS002,TZ160XS002,TZ160XS002,TZ160XS001,TZ160XS001,TZ160XS002,TZ160XS002,TZ160XS002
电动机,モーター,电机类型,モータータイプ,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),58,58,85,85,85,85,58,58,85,85,85
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),79,79,116,116,116,116,79,79,116,116,116
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),130,130,150,150,150,150,130,130,150,150,150
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),58,58,85,85,85,85,58,58,85,85,85
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),130,130,150,150,150,150,130,130,150,150,150
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）,● 生涯保証/非営業用（免責条項は公式基準による）
电池/充电,バッテリー／充電,电池类型,バッテリータイプ,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー／充電,电池特有技术,バッテリー独自技術,シールドバッテリー,シールドバッテリー,シールドバッテリー,シールドバッテリー,シールドバッテリー,シールドバッテリー,-,-,-,-,-
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC純電動航続距離(km),310,310,410,410,410,401,310,310,410,410,410
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),30.12,30.12,40.16,40.16,40.16,40.16,30.12,30.12,40.16,40.16,40.16
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),10.7,10.7,10.7,10.7,10.7,-,10.9,10.9,10.7,10.7,10.7
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,ギア数,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッションタイプ,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャーシ・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャーシ・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャーシ・ステアリング,后悬架类型,リアサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャーシ・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャーシ・ステアリング,车体结构,ボディ構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リアブレーキ形式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,205/65 R15 205/60 R16（1000元）,● 205/60 R16,205/65 R15 205/60 R16（1000元）,● 205/60 R16,● 205/60 R16
车轮制动,ホイール・ブレーキ,后轮胎规格,リアタイヤサイズ,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,● 205/60 R16,205/65 R15 205/60 R16,● 205/60 R16,205/65 R15 205/60 R16,● 205/60 R16,● 205/60 R16
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤサイズ,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前後席カーテンエアバッグ,-,-,-,-,● 前席/後席,● 前席/後席,-,-,-,-,● 前席/後席
主动安全,アクティブセーフティ,ABS防抱死,ABS（アンチロックブレーキシステム）,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),ブレーキ力配分（EBD/CBC等）,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト（EBA/BAS/BA等）,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール（ASR/TCS/TRC等）,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),車両安定制御（ESC/ESP/DSC等）,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視システム,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト未装着警告,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定機構,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,車線逸脱警報システム,-,-,-,-,●,●,-,-,-,-,○
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動ブレーキ／先進安全システム,-,-,-,-,●,●,-,-,-,-,○
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警告,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,-,-,●,●,-,-,-,-,○
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,-,●,●,●,-,-,-,-,-
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,-,-,-,-,-
驾驶操控,運転操作,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適
驾驶操控,運転操作,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,運転操作,自动驻车,オートホールド（自動駐車ブレーキ）,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,運転操作,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,運転操作,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前後パーキングセンサー,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後,● 前/後
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援カメラ映像,● バックカメラ,● 360度全方位カメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ,バックカメラ 360度全方位カメラ,● バックカメラ,バックカメラ 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明ボディ／360度カメラ映像,-,●,-,●,●,●,-,○,-,○,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,-,-,● 単眼カメラ,● 単眼カメラ,-,-,-,-,○ 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 1個,● 4個,● 1個,● 4個,● 5個,● 5個,● 1個,1個 4個,● 1個,1個 4個,4個 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー台数,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個
驾驶功能,運転機能,巡航系统,クルーズコントロール,-,● クルーズコントロール,-,-,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,-,● クルーズコントロール,-,● クルーズコントロール,クルーズコントロール 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ,● 高徳（Gaode）ナビ
驾驶功能,運転機能,并线辅助,レーンチェンジアシスト,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,車線維持支援システム,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識システム,-,-,-,-,●,●,-,-,-,-,○
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,起步提醒,発進お知らせ機能,-,-,-,-,●,●,-,-,-,-,○
外观/防盗,外観／盗難防止,外观套件,エクステリアキット,-,-,-,-,-,● スポーティスタイル,-,-,-,-,-
外观/防盗,外観／盗難防止,轮圈材质,ホイール素材,● 鋼,● アルミ合金,● 鋼,鋼 アルミ合金（2000元）,● アルミ合金,● アルミ合金,● 鋼,● アルミ合金,● 鋼,● アルミ合金,● アルミ合金
外观/防盗,外観／盗難防止,电动后备厢,電動リアゲート,-,●,-,●,●,●,-,○,-,○,●
外观/防盗,外観／盗難防止,车内中控锁,室内集中ドアロック,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,外観／盗難防止,钥匙类型,キータイプ,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー
外观/防盗,外観／盗難防止,无钥匙启动系统,キーレススタートシステム,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,外観／盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,-,● 運転席,● 運転席,● 運転席,-,● 運転席,-,● 運転席,● 運転席
外观/防盗,外観／盗難防止,远程启动功能,リモートエンジンスターター,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,外観／盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,外観／盗難防止,对外放电,外部給電機能,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部ライト,近光灯光源,ロービームランプの光源,● ハロゲン,● LED,● ハロゲン,● LED,● LED,● LED,● ハロゲン,● LED,● ハロゲン,● LED,● LED
车外灯光,外部ライト,远光灯光源,ハイビーム光源,● ハロゲン,● LED,● ハロゲン,● LED,● LED,● LED,● ハロゲン,● LED,● ハロゲン,● LED,● LED
车外灯光,外部ライト,LED日间行车灯,LEDデイタイムランニングライト,-,-,-,-,-,●,-,-,-,-,-
车外灯光,外部ライト,自适应远近光,アダプティブハイローライト,-,-,-,-,●,●,-,-,-,-,○
车外灯光,外部ライト,自动头灯,オートヘッドライト,-,●,-,●,●,●,-,●,-,●,●
车外灯光,外部ライト,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部ライト,大灯高度可调,ヘッドライト高さ調整機能,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部ライト,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ／ガラス,天窗类型,サンルーフタイプ,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ／ガラス,前/后电动车窗,前後電動ウインドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ／ガラス,车窗一键升降功能,ウインドウワンタッチ昇降機能,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体
天窗/玻璃,サンルーフ／ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ／ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席 助手席,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,-,● 運転席＋照明灯 助手席＋照明灯,-,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ／ガラス,后雨刷,リアワイパー,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ／ガラス,感应雨刷功能,レインセンサー機能,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側バックミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整,● 電動調整 ミラー加熱,● 電動調整,● 電動調整 ミラー加熱,● 電動調整 ミラー加熱
屏幕/系统,ディスプレイ／システム,中控彩色屏幕,センターコンソールカラースクリーン,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ／システム,中控屏幕尺寸,センタースクリーンサイズ,● 10.1インチ,● 14.6インチ,● 10.1インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 10.1インチ,● 14.6インチ,● 10.1インチ,● 14.6インチ,● 14.6インチ
屏幕/系统,ディスプレイ／システム,中控屏幕分辨率,センタースクリーン解像度,-,● 1920×1080,-,● 1920×1080,● 1920×1080,● 1920×1080,-,-,-,-,-
屏幕/系统,ディスプレイ／システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ／システム,手机互联/映射,スマホ連携／ミラーリング,● HUAWEI HiCar対応 Carlink対応 Flyme link対応,● HUAWEI HiCar対応 Carlink対応 Flyme link対応,● HUAWEI HiCar対応 Carlink対応 Flyme link対応,● HUAWEI HiCar対応 Carlink対応 Flyme link対応,● HUAWEI HiCar対応 Carlink対応 Flyme link対応,● HUAWEI HiCar対応 Carlink対応 Flyme link対応,● HUAWEI HiCar対応 Carlink対応 Flyme link対応,● HUAWEI HiCar対応 Carlink対応 Flyme link対応,● HUAWEI HiCar対応 Carlink対応 Flyme link対応,● HUAWEI HiCar対応 Carlink対応 Flyme link対応,● HUAWEI HiCar対応 Carlink対応 Flyme link対応
