セクション,セクション_ja,項目,項目_ja,2025年モデル 135KM 2WD Pro版,2025年モデル 200KM 2WD Max版,2025年モデル 190KM 4WD Max版,2025年モデル 190KM 4WD Ultra版
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.48,-,3.65,3.65
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2230,-,2480,2480
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2675,-,2925,2925
车身,車体,长度(mm),全長(mm),4999,4999,4999,4999
车身,車体,宽度(mm),全幅(mm),1995,1995,1995,1995
车身,車体,高度(mm),全高(mm),1865,1865,1865,1865
车身,車体,轴距(mm),ホイールベース(mm),2920,2920,2920,2920
车身,車体,前轮距(mm),前トレッド(mm),1708,1708,1708,1708
车身,車体,后轮距(mm),後トレッド(mm),1713,1713,1713,1713
车身,車体,接近角(°),アプローチアングル(°),24,24,24,24
车身,車体,离去角(°),デパーチャーアングル(°),25,25,25,25
车身,車体,最小转弯半径(m),最小回転半径(m),5.67,5.67,5.67,5.67
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）
车身,車体,座位数(个),乗車定員(名),● 5（座席数）,● 5（座席数）,● 5（座席数）,● 5（座席数）
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,60
车身,車体,后备厢容积(L),トランク容量(L),1000,1000,1000,1000
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,156
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,115
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),225,225,225,225
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),110,110,110,110
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,前电动机品牌,前モーターブランド,BYD（ビーワイディー）,BYD（ビーワイディー）,BYD（ビーワイディー）,BYD（ビーワイディー）
电动机,モーター,后电动机品牌,後モーターブランド,-,-,BYD（ビーワイディー）,BYD（ビーワイディー）
电动机,モーター,前电动机型号,前モーター型式,TZ210XYD,TZ210XYD,TZ210XYC,TZ210XYC
电动机,モーター,后电动机型号,後モーター型式,-,-,TZ200XSBN,TZ200XSBN
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),200,200,360,360
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),272,272,490,490
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),315,315,620,620
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),200,200,160,160
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),315,315,260,260
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,200,200
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,-,360,360
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置＋後置,前置＋後置
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ,● フォーディ,● フォーディ,● フォーディ
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,直冷式,直冷式,直冷式,直冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),105,-,130,130
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),135,200,190,190
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),26.6,35.6,35.6,35.6
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力量(kWh/100km),18.3,-,22,22
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),54,72,72,72
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.29,0.29,0.29,0.29
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 電動4WD,● 電動4WD
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/60 R19タイヤ,● 255/55 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セキュリティモード/監視機能,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準／快適・スノー,● スポーツ・エコノミー・標準／快適・スノー,● スポーツ・エコノミー・標準／快適・オフロード・スノー・カスタム／パーソナライズ,● スポーツ・エコノミー・標準／快適・オフロード・スノー・カスタム／パーソナライズ
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,● サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整
四驱/越野,4WD/オフロード,蠕行模式,クリープモード,-,-,●,●
四驱/越野,4WD/オフロード,坦克转弯,タンクターン（その場旋回）,-,-,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,激光雷达数量,レーザーレーダー台数,-,-,-,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域適応クルーズコントロール,● 全速度域適応クルーズコントロール,● 全速度域適応クルーズコントロール,● 全速度域適応クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● DiPilot 100,● DiPilot 100,● DiPilot 100,● DiPilot 300
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● ガオデ（高徳）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●
驾驶功能,運転機能,信号灯识别,信号灯認識,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,● 市街地区間・高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● テールゲート,● テールゲート,● テールゲート,● テールゲート
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー・Bluetoothキー・NFC/RFIDキー,● リモコンキー・Bluetoothキー・NFC/RFIDキー,● リモコンキー・Bluetoothキー・NFC/RFIDキー,● リモコンキー・Bluetoothキー・NFC/RFIDキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,● 固定式,● 固定式,● 固定式,● 固定式
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウインドウアップ／ダウン機能,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納,● 電動調整・電動格納・ミラーメモリー・ミラー加熱・バック時自動下向き・施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応・Carlink対応,● HUAWEI HiCar対応・Carlink対応,● HUAWEI HiCar対応・Carlink対応,● HUAWEI HiCar対応・Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,マルチメディアシステム ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション・シートマッサージ,マルチメディアシステム ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション・シートマッサージ,マルチメディアシステム ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション・シートマッサージ,マルチメディアシステム ナビ・電話・エアコン・サンルーフ・パワーウインドウ・シートヒーター・シートベンチレーション・シートマッサージ
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小方（音声アシスタント）,● こんにちは、小方（音声アシスタント）,● こんにちは、小方（音声アシスタント）,● こんにちは、小方（音声アシスタント）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）,● 4ゾーン（エアコン）
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識機能,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● DiLink,● DiLink,● DiLink,● DiLink
智能化配置,スマート機能装備,车联网,車載ネットワーク（コネクテッドカー）,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 5G対応,● 5G対応,● 5G対応,● 5G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドアコントロール・エンジン始動・充電管理・エアコン制御・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドアコントロール・エンジン始動・充電管理・エアコン制御・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドアコントロール・エンジン始動・充電管理・エアコン制御・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約,● ドアコントロール・エンジン始動・充電管理・エアコン制御・車両状態確認/診断・車両位置特定/車両探索・オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）・点検/整備予約
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ハンドル位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリングホイール,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,ヘッドアップディスプレイサイズ,● 26インチ,● 26インチ,● 26インチ,● 26インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目（オートディマリング）,● 自動防眩目（オートディマリング）,● 自動防眩目（オートディマリング）,● 自動防眩目（オートディマリング）
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 本革
