セクション,項目,凡尔赛C5 X 2025款 1.6T 海外版,凡尔赛C5 X 2024款 1.6T 享不凡,凡尔赛C5 X 2024款 1.6T 势不凡,凡尔赛C5 X 2024款 1.6T 旅不凡,凡尔赛C5 X 2024款 1.6T 耀不凡
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
屏幕/系统,语音连续识别,●,●,●,●,●
屏幕/系统,车载智能系统,● C-CONNECT,● C-CONNECT,● C-CONNECT,● C-CONNECT,● C-CONNECT
屏幕/系统,车机智能芯片,-,-,● 高通骁龙820A,● 高通骁龙820A,● 高通骁龙820A
智能化配置,车联网,-,-,●,●,●
智能化配置,4G/5G网络,-,-,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●
智能化配置,手机APP远程功能,-,-,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车,● 车况查询/诊断 车辆定位/寻车
方向盘/内后视镜,方向盘材质,● 皮质,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸,● 7英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○,○,○,○,○
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个
车内充电,手机无线充电功能,-,-,-,-,● 前排
车内充电,行李厢12V电源接口,-,-,-,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,● 加热,● 加热,● 加热 通风,● 加热 通风 按摩
座椅配置,电动座椅记忆功能,-,-,-,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,●
座椅配置,第二排座椅调节,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 10喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,● 单色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●
颜色,外观颜色,珠光白 鎏金绿 太空银,珠光白 青岩灰 鎏金绿 太空银 极夜蓝,珠光白 青岩灰 鎏金绿 太空银 极夜蓝,太空银 极夜蓝,珠光白 青岩灰 鎏金绿 太空银 极夜蓝
颜色,内饰颜色,黑色/灰色,黑色/银石深灰 黑色/慕白浅灰,黑色/银石深灰,黑色/月见灰,黑色/银石深灰
