セクション,項目,长安UNI-Z新能源 2025款 智慧新蓝鲸 125km 战舰版,长安UNI-Z新能源 2025款 智慧新蓝鲸 125km 战舰+,长安UNI-Z新能源 2025款 智慧新蓝鲸 125km 超能型,长安UNI-Z新能源 2024款 蓝鲸智电iDD 125km 领先型,长安UNI-Z新能源 2024款 蓝鲸智电iDD 125km 卓越型
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,51,51
车身,后备厢容积(L),638-1425,638-1425,638-1425,638-1425,638-1425
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,JL469Q1,JL469Q1,JL469Q1,JL469Q1,JL469Q1
发动机,排量(mL),1497,1497,1497,1497,1497
发动机,排量(L),1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),98,98,98,98,98
发动机,最大功率(kW),72,72,72,72,72
发动机,最大功率转速(rpm),5600,5600,5600,5600,5600
发动机,最大扭矩(N·m),125,125,125,125,125
发动机,最大扭矩转速(rpm),3000,3000,3000,3000,3000
发动机,最大净功率(kW),70,70,70,70,70
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ270XY551,TZ270XY551,TZ270XY551,TZ270XY551,TZ270XY551
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),158,158,158,158,158
电动机,电动机总马力(Ps),215,215,215,215,215
电动机,电动机总扭矩(N·m),330,330,330,330,330
电动机,前电动机最大功率(kW),158,158,158,158,158
电动机,前电动机最大扭矩(N·m),330,330,330,330,330
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 时代长安 中创新航,● 时代长安,● 时代长安,● 时代长安 中创新航,● 时代长安 中创新航
电池/充电,电池特有技术,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),95,95,95,95,95
电池/充电,CLTC纯电续航里程(km),125,125,125,125,125
电池/充电,CLTC综合续航(km),1200,1200,1200,1200,1200
电池/充电,电池能量(kWh),18.4,18.4,18.4,18.4,18.4
电池/充电,电池能量密度(Wh/kg),105,105,105,105,105
电池/充电,百公里耗电量(kWh/100km),15.2,15.2,15.2,15.2,15.2
电池/充电,快充功能,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),26,26,26,26,26
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,225/55 R19 245/50 R20 (1000元),● 245/50 R20,● 245/50 R20,● 225/55 R19,225/55 R19 245/50 R20 (1000元)
车轮制动,后轮胎规格,225/55 R19 245/50 R20,● 245/50 R20,● 245/50 R20,● 225/55 R19,225/55 R19 245/50 R20
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,-,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●
主动安全,疲劳驾驶提示,○,●,●,-,●
主动安全,DOW开门预警,-,-,●,-,●
主动安全,前方碰撞预警,●,●,●,●,●
主动安全,后方碰撞预警,-,-,●,-,●
主动安全,哨兵模式/千里眼,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,能量回收系统,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 6个,● 6个,● 6个,● 5个,● 6个
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,-,● 1个
驾驶硬件,超声波雷达数量,● 5个,● 5个,● 12个,● 5个,● 12个
驾驶硬件,毫米波雷达数量,-,-,● 2个,-,● 2个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,-,●
驾驶功能,卫星导航系统,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,●,-,●
驾驶功能,车道保持辅助系统,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,●,-,●
驾驶功能,遥控泊车,-,-,●,-,●
驾驶功能,记忆泊车,-,-,●,-,●
驾驶功能,辅助变道,-,-,●,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●
外观/防盗,车顶行李架,-,●,●,-,-
外观/防盗,发动机电子防盗,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 电动天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,-,● 前排
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶
天窗/玻璃,后雨刷,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,中控液晶屏分屏显示,●,●,●,●,●
屏幕/系统,蓝牙/车载电话,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink,● 支持HUAWEI HiCar 支持Carlink
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗
屏幕/系统,语音助手唤醒词,● 小安，你好,● 小安，你好,● 小安，你好,● 小安，你好,● 小安，你好
屏幕/系统,语音免唤醒词,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●,●
屏幕/系统,手势控制,○,○,●,-,●
屏幕/系统,面部识别,●,●,●,-,●
屏幕/系统,应用商店,●,●,●,●,●
屏幕/系统,车载智能系统,● OnStyle,● OnStyle,● OnStyle,● OnStyle,● OnStyle
智能化配置,车联网,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●
智能化配置,车内生物监测系统,-,●,●,-,-
智能化配置,手机APP远程功能,● 车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅加热 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅加热 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅加热 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅加热 车况查询/诊断 车辆定位/寻车
智能化配置,车载KTV,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个
车内充电,手机无线充电功能,-,● 前排,● 前排,-,-
车内充电,手机无线充电功率,-,● 50W,● 50W,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●,●,●
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副-,● 主 / 副
座椅配置,前排座椅功能,● 加热 通风,● 加热 通风,● 加热 通风,● 通风,● 加热 通风
座椅配置,电动座椅记忆功能,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,-,● 驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,-,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,● SONY索尼,-,● SONY索尼
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 8喇叭,● 6喇叭,● 8喇叭
音响/车内灯光,车外扬声器数量,-,● 1喇叭,● 1喇叭,-,-
音响/车内灯光,触摸式阅读灯,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,-,● 64色,-,● 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,●,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,●,-,●
特色配置,全场景智慧车外语音,●,●,●,●,●
颜色,外观颜色,闪光星河银灰 星辰白 星际灰 浩宇蓝 量子灰 晶石绿,闪光星河银灰 星辰白 星际灰 星钻黑 浩宇蓝 量子灰 晶石绿,闪光星河银灰 星辰白 星际灰 星钻黑 浩宇蓝 量子灰 晶石绿,闪光星河银灰 星辰白 星际灰 浩宇蓝 量子灰 晶石绿,闪光星河银灰 星辰白 星际灰 浩宇蓝 量子灰 晶石绿
颜色,内饰颜色,黑色/夕熏棕 黑色/静谧浅灰,黑色/夕熏棕 黑色/静谧浅灰,黑色/夕熏棕 黑色/静谧浅灰,黑色/夕熏棕 黑色/静谧浅灰,黑色/夕熏棕 黑色/静谧浅灰
选装包,暗夜骑士限量包,-,○ 包含：黑色车身色、熏黑轮毂、黑色行李架、黑色外后视镜、格栅内部熏黑色、雾灯区域局部熏黑、红色卡钳 选配 (2000元),○ 包含：黑色车身色、熏黑轮毂、黑色行李架、黑色外后视镜、格栅内部熏黑色、雾灯区域局部熏黑、红色卡钳 选配 (2000元),-,-
