セクション,項目,沃尔沃S60 2026款 B4 智逸豪华版,沃尔沃S60 2026款 B4 智远豪华版,沃尔沃S60 2026款 B4 智远运动版,沃尔沃S60 2026款 B5 智雅运动版,沃尔沃S60 2025款 B4 智逸豪华版,沃尔沃S60 2025款 B4 智远豪华版,沃尔沃S60 2025款 B4 智远运动版,沃尔沃S60 2025款 B5 智雅运动版
车身,接近角(°),13,13,13,13,13,13,13,13
车身,离去角(°),18,18,18,18,18,18,18,18
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),427,427,427,427,427,427,427,427
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,B420T5,B420T5,B420T5,B420T11,B420T5,B420T5,B420T5,B420T11
发动机,排量(mL),1969,1969,1969,1969,1969,1969,1969,1969
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),197,197,197,250,197,197,197,250
发动机,最大功率(kW),145,145,145,184,145,145,145,184
发动机,最大功率转速(rpm),4750-5250,4750-5250,4750-5250,5400-5700,4750-5250,4750-5250,4750-5250,5400-5700
发动机,最大扭矩(N·m),300,300,300,360,300,300,300,360
发动机,最大扭矩转速(rpm),1500-4500,1500-4500,1500-4500,2000-4500,1500-4500,1500-4500,1500-4500,2000-4500
发动机,最大净功率(kW),145,145,145,184,145,145,145,184
发动机,发动机特有技术,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环
发动机,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体
变速箱,挡位个数,7,7,7,8,7,7,7,8
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/50 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 225/50 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18
车轮制动,后轮胎规格,● 225/50 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 225/50 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,-,-,-,●,-,-,-,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,-,-,-,-,-,-,-,-
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 2个,● 2个,● 2个,● 5个,● 2个,● 2个,● 2个,● 2个
驾驶硬件,超声波雷达数量,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个
驾驶硬件,毫米波雷达数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶功能,巡航系统,● 自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● Pilot Assist,● Pilot Assist,● Pilot Assist,-,● Pilot Assist,● Pilot Assist,● Pilot Assist
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,-,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,●,-,-,-,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,●,-,-,-,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,-,●,●,●,-,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-
外观/防盗,外观套件,● 豪华风格,● 豪华风格,● 运动风格,● 运动风格,● 豪华风格,● 豪华风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,感应后备厢,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,●,-,-,-,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●
车外灯光,转向头灯,-,-,-,●,-,-,-,●
车外灯光,车前雾灯,-,-,-,● LED,-,-,-,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
天窗/玻璃,可加热喷水嘴,○,○,○,○,○,○,○,○
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
屏幕/系统,语音助手唤醒词,● 你好，小沃,● 你好，小沃,● 你好，小沃,● 你好，小沃,● 你好，小沃,● 你好，小沃,● 你好，小沃,● 你好，小沃
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
屏幕/系统,应用商店,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● 安卓,● 安卓,● 安卓,● 安卓,● 安卓,● 安卓,● 安卓,● 安卓
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 英特尔凌动,● 英特尔凌动,● 英特尔凌动,● 英特尔凌动
智能化配置,车联网,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修"
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○,○,○,○,○,○,○,○
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○,○,○,○
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,● 前排,-,-,-,● 前排
座椅配置,座椅材质,● 仿皮,● 真皮,● 皮/织物混搭,● 皮/织物混搭,● 仿皮,● 真皮,● 皮/织物混搭,● 皮/织物混搭
座椅配置,运动风格座椅,-,-,●,●,-,-,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
○ 侧翼支撑","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)
○ 侧翼支撑","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,○ 加热,"○ 加热
○ 通风",○ 加热,● 加热,○ 加热,"○ 加热
○ 通风",○ 加热,● 加热
座椅配置,电动座椅记忆功能,● 驾驶位,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位",● 驾驶位,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-
座椅配置,第二排座椅功能,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热,○ 加热
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Harman/Kardon哈曼卡顿 (8800元),"○ Harman/Kardon哈曼卡顿 (8800元)
○ Bowers & Wilkins宝华韦健 (2.58万元)","○ Harman/Kardon哈曼卡顿 (8800元)
○ Bowers & Wilkins宝华韦健 (2.58万元)","● Harman/Kardon哈曼卡顿
○ Bowers & Wilkins宝华韦健 (1.70万元)",○ Harman/Kardon哈曼卡顿 (8800元),"○ Harman/Kardon哈曼卡顿 (8800元)
○ Bowers & Wilkins宝华韦健 (2.58万元)","○ Harman/Kardon哈曼卡顿 (8800元)
○ Bowers & Wilkins宝华韦健 (2.58万元)","● Harman/Kardon哈曼卡顿
○ Bowers & Wilkins宝华韦健 (1.70万元)"
音响/车内灯光,扬声器数量,"● 10喇叭
○ 14喇叭","● 10喇叭
○ 14喇叭
○ 15喇叭","● 10喇叭
○ 14喇叭
○ 15喇叭","● 14喇叭
○ 15喇叭","● 10喇叭
○ 14喇叭","● 10喇叭
○ 14喇叭
○ 15喇叭","● 10喇叭
○ 14喇叭
○ 15喇叭","● 14喇叭
○ 15喇叭"
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,○,●,●,●,○,●,●,●
空调/冰箱,车内PM2.5过滤装置,○,●,●,●,○,●,●,●
空调/冰箱,空气质量监测,○,●,●,●,○,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–
选装包,冬季选装包,○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),-,-,-,-
选装包,冬季选装包4,-,-,-,-,○ 选配 (暂无价格),○ 选配 (暂无价格),○ 选配 (暂无价格),-
选装包,冬季选装包3,-,-,-,-,-,-,-,○ 选配 (暂无价格)
