セクション,項目,别克GL8新能源 2026款 陆尊 智享版,别克GL8新能源 2026款 陆尊 尊享版,别克GL8新能源 2026款 陆尊 奢享版,别克GL8新能源 2025款 陆尚 先享版 7座,别克GL8新能源 2025款 陆尚 智享版 7座,别克GL8新能源 2025款 陆尚 尊享版 7座,别克GL8新能源 2024款 陆尊 智享版 7座,别克GL8新能源 2024款 陆尊 尊享版 7座,别克GL8新能源 2024款 陆尊 奢享版 7座,别克GL8新能源 2024款 陆尊 奢享版 6座
发动机,最大马力(Ps),180,180,180,180,180,180,180,180,180,180
发动机,最大功率(kW),132,132,132,132,132,132,132,132,132,132
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),250,250,250,250,250,250,250,250,250,250
发动机,最大扭矩转速(rpm),1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500,1500-4500
发动机,最大净功率(kW),127,127,127,127,127,127,127,127,127,127
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ210XYEED,TZ210XYEED,TZ210XYEED,TZ210XYEED,TZ210XYEED,TZ210XYEED,-,-,-,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),160,160,160,160,160,160,160,160,160,160
电动机,电动机总马力(Ps),218,218,218,218,218,218,218,218,218,218
电动机,电动机总扭矩(N·m),330,330,330,330,330,330,330,330,330,330
电动机,前电动机最大功率(kW),160,160,160,160,160,160,160,160,160,160
电动机,前电动机最大扭矩(N·m),330,330,330,330,330,330,330,330,330,330
电动机,系统综合功率(kW),292,292,292,292,292,292,292,292,292,292
电动机,系统综合功率(Ps),397,397,397,397,397,397,397,397,397,397
电动机,系统综合扭矩(N·m),580,580,580,580,580,580,580,580,580,580
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力,● 江苏正力
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,-,-,-,-
电池/充电,WLTC纯电续航里程(km),150,150,150,111,111,111,-,-,-,-
电池/充电,CLTC纯电续航里程(km),202,202,202,142,142,142,138,138,138,138
电池/充电,CLTC综合续航(km),1450,1450,1450,1420,1420,1420,1370,1370,1370,1370
电池/充电,电池能量(kWh),34.8,34.8,34.8,24.4,24.4,24.4,24.4,24.4,24.4,24.4
电池/充电,百公里耗电量(kWh/100km),20.3,20.3,20.3,20.2,20.2,20.2,-,-,-,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,-,-,-,-
电池/充电,高压快充,-,-,-,-,-,-,支持,支持,支持,支持
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,-,-,-,-
变速箱,简称,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT
变速箱,挡位个数,2,2,2,2,2,2,2,2,2,2
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,后轮胎规格,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18,● 225/55 R18
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,-,-,● 主驾膝部气囊 副驾膝部气囊,-,-,-,-,-,● 主驾膝部气囊 副驾膝部气囊,● 主驾膝部气囊 副驾膝部气囊
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排,● 前排 第二排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,-,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,-,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,●,●,●,-,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,-,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,●,-,-,-,-,-,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 经济,● 经济,● 经济,-,-,-,-,-,-,-
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前- / 后,● 前- / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,-,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,-,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 6个,● 6个,● 1个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,超声波雷达数量,● 8个,● 8个,● 12个,● 4个,● 4个,● 8个,● 8个,● 8个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 5个,-,● 3个,● 3个,-,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● eCruise,● eCruise,● eCruise,-,● eCruise,● eCruise,● eCruise,● eCruise,● eCruise,● eCruise
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,-,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,-,-,-,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,-,-,-,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,●,●,●,-,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,-,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,-,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,-,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,●,-,-,-,-,-,●,●
驾驶功能,遥控泊车,-,-,●,-,-,-,-,-,●,●
驾驶功能,辅助变道,-,-,●,-,-,-,-,-,○,○
驾驶功能,辅助匝道自动驶出(入),-,-,●,-,-,-,-,-,-,-
驾驶功能,信号灯识别,-,-,●,-,-,-,-,-,○,○
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●
驾驶功能,起步提醒,●,●,●,-,●,●,-,-,-,-
驾驶功能,辅助驾驶路段,-,-,● 高速路段,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 双侧电动,● 双侧电动,● 双侧电动,● 右侧电动左侧手动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动
外观/防盗,电动后备厢,●,●,●,-,●,●,●,●,●,●
外观/防盗,感应后备厢,-,●,●,-,-,-,-,-,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,-,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,-,-,-,-,-,-,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,-,-,-,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●
车外灯光,场景灯语,●,●,●,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排
天窗/玻璃,后排侧窗遮阳帘,-,● 手动,● 手动,-,-,-,-,● 手动,● 手动,● 手动
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,-,-,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 30英寸,● 30英寸,● 30英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 30英寸,● 30英寸,● 30英寸,● 30英寸
屏幕/系统,中控屏幕分辨率,● 6K,● 6K,● 6K,-,-,-,● 6K,● 6K,● 6K,● 6K
屏幕/系统,中控屏幕像素密度,● 200PPI,● 200PPI,● 200PPI,-,-,-,● 200PPI,● 200PPI,● 200PPI,● 200PPI
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，别克,● 你好，别克,● 你好，别克,● 你好，别克,● 你好，别克,● 你好，别克,● 你好，别克,● 你好，别克,● 你好，别克,● 你好，别克
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,-,-,-,● 单区域,● 单区域,● 单区域,● 单区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,●
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入
屏幕/系统,应用商店,●,●,●,●,●,●,-,●,●,●
屏幕/系统,车载智能系统,● 别克eConnect,● 别克eConnect,● 别克eConnect,● 别克eConnect,● 别克eConnect,● 别克eConnect,● 别克eConnect,● 别克eConnect,● 别克eConnect,● 别克eConnect
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,-,-,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,后排液晶屏幕,●,●,●,-,-,●,-,○,○,○
屏幕/系统,后排液晶屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,-,-,● 15.6英寸,-,○ 15.6英寸 (6000元),○ 15.6英寸 (6000元),○ 15.6英寸 (6000元)
屏幕/系统,后排多媒体屏幕数量,● 1个,● 1个,● 1个,-,-,● 1个,-,○ 1个,○ 1个,○ 1个
屏幕/系统,后排控制多媒体,●,●,●,-,-,●,-,○,○,○
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 5G,● 4G,● 4G,● 4G,● 4G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质,● 真皮,● 真皮,● 真皮,● 真皮
