セクション,セクション_ja,項目,項目_ja,2026年モデル エクセレント 280TSI ビジネス版,2026年モデル Pro 300TSI ドラゴン耀版,2026年モデル Pro 300TSI 星空ドラゴン耀版,2026年モデル エクセレント 330TSI エリート版,2026年モデル エクセレント 330TSI 星空エリート版,2026年モデル エクセレント 380TSI ドラゴン騰版,2026年モデル エクセレント 380TSI 星空ドラゴン騰版,2026年モデル エクセレント 380TSI ドラゴン耀版,2026年モデル エクセレント 380TSI 星空ドラゴン耀版,2026年モデル Pro 380TSI ドラゴン耀版,2026年モデル Pro 380TSI 星空ドラゴン耀版,2026年モデル Pro 380TSI ドラゴン運版,2026年モデル Pro 380TSI 星空ドラゴン運版,2026年モデル Pro 380TSI ドラゴン尊版,2026年モデル Pro 380TSI 星空ドラゴン尊版,2026年モデル Pro 380TSI 行政版,2025年モデル エクセレント 280TSI ビジネス版,2025年モデル Pro 300TSI ドラゴン耀版,2025年モデル Pro 300TSI 星空ドラゴン耀版,2025年モデル エクセレント 330TSI エリート版,2025年モデル エクセレント 330TSI 星空エリート版,2025年モデル エクセレント 380TSI ドラゴン騰版,2025年モデル エクセレント 380TSI 星空ドラゴン騰版,2025年モデル エクセレント 380TSI ドラゴン耀版,2025年モデル エクセレント 380TSI 星空ドラゴン耀版,2025年モデル Pro 380TSI ドラゴン耀版,2025年モデル Pro 380TSI 星空ドラゴン耀版,2025年モデル Pro 380TSI ドラゴン運版,2025年モデル Pro 380TSI 星空ドラゴン運版,2025年モデル Pro 380TSI ドラゴン尊版,2025年モデル Pro 380TSI 星空ドラゴン尊版
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.4T 150馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,2.0T 186馬力 L4,2.0T 186馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,1.4T 150馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,2.0T 186馬力 L4,2.0T 186馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4948×1836×1469（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,4948×1836×1469（mm）,4948×1836×1469（mm）,4948×1836×1469（mm）,4948×1836×1469（mm）,4948×1836×1469（mm）,4948×1836×1469（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,4948×1836×1469（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,4948×1836×1469（mm）,4948×1836×1469（mm）,4948×1836×1469（mm）,4948×1836×1469（mm）,4948×1836×1469（mm）,4948×1836×1469（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）,5006×1850×1489（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.1,9.5,9.5,8.4,8.4,7.4,7.4,7.4,7.4,7.6,7.6,7.6,7.6,7.6,7.6,7.6,9.1,9.5,9.5,8.4,8.4,7.4,7.4,7.4,7.4,7.6,7.6,7.6,7.6,7.6,7.6
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),5.8,-,-,6.3,6.3,6.7,6.7,6.7,6.7,-,-,-,-,-,-,-,5.8,-,-,6.3,6.3,6.7,6.7,6.7,6.7,-,-,-,-,-,-
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.1,5.93,5.93,6.41,6.41,6.94,6.94,6.94,6.94,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.1,5.93,5.93,6.41,6.41,6.94,6.94,6.94,6.94,6.87,6.87,6.87,6.87,6.87,6.87
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1500,1580,1580,1600,1600,1620,1620,1620,1620,1680,1680,1680,1680,1680,1680,1680,1500,1580,1580,1600,1600,1620,1620,1620,1620,1680,1680,1680,1680,1680,1680
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1960,2040,2040,2060,2060,2080,2080,2080,2080,2140,2140,2140,2140,2140,2140,2140,1960,2040,2040,2060,2060,2080,2080,2080,2080,2140,2140,2140,2140,2140,2140
车身,車体,长度(mm),全長(mm),4948,5006,5006,4948,4948,4948,4948,4948,4948,5006,5006,5006,5006,5006,5006,5006,4948,5006,5006,4948,4948,4948,4948,4948,4948,5006,5006,5006,5006,5006,5006
车身,車体,宽度(mm),全幅(mm),1836,1850,1850,1836,1836,1836,1836,1836,1836,1850,1850,1850,1850,1850,1850,1850,1836,1850,1850,1836,1836,1836,1836,1836,1836,1850,1850,1850,1850,1850,1850
车身,車体,高度(mm),全高(mm),1469,1489,1489,1469,1469,1469,1469,1469,1469,1489,1489,1489,1489,1489,1489,1489,1469,1489,1489,1469,1469,1469,1469,1469,1469,1489,1489,1489,1489,1489,1489
车身,車体,轴距(mm),ホイールベース(mm),2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871
车身,車体,前轮距(mm),前トレッド(mm),1584,1586,1586,1584,1584,1584,1584,1584,1584,1586,1586,1586,1586,1586,1586,1586,1584,1586,1586,1584,1584,1584,1584,1584,1584,1586,1586,1586,1586,1586,1586
车身,車体,后轮距(mm),後トレッド(mm),1570,1572,1572,1570,1570,1570,1570,1570,1570,1572,1572,1572,1572,1572,1572,1572,1570,1572,1572,1570,1570,1570,1570,1570,1570,1572,1572,1572,1572,1572,1572
车身,車体,接近角(°),アプローチアングル(°),14,13,13,14,14,14,14,14,14,13,13,13,13,13,13,13,14,13,13,14,14,14,14,14,14,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),14,15,15,14,14,14,14,14,14,15,15,15,15,15,15,15,14,15,15,14,14,14,14,14,14,15,15,15,15,15,15
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5
车身,車体,后备厢容积(L),トランク容量(L),521,506,506,521,521,521,521,521,521,506,506,506,506,506,506,506,521,506,506,521,521,521,521,521,521,506,506,506,506,506,506
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,EA211-DLE,DSV,DSV,EA888-DTH,EA888-DTH,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA211-DLE,DSV,DSV,EA888-DTH,EA888-DTH,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ
发动机,エンジン,排量(mL),排気量(mL),1395,1498,1498,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1395,1498,1498,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
发动机,エンジン,排量(L),排気量(L),1.4,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.4,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),150,160,160,186,186,220,220,220,220,220,220,220,220,220,220,220,150,160,160,186,186,220,220,220,220,220,220,220,220,220,220
发动机,エンジン,最大功率(kW),最大出力(kW),110,118,118,137,137,162,162,162,162,162,162,162,162,162,162,162,110,118,118,137,137,162,162,162,162,162,162,162,162,162,162
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),4800-5200,5500,5500,4150-6000,4150-6000,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4800-5200,5500,5500,4150-6000,4150-6000,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),250,250,250,320,320,350,350,350,350,350,350,350,350,350,350,350,250,250,250,320,320,350,350,350,350,350,350,350,350,350,350
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1550-3200,1750-4000,1750-4000,1500-4050,1500-4050,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1550-3200,1750-4000,1750-4000,1500-4050,1500-4050,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300
发动机,エンジン,最大净功率(kW),最大出力(kW),110,118,118,137,137,162,162,162,162,162,162,162,162,162,162,162,110,118,118,137,137,162,162,162,162,162,162,162,162,162,162
发动机,エンジン,发动机特有技术,エンジン独自技術,-,ミラーサイクル,ミラーサイクル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミラーサイクル,ミラーサイクル,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,アルミ合金,アルミ合金,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準,国6排ガス基準
变速箱,トランスミッション,简称,略称,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
