セクション,項目,帕萨特 2026款 出众款 280TSI 商务版,帕萨特 2026款 Pro 300TSI 龙耀版,帕萨特 2026款 Pro 300TSI 星空龙耀版,帕萨特 2026款 出众款 330TSI 精英版,帕萨特 2026款 出众款 330TSI 星空精英版,帕萨特 2026款 出众款 380TSI 龙腾版,帕萨特 2026款 出众款 380TSI 星空龙腾版,帕萨特 2026款 出众款 380TSI 龙耀版,帕萨特 2026款 出众款 380TSI 星空龙耀版,帕萨特 2026款 Pro 380TSI 龙耀版,帕萨特 2026款 Pro 380TSI 星空龙耀版,帕萨特 2026款 Pro 380TSI 龙运版,帕萨特 2026款 Pro 380TSI 星空龙运版,帕萨特 2026款 Pro 380TSI 龙尊版,帕萨特 2026款 Pro 380TSI 星空龙尊版,帕萨特 2026款 Pro 380TSI 行政版,帕萨特 2025款 出众款 280TSI 商务版,帕萨特 2025款 Pro 300TSI 龙耀版,帕萨特 2025款 Pro 300TSI 星空龙耀版,帕萨特 2025款 出众款 330TSI 精英版,帕萨特 2025款 出众款 330TSI 星空精英版,帕萨特 2025款 出众款 380TSI 龙腾版,帕萨特 2025款 出众款 380TSI 星空龙腾版,帕萨特 2025款 出众款 380TSI 龙耀版,帕萨特 2025款 出众款 380TSI 星空龙耀版,帕萨特 2025款 Pro 380TSI 龙耀版,帕萨特 2025款 Pro 380TSI 星空龙耀版,帕萨特 2025款 Pro 380TSI 龙运版,帕萨特 2025款 Pro 380TSI 星空龙运版,帕萨特 2025款 Pro 380TSI 龙尊版,帕萨特 2025款 Pro 380TSI 星空龙尊版
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.4T 150马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,1.4T 150马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4
基本参数,长*宽*高(mm),4948*1836*1469,5006*1850*1489,5006*1850*1489,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,5006*1850*1489,5006*1850*1489,5006*1850*1489,5006*1850*1489,5006*1850*1489,5006*1850*1489,5006*1850*1489,4948*1836*1469,5006*1850*1489,5006*1850*1489,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,5006*1850*1489,5006*1850*1489,5006*1850*1489,5006*1850*1489,5006*1850*1489,5006*1850*1489
基本参数,官方0-100km/h加速(s),9.1,9.5,9.5,8.4,8.4,7.4,7.4,7.4,7.4,7.6,7.6,7.6,7.6,7.6,7.6,7.6,9.1,9.5,9.5,8.4,8.4,7.4,7.4,7.4,7.4,7.6,7.6,7.6,7.6,7.6,7.6
基本参数,最高车速(km/h),210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
基本参数,NEDC综合油耗(L/100km),5.8,-,-,6.3,6.3,6.7,6.7,6.7,6.7,-,-,-,-,-,-,-,5.8,-,-,6.3,6.3,6.7,6.7,6.7,6.7,-,-,-,-,-,-
基本参数,WLTC综合油耗(L/100km),6.1,5.93,5.93,6.41,6.41,6.94,6.94,6.94,6.94,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.1,5.93,5.93,6.41,6.41,6.94,6.94,6.94,6.94,6.87,6.87,6.87,6.87,6.87,6.87
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1500,1580,1580,1600,1600,1620,1620,1620,1620,1680,1680,1680,1680,1680,1680,1680,1500,1580,1580,1600,1600,1620,1620,1620,1620,1680,1680,1680,1680,1680,1680
基本参数,最大满载质量(kg),1960,2040,2040,2060,2060,2080,2080,2080,2080,2140,2140,2140,2140,2140,2140,2140,1960,2040,2040,2060,2060,2080,2080,2080,2080,2140,2140,2140,2140,2140,2140
车身,长度(mm),4948,5006,5006,4948,4948,4948,4948,4948,4948,5006,5006,5006,5006,5006,5006,5006,4948,5006,5006,4948,4948,4948,4948,4948,4948,5006,5006,5006,5006,5006,5006
车身,宽度(mm),1836,1850,1850,1836,1836,1836,1836,1836,1836,1850,1850,1850,1850,1850,1850,1850,1836,1850,1850,1836,1836,1836,1836,1836,1836,1850,1850,1850,1850,1850,1850
车身,高度(mm),1469,1489,1489,1469,1469,1469,1469,1469,1469,1489,1489,1489,1489,1489,1489,1489,1469,1489,1489,1469,1469,1469,1469,1469,1469,1489,1489,1489,1489,1489,1489
车身,轴距(mm),2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871
车身,前轮距(mm),1584,1586,1586,1584,1584,1584,1584,1584,1584,1586,1586,1586,1586,1586,1586,1586,1584,1586,1586,1584,1584,1584,1584,1584,1584,1586,1586,1586,1586,1586,1586
车身,后轮距(mm),1570,1572,1572,1570,1570,1570,1570,1570,1570,1572,1572,1572,1572,1572,1572,1572,1570,1572,1572,1570,1570,1570,1570,1570,1570,1572,1572,1572,1572,1572,1572
车身,接近角(°),14,13,13,14,14,14,14,14,14,13,13,13,13,13,13,13,14,13,13,14,14,14,14,14,14,13,13,13,13,13,13
车身,离去角(°),14,15,15,14,14,14,14,14,14,15,15,15,15,15,15,15,14,15,15,14,14,14,14,14,14,15,15,15,15,15,15
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5
车身,后备厢容积(L),521,506,506,521,521,521,521,521,521,506,506,506,506,506,506,506,521,506,506,521,521,521,521,521,521,506,506,506,506,506,506
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,EA211-DLE,DSV,DSV,EA888-DTH,EA888-DTH,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA211-DLE,DSV,DSV,EA888-DTH,EA888-DTH,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ
发动机,排量(mL),1395,1498,1498,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1395,1498,1498,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
发动机,排量(L),1.4,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.4,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),150,160,160,186,186,220,220,220,220,220,220,220,220,220,220,220,150,160,160,186,186,220,220,220,220,220,220,220,220,220,220
发动机,最大功率(kW),110,118,118,137,137,162,162,162,162,162,162,162,162,162,162,162,110,118,118,137,137,162,162,162,162,162,162,162,162,162,162
发动机,最大功率转速(rpm),4800-5200,5500,5500,4150-6000,4150-6000,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4800-5200,5500,5500,4150-6000,4150-6000,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700
发动机,最大扭矩(N·m),250,250,250,320,320,350,350,350,350,350,350,350,350,350,350,350,250,250,250,320,320,350,350,350,350,350,350,350,350,350,350
发动机,最大扭矩转速(rpm),1550-3200,1750-4000,1750-4000,1500-4050,1500-4050,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1550-3200,1750-4000,1750-4000,1500-4050,1500-4050,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300
发动机,最大净功率(kW),110,118,118,137,137,162,162,162,162,162,162,162,162,162,162,162,110,118,118,137,137,162,162,162,162,162,162,162,162,162,162
发动机,发动机特有技术,-,米勒循环,米勒循环,-,-,-,-,-,-,-,-,-,-,-,-,-,-,米勒循环,米勒循环,-,-,-,-,-,-,-,-,-,-,-,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/60 R16,● 245/45 R18,● 245/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 245/45 R18,"● 245/45 R18
○ 245/40 R19 (1500元)","● 245/45 R18
○ 245/40 R19 (1500元)","● 245/45 R18
○ 245/40 R19 (1500元)",● 245/40 R19,● 245/40 R19,● 245/40 R19,● 215/60 R16,● 245/45 R18,● 245/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 245/45 R18,"● 245/45 R18
○ 245/40 R19 (1500元)","● 245/45 R18
○ 245/40 R19 (1500元)","● 245/45 R18
○ 245/40 R19 (1500元)",● 245/40 R19,● 245/40 R19
车轮制动,后轮胎规格,● 215/60 R16,● 245/45 R18,● 245/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 245/45 R18,"● 245/45 R18
○ 245/40 R19","● 245/45 R18
○ 245/40 R19","● 245/45 R18
○ 245/40 R19",● 245/40 R19,● 245/40 R19,● 245/40 R19,● 215/60 R16,● 245/45 R18,● 245/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 245/45 R18,"● 245/45 R18
○ 245/40 R19","● 245/45 R18
○ 245/40 R19","● 245/45 R18
○ 245/40 R19",● 245/40 R19,● 245/40 R19
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
