セクション,項目,ID.4 CROZZ 2026款 纯享版PURE,ID.4 CROZZ 2026款 PURE+版,ID.4 CROZZ 2026款 暗黑骑士PRO版,ID.4 CROZZ 2025款 纯享版,ID.4 CROZZ 2025款 长续航PURE+版,ID.4 CROZZ 2025款 长续航暗黑骑士PRO版,ID.4 CROZZ 2025款 高性能暗黑骑士PRIME版
电池/充电,电池类型,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 时代一汽,● 时代一汽,● 时代一汽,● 宁德时代,● 时代一汽,● 时代一汽,● 时代一汽
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,换电,-,-,-,不支持,不支持,不支持,不支持
电池/充电,CLTC纯电续航里程(km),448,601,601,442,601,601,560
电池/充电,电池能量(kWh),54.3,80.4,80.4,55.7,80.4,80.4,80.4
电池/充电,电池能量密度(Wh/kg),-,175,175,165,175,175,175
电池/充电,百公里耗电量(kWh/100km),13.6,14.2,14.2,13.1,14.2,14.2,15.2
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,-,100,100,100,100
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.67,0.67,0.67,0.67
电池/充电,电池慢充时间(小时),8.5,12.5,12.5,8.5,12.5,12.5,12.5
电池/充电,电池快充电量范围(%),0-80,0-80,0-80,80,80,80,80
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,-,-,-,-
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱
底盘转向,四驱形式,-,-,-,-,-,-,● 电动四驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/55 R19,● 235/55 R19,● 235/50 R20,● 235/55 R19,● 235/55 R19,● 235/50 R20,● 235/45 R21
车轮制动,后轮胎规格,● 235/55 R19,● 255/50 R19,● 255/45 R20,● 235/55 R19,● 255/50 R19,● 255/45 R20,● 255/40 R21
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,缺气保用轮胎,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●
主动安全,DOW开门预警,-,-,●,-,-,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,能量回收系统,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,-,-,-,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 2个,● 2个,● 5个,● 2个,● 2个,● 5个,● 5个
驾驶硬件,超声波雷达数量,● 8个,● 8个,● 12个,● 8个,● 8个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 1个,● 1个,● 3个,● 1个,● 1个,● 3个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,○ Travel Assist 2.0,● Travel Assist 2.0,● Travel Assist 3.0,-,● Travel Assist 2.0,● Travel Assist 3.0,● Travel Assist 3.0
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,-,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●
驾驶功能,并线辅助,-,-,●,-,-,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●
驾驶功能,车道居中保持,○,●,●,-,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,●,-,-,●,●
驾驶功能,遥控泊车,-,-,●,-,-,●,●
驾驶功能,记忆泊车,-,-,●,-,-,●,●
驾驶功能,辅助变道,-,-,●,-,-,●,●
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,●,●,○ (3000元),●,●,●
外观/防盗,感应后备厢,-,-,-,○,●,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,○,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,-,● 矩阵式,-,-,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,-,-,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,转向头灯,○,●,●,○,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,可开启全景天窗 (1000元) 不可开启全景天窗,可开启全景天窗 (1000元) 不可开启全景天窗,● 不可开启全景天窗,可开启全景天窗 (1000元) 不可开启全景天窗,可开启全景天窗 (1000元) 不可开启全景天窗,可开启全景天窗 (1000元) 不可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
天窗/玻璃,可加热喷水嘴,-,-,-,-,-,-,○
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸,● 12.9英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●
屏幕/系统,应用商店,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● ID.S,● ID.S,● ID.S,● ID.S,● ID.S,● ID.S,● ID.S
智能化配置,车联网,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 空调控制 车况查询/诊断,● 车门控制 空调控制 车况查询/诊断,● 车门控制 空调控制 车况查询/诊断,● 车门控制 空调控制 车况查询/诊断,● 车门控制 空调控制 车况查询/诊断,● 车门控制 空调控制 车况查询/诊断,● 车门控制 空调控制 车况查询/诊断
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○,●,●,-,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 5.3英寸,● 5.3英寸,● 5.3英寸,● 5.3英寸,● 5.3英寸,● 5.3英寸,● 5.3英寸
方向盘/内后视镜,仪表盘屏幕材质,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
方向盘/内后视镜,仪表盘屏幕分辨率（px）,● 860x480,● 860x480,● 860x480,● 860x480,● 860x480,● 860x480,● 860x480
方向盘/内后视镜,AR-HUD增强现实抬头显示,○,-,○,-,-,○,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排3个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,● 前排,● 前排,-,-,● 前排,● 前排
车内充电,手机无线充电功率,-,● 40W,● 40W,-,-,● 15W,● 15W
座椅配置,座椅材质,● 仿皮,● 皮/织物混搭,● 仿皮,● 皮/织物混搭,● 皮/织物混搭,● 仿皮,● 皮/翻毛材质混搭
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(2向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,○ 加热,-,● 加热 通风 按摩,-,-,● 加热 通风 按摩,● 加热 通风 按摩
座椅配置,电动座椅记忆功能,-,-,● 驾驶位 副驾驶位,-,-,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后
座椅配置,后排杯架,-,-,●,-,-,●,●
音响/车内灯光,扬声器品牌名称,-,-,○ Harman/Kardon哈曼卡顿,-,-,○ Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,● 7喇叭,● 7喇叭,7喇叭 10喇叭,● 7喇叭,● 7喇叭,7喇叭 10喇叭,● 10喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,-,● 30色,-,-,● 30色,● 30色
音响/车内灯光,主动式环境氛围灯,-,-,●,-,-,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,-,-,-,-,-,-,○
空调/冰箱,后排独立空调,-,-,-,-,-,-,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,-,-,●
颜色,外观颜色,极地白 珠光白 星河灰 星黛蓝 晨雾绿 异星蓝,极地白 珠光白 星河灰 星黛蓝 晨雾绿 异星蓝,极地白 珠光白 星河灰 星黛蓝 晨雾绿 异星蓝,极地白 星河灰 星黛蓝 晨雾绿,极地白 星河灰 星黛蓝 晨雾绿,珠光白 星河灰 星黛蓝 晨雾绿,珠光白 星河灰 星黛蓝 晨雾绿
颜色,内饰颜色,清新典雅灰/黑色,黑色/灰色 清新典雅灰/黑色,灰色/玄彩秘境黑,清新典雅灰/黑色,清新典雅灰/黑色,灰色/玄彩秘境黑,曜石动感黑
选装包,舒享加热包,○ 包含：前排座椅加热、超纤方向盘带加热功能、Travel Assist 2.0 选配 (暂无价格),-,-,-,-,-,-
选装包,IQ.Light LED高级前大灯,○ 包含：前部贯穿式LED灯带、前后发光VW徽标 、尾灯流水式动态转向功能 、ID.Welcome前后动态迎宾模式 、AFS大灯随动转向功能 选配 (暂无价格),-,-,-,-,-,-
选装包,CO2热泵空调包,-,-,-,-,-,-,○ 包含：CO2热泵空调系统、前风挡清洗喷嘴加热、前风挡加热 选配 (9000元)
