セクション,セクション_ja,項目,項目_ja,2026年モデル リンドウ アップグレード版,2026年モデル リンドウ ロングレンジ版,2026年モデル リンドウ 新ラグジュアリー版,2026年モデル BRABUS パフォーマンス版
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.64,1.56,1.5,1.82
基本参数,基本仕様,整车质保,車両保証,● 4年または15万km,● 4年または15万km,● 4年または15万km,● 4年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1770,1800,1800,1900
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2170,2200,2200,2300
车身,車体,长度(mm),全長(mm),4270,4270,4270,4300
车身,車体,宽度(mm),全幅(mm),1822,1822,1822,1822
车身,車体,高度(mm),全高(mm),1636,1636,1636,1636
车身,車体,轴距(mm),ホイールベース(mm),2750,2750,2750,2750
车身,車体,前轮距(mm),前トレッド(mm),1581,1581,1585,1585
车身,車体,后轮距(mm),後トレッド(mm),1586,1586,1590,1590
车身,車体,空载最小离地间隙(mm),最小最低地上高(無負荷)(mm),181,181,182,182
车身,車体,接近角(°),アプローチアングル(°),18,18,17,15
车身,車体,离去角(°),デパーチャーアングル(°),31,31,26,26
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,前备厢容积(L),フロントトランク容量(L),15,15,15,15
车身,車体,后备厢容积(L),リアトランク容量(L),313-976,313-976,313-976,313-976
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,-,-,-,ヴェイレイ電動
电动机,モーター,后电动机品牌,後モーターブランド,スター駆動力,スター駆動力,衢州ジーディエン,衢州ジーディエン
电动机,モーター,前电动机型号,前モーター型式,-,-,-,TZ180XSB01
电动机,モーター,后电动机型号,後モーター型式,TZ184QY101,TZ184QY101,TZ220XYA02,TZ220XYA01
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),175,175,250,365
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),238,238,340,496
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),300,300,373,573
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,115
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,200
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),175,175,250,250
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),300,300,373,373
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,前置＋後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または15万km,● 8年または15万km,● 8年または15万km,● 8年または15万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 瑞浦ランジュン,● 中創新航,● 寧徳時代 中創新航,● 中創新航
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,-,-,液冷,液冷
电池/充电,バッテリー/充電,换电,バッテリー交換対応,-,-,非対応,非対応
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),410,545,570,470
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),49,66,66,66
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),14.1,13.4,12.9,15.7
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),-,150,150,150
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),5.5,7.5,7.5,7.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電範囲(%),10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電範囲(%),10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/50 R18,● 235/50 R18,● 235/45 R19,● 235/45 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/50 R18,● 235/50 R18,● 235/45 R19,● 235/45 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適,● スポーツ 経済 標準/快適
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼,● 単眼,● 単眼,● 単眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,-,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 8個,● 8個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,-,● 5個,● 5個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,-,-,●,●
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,● スポーティスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動リアトランク位置メモリー,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電対応,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,-,● マトリックス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウアップ/ダウン機能,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後部側面プライバシーガラス,-,-,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● OLED,● OLED,● OLED,● OLED
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080
屏幕/系统,ディスプレイ・システム,中控屏幕像素密度,センターコンソール画面ピクセル密度,● 172PPI,● 172PPI,● 172PPI,● 172PPI
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 Carlink対応,● CarPlay対応 Carlink対応,● CarPlay対応 Carlink対応,● CarPlay対応 Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、smart,● こんにちは、smart,● こんにちは、smart,● こんにちは、smart
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載インテリジェントチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 16,● 16
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,● 128
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア制御 エンジン始動 充電管理 ライト制御 車両位置検索/呼出,● ドア制御 エンジン始動 充電管理 ライト制御 車両位置検索/呼出,● ドア制御 エンジン始動 充電管理 ライト制御 車両位置検索/呼出,● ドア制御 エンジン始動 充電管理 ライト制御 車両位置検索/呼出
智能化配置,スマート機能装備,模拟声浪,エンジンサウンドシミュレーション,-,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● 本革,● アルカンターラ／スエード
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 9.2インチ,● 9.2インチ,● 9.2インチ,● 9.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,ヘッドアップディスプレイサイズ,-,-,● 10インチ,● 10インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 自動防眩,● 自動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,-,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 本革,● レザー／スエード素材ミックス
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（2方向） 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター付き,● ヒーター付き,● ヒーター＆ベンチレーション,● ヒーター＆ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● ゼンハイザー,● ゼンハイザー,● ゼンハイザー,● ゼンハイザー
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 13スピーカー,● 13スピーカー,● 13スピーカー,● 13スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,ゾーン別温度調整,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,●,●
颜色,カラー,外观颜色,ボディカラー,月食ブラック／粒子ホワイト 月食ブラック／サイバーシルバー 月食ブラック／ポップピンク ￥3000 月食ブラック／タイムグリーン ￥3000 月食ブラック／ムーンホワイト ￥3000 クォンタムブラック ルミナスイエロー／クォンタムブラック,月食ブラック／粒子ホワイト 月食ブラック／サイバーシルバー 月食ブラック／ポップピンク ￥3000 月食ブラック／タイムグリーン ￥3000 月食ブラック／ムーンホワイト ￥3000 クォンタムブラック ルミナスイエロー／クォンタムブラック,月食ブラック／粒子ホワイト 月食ブラック／サイバーシルバー 月食ブラック／レーザーレッド ￥3000 月食ブラック／マットグレー ￥5000 月食ブラック／ポップピンク ￥3000 月食ブラック／タイムグリーン ￥3000 月食ブラック／ムーンホワイト ￥3000 クォンタムブラック 月食ブラック／スターリーブルー ￥3000,エナジーレッド／マットグレー ￥5000 エナジーレッド／マットブラック ￥5000 エナジーレッド／サイバーシルバー
颜色,カラー,内饰颜色,内装色,ディープスペースブラック ライトニンググレー,ディープスペースブラック ライトニンググレー,タクタイルゴールドDuo／ベージュ ブラック／スカイグリーン ランイエブラック,BRABUSブラック
