セクション,項目,揽巡 2026款 330TSI 精英巡行 众享款,揽巡 2026款 330TSI 豪华巡逸 众享款,揽巡 2026款 380TSI 四驱R-Line巡游 众享款,揽巡 2026款 380TSI 四驱R-Line巡礼 众享款,揽巡 2026款 380TSI 四驱R-Line巡礼 曜夜版,揽巡 2025款 330TSI 精英巡行 众享款,揽巡 2025款 330TSI 豪华巡逸 众享款,揽巡 2025款 380TSI 四驱R-Line巡游 众享款,揽巡 2025款 380TSI 四驱R-Line巡礼 众享款,揽巡 2025款 380TSI 四驱R-Line巡礼 曜夜版,揽巡 2026款 450TSI 四驱R-Line基本型
基本参数,官方0-100km/h加速(s),10.2,10.2,9.1,9.1,9.1,10.2,10.2,9.1,9.1,9.1,-
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),7.77,7.77,8.68,8.68,8.68,7.77,7.77,8.68,8.68,8.68,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,-
基本参数,整备质量(kg),1944,1944,2065,2065,2065,1944,1944,2065,2065,2065,2062
基本参数,最大满载质量(kg),2510,2510,2630,2630,2630,2510,2510,2630,2630,2630,2630
车身,长度(mm),4936,4936,4949,4949,4949,4936,4936,4949,4949,4949,5007
车身,宽度(mm),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
车身,高度(mm),1756,1767,1772,1772,1772,1756,1767,1772,1772,1772,1763
车身,轴距(mm),2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980
车身,前轮距(mm),1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704
车身,后轮距(mm),1719,1719,1719,1719,1719,1719,1719,1719,1719,1719,1719
车身,接近角(°),22,22,22,22,22,22,22,22,22,22,20
车身,离去角(°),20,20,21,21,21,20,20,21,21,21,20
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),74,74,74,74,74,74,74,74,74,74,-
车身,后备厢容积(L),656,656,656,656,656,656,656,656,656,656,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,DTH,DTH,DTJ,DTJ,DTJ,DTH,DTH,DTJ,DTJ,DTJ,DYN
发动机,排量(mL),1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),186,186,220,220,220,186,186,220,220,220,272
发动机,最大功率(kW),137,137,162,162,162,137,137,162,162,162,200
发动机,最大功率转速(rpm),4100-6000,4100-6000,4500-6700,4500-6700,4500-6700,4100-6000,4100-6000,4500-6700,4500-6700,4500-6700,-
发动机,最大扭矩(N·m),320,320,350,350,350,320,320,350,350,350,-
发动机,最大扭矩转速(rpm),1600-4050,1600-4050,1500-4300,1500-4300,1500-4300,1600-4050,1600-4050,1500-4300,1500-4300,1500-4300,-
发动机,最大净功率(kW),137,137,162,162,162,137,137,162,162,162,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,-
变速箱,挡位个数,7,7,7,7,7,7,7,7,7,7,-
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),-
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,-,-,● 适时四驱,● 适时四驱,● 适时四驱,-,-,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,-,-,● 多片离合器,● 多片离合器,● 多片离合器,-,-,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/60 R18,● 255/50 R20,"● 255/50 R20
○ 265/45 R21 (3000元)",● 265/45 R21,● 265/45 R21,● 245/60 R18,● 255/50 R20,"● 255/50 R20
○ 265/45 R21 (3000元)",● 265/45 R21,● 265/45 R21,● 255/50 R20
车轮制动,后轮胎规格,● 245/60 R18,● 255/50 R20,"● 255/50 R20
○ 265/45 R21 (3000元)",● 265/45 R21,● 265/45 R21,● 245/60 R18,● 255/50 R20,"● 255/50 R20
○ 265/45 R21 (3000元)",● 265/45 R21,● 265/45 R21,● 255/50 R20
车轮制动,备胎规格,○ 非全尺寸,○ 非全尺寸,○ 非全尺寸,○ 非全尺寸,○ 非全尺寸,○ 非全尺寸,○ 非全尺寸,○ 非全尺寸,○ 非全尺寸,○ 非全尺寸,-
车轮制动,备胎放置方式,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,○ 后备厢内,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,-
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,-
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,"● 胎压报警
○ 胎压显示",● 胎压显示,● 胎压显示,● 胎压报警,● 胎压报警,"● 胎压报警
○ 胎压显示",● 胎压显示,● 胎压显示,-
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 全车,● 全车,● 前排,● 前排,● 前排,● 全车,● 全车,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,-
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,-
主动安全,疲劳驾驶提示,-,-,●,●,●,-,-,●,●,●,-
主动安全,DOW开门预警,-,●,●,●,●,-,●,●,●,●,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,驾驶模式切换,● 运动,● 运动,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化",● 运动,● 运动,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化",-
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,陡坡缓降,-,-,●,●,●,-,-,●,●,●,-
驾驶硬件,前/后驻车雷达,前- / 后 ●,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前- / 后 ●,前- / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-
驾驶硬件,驾驶辅助影像,-,● 倒车影像,"● 倒车影像
○ 360度全景影像 (3500元)",● 360度全景影像,● 360度全景影像,-,● 倒车影像,"● 倒车影像
○ 360度全景影像 (3500元)",● 360度全景影像,● 360度全景影像,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-
驾驶硬件,摄像头数量,● 1个,● 2个,"● 2个
○ 5个",● 5个,● 5个,● 1个,● 2个,"● 2个
○ 5个",● 5个,● 5个,-
驾驶硬件,超声波雷达数量,● 4个,● 4个,● 12个,● 12个,● 12个,● 4个,● 4个,● 12个,● 12个,● 12个,-
驾驶硬件,毫米波雷达数量,● 1个,● 3个,● 3个,● 3个,● 3个,● 1个,● 3个,● 3个,● 3个,● 3个,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-
驾驶功能,辅助驾驶系统,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,● IQ. Drive,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-
驾驶功能,倒车车侧预警系统,-,●,●,●,●,-,●,●,●,●,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,并线辅助,-,●,●,●,●,-,●,●,●,●,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,车道居中保持,-,-,●,●,●,-,-,●,●,●,-
驾驶功能,辅助泊车入位,-,-,●,●,●,-,-,●,●,●,-
外观/防盗,外观套件,-,-,● 运动风格,● 运动风格,● 运动风格,-,-,● 运动风格,● 运动风格,● 运动风格,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,-
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,感应后备厢,-,-,●,●,●,-,-,●,●,●,-
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,车顶行李架,-,●,●,●,●,-,●,●,●,●,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,-
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,无钥匙进入功能,-,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,灯光特色功能,-,-,-,● 矩阵式,● 矩阵式,-,-,-,● 矩阵式,● 矩阵式,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,-
车外灯光,自适应远近光,-,-,-,●,●,-,-,-,●,●,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,-
车外灯光,转向辅助灯,●,●,●,●,●,●,●,●,●,●,-
车外灯光,转向头灯,-,-,-,●,●,-,-,-,●,●,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,-
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,天窗类型,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,侧窗多层隔音玻璃,-,-,"○ 前排
○ 后排","○ 前排
○ 后排","○ 前排
○ 后排",-,-,"○ 前排
○ 后排","○ 前排
○ 后排","○ 前排
○ 后排",-
天窗/玻璃,后排侧隐私玻璃,-,-,○,○,○,-,-,○,○,○,-
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",-
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,-
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",-
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-
屏幕/系统,中控屏幕尺寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,● 12英寸,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife",-
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调",-
屏幕/系统,语音助手唤醒词,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,-
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,-
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-
智能化配置,OTA升级,-,-,-,-,-,-,-,-,-,-,-
智能化配置,手机APP远程功能,"● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车况查询/诊断
● 车辆定位/寻车",-
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,-
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,-
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,-
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,方向盘换挡拨片,-,-,●,●,●,-,-,●,●,●,-
方向盘/内后视镜,方向盘加热,-,-,○,○,○,-,-,○,○,○,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,-
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,-
方向盘/内后视镜,HUD抬头数字显示,-,-,○ (2000元),●,●,-,-,○ (5000元),●,●,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,-
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,-
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,-
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,-
车内充电,手机无线充电功率,-,● 15W,● 15W,● 15W,● 15W,-,● 15W,● 15W,● 15W,● 15W,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,-
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)",-
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)",-
