セクション,セクション_ja,項目,項目_ja,2026年モデル 280TSI マニュアル 先鋒版,2026年モデル 280TSI マニュアル ハッピーPlus版,2026年モデル 280TSI オートマ 先鋒版,2026年モデル 280TSI オートマ ハッピーPlus版,2026年モデル 280TSI マニュアル エンジョイ版,2026年モデル 280TSI オートマ エンジョイ版,2026年モデル 280TSI オートマ エンジョイ ハイライト版,2026年モデル 280TSI オートマ グローリー ハイライト版,2026年モデル 280TSI オートマ フラッグシップ ハイライト版,2025年モデル 280TSI マニュアル ハッピーPlus版,2025年モデル 280TSI オートマ ハッピーPlus版,2024年モデル 280TSI マニュアル 先鋒版,2024年モデル 280TSI オートマ 先鋒版,2024年モデル 280TSI マニュアル エンジョイ版,2024年モデル 280TSI オートマ エンジョイ版,2024年モデル 280TSI オートマ エンジョイ ハイライト版,2024年モデル 280TSI オートマ グローリー ハイライト版,2024年モデル 280TSI オートマ フラッグシップ ハイライト版
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）,4418×1841×1616（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.5,9.5,10,10,9.5,10,10,10,10,9.5,10,9.5,10,9.5,10,10,10,10
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),175,175,170,170,175,170,170,170,170,175,170,175,170,175,170,170,170,170
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.53,6.53,7.08,7.08,6.53,7.08,7.08,7.08,7.08,6.53,7.08,6.53,7.08,6.53,7.08,7.08,7.08,7.08
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1310,1310,1355,1355,1310,1355,1355,1355,1355,1310,1355,1310,1355,1310,1355,1355,1355,1355
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1790,1790,1830,1830,1790,1830,1830,1830,1830,1790,1830,1790,1830,1790,1830,1830,1830,1830
车身,車体,长度(mm),全長(mm),4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418,4418
车身,車体,宽度(mm),全幅(mm),1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841
车身,車体,高度(mm),全高(mm),1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616
车身,車体,轴距(mm),ホイールベース(mm),2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630
车身,車体,前轮距(mm),前トレッド(mm),1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572
车身,車体,后轮距(mm),後トレッド(mm),1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544
车身,車体,接近角(°),アプローチアングル(°),21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
车身,車体,离去角(°),デパーチャーアングル(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
车身,車体,后备厢容积(L),トランク容量(L),482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE
发动机,エンジン,排量(mL),排気量(mL),1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395
发动机,エンジン,排量(L),排気量(L),1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
发动机,エンジン,最大功率(kW),最大出力(kW),110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000,5000-6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000,1750-3000
发动机,エンジン,最大净功率(kW),最大出力(kW),110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
发动机,エンジン,发动机特有技术,エンジン独自技術,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT,D-VVT
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,最低燃油标号,最低燃料指定番号,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,5速マニュアル,5速マニュアル,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,5速マニュアル,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,5速マニュアル,6速AT（マニュアルモード付）,5速マニュアル,6速AT（マニュアルモード付）,5速マニュアル,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）,6速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,5,5,6,6,5,6,6,6,6,5,6,5,6,5,6,6,6,6
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルトランスミッション（MT）,マニュアルトランスミッション（MT）,マニュアルモード付AT（AT）,マニュアルモード付AT（AT）,マニュアルトランスミッション（MT）,マニュアルモード付AT（AT）,マニュアルモード付AT（AT）,マニュアルモード付AT（AT）,マニュアルモード付AT（AT）,マニュアルトランスミッション（MT）,マニュアルモード付AT（AT）,マニュアルトランスミッション（MT）,マニュアルモード付AT（AT）,マニュアルトランスミッション（MT）,マニュアルモード付AT（AT）,マニュアルモード付AT（AT）,マニュアルモード付AT（AT）,マニュアルモード付AT（AT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ,● 225/50 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,"● パンク修理キット
○ スペアタイヤ（非フルサイズ、200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ、200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ、200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ、200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ、200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ、200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ、200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ、200元）","● パンク修理キット
○ スペアタイヤ（非フルサイズ、200元）",● 非フルサイズ,● 非フルサイズ,● 非フルサイズ,● 非フルサイズ,● 非フルサイズ,● 非フルサイズ,● 非フルサイズ,● 非フルサイズ,● 非フルサイズ
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,-,-,-,-,-,-,-,-,-,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,-,-,-,-,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,前席 ● / 後席 ●,-,-,-,-,-,-,-,-,前席 ● / 後席 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 前席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●
