セクション,項目,宝马X1 2025款 sDrive25Li X设计套装,宝马X1 2025款 sDrive25Li M运动套装,宝马X1 2025款 xDrive25Li X设计套装,宝马X1 2025款 xDrive25Li M运动曜夜套装,宝马X1 2024款 sDrive20Li X设计套装,宝马X1 2024款 sDrive25Li X设计套装,宝马X1 2024款 sDrive25Li M运动套装,宝马X1 2024款 xDrive25Li X设计套装,宝马X1 2024款 xDrive25Li M运动套装
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,-,-,● 适时四驱,● 适时四驱,-,-,-,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,-,-,● 多片离合器,● 多片离合器,-,-,-,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 245/45 R19
○ 245/40 R20 (8000元)","● 245/45 R19
○ 245/40 R20 (8000元)",● 245/40 R20,● 245/40 R20,● 225/55 R18,● 245/45 R19,● 245/45 R19,● 245/40 R20,● 245/40 R20
车轮制动,后轮胎规格,"● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20",● 245/40 R20,● 245/40 R20,● 225/55 R18,● 245/45 R19,● 245/45 R19,● 245/40 R20,● 245/40 R20
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,被动行人保护,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,○,○,○,○,○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元)
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 自定义/个性化","● 运动
● 经济
● 自定义/个性化","● 运动
● 经济
● 自定义/个性化","● 运动
● 经济
● 自定义/个性化","● 运动
● 经济
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,-,-,●,●,-,-,-,●,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,"● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像"
驾驶硬件,前方感知摄像头,"● 单目
○ 双目","● 单目
○ 双目","● 单目
○ 双目","● 单目
○ 双目",-,-,-,-,-
驾驶硬件,摄像头数量,"● 2个
○ 6个","● 2个
○ 6个","● 2个
○ 6个","● 2个
○ 6个",-,-,-,-,-
驾驶硬件,车内摄像头数量,○ 1个 (2000元),○ 1个 (2000元),○ 1个 (2000元),○ 1个 (2000元),-,-,-,-,-
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,-,-,-,-,-
驾驶功能,巡航系统,"● 定速巡航
○ 自适应巡航","● 定速巡航
○ 自适应巡航","● 定速巡航
○ 自适应巡航","● 定速巡航
○ 自适应巡航","● 定速巡航
○ 自适应巡航
○ 全速自适应巡航","● 定速巡航
○ 自适应巡航
○ 全速自适应巡航","● 定速巡航
○ 自适应巡航
○ 全速自适应巡航","● 定速巡航
○ 自适应巡航
○ 全速自适应巡航","● 定速巡航
○ 自适应巡航
○ 全速自适应巡航"
驾驶功能,辅助驾驶等级,○ L2,○ L2,○ L2,○ L2,○ L2,○ L2,○ L2,○ L2,○ L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,○,○,○,○,○,○,○,○,○
驾驶功能,道路交通标识识别,○,○,○,○,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●,●
驾驶功能,循迹倒车,●,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,○,○,○,○,○,○,○,○,○
外观/防盗,外观套件,● 越野风格,● 运动风格,● 越野风格,● 运动风格,-,-,● 运动风格,-,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,○,○,●,●,○,○,○,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● NFC/RFID钥匙
○ UWB数字钥匙","● 遥控钥匙
● NFC/RFID钥匙
○ UWB数字钥匙","● 遥控钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
○ 蓝牙钥匙
○ NFC/RFID钥匙
○ UWB数字钥匙 (2500元)","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,○ 前排,○ 前排,● 前排,● 前排,○ 前排 (3000元),○ 前排 (3000元),○ 前排 (3000元),● 前排,● 前排
外观/防盗,远程启动功能,○,○,○,○,-,-,-,-,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
○ 自动防眩目"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 10.7英寸,● 10.7英寸,● 10.7英寸,● 10.7英寸,● 10.7英寸,● 10.7英寸,● 10.7英寸,● 10.7英寸,● 10.7英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,"● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto","● 支持CarPlay
● 支持Android Auto"
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
屏幕/系统,语音助手唤醒词,● 你好，宝马,● 你好，宝马,● 你好，宝马,● 你好，宝马,-,-,-,-,-
屏幕/系统,语音免唤醒词,●,●,●,●,-,-,-,-,-
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,-,-,-,-,-
屏幕/系统,可见即可说,●,●,●,●,-,-,-,-,-
屏幕/系统,面部识别,○,○,○,○,-,-,-,-,-
屏幕/系统,应用商店,●,●,●,●,-,-,-,-,-
屏幕/系统,车载智能系统,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive
智能化配置,车联网,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,"● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)"
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,●,●,●,●,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,●,-,-,-,-,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,HUD抬头数字显示,○ (9000元),○ (9000元),●,●,○ (9000元),○ (9000元),○ (9000元),●,●
方向盘/内后视镜,内后视镜功能,"● 手动防眩目
○ 自动防眩目","● 手动防眩目
○ 自动防眩目","● 手动防眩目
○ 自动防眩目","● 手动防眩目
○ 自动防眩目","● 手动防眩目
○ 自动防眩目","● 手动防眩目
○ 自动防眩目","● 手动防眩目
○ 自动防眩目","● 手动防眩目
○ 自动防眩目","● 手动防眩目
○ 自动防眩目"
方向盘/内后视镜,ETC装置,○ (1000元),○ (1000元),●,●,○ (1000元),○ (1000元),○ (1000元),●,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,"● 前排2个/后排1个
○ 前排2个/后排2个","● 前排2个/后排1个
○ 前排2个/后排2个",● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,○ 前排 (2000元),● 前排,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,"● 仿皮
○ 皮/Alcantara混搭",● 仿皮,"○ 仿皮
● 皮/Alcantara混搭",● 仿皮,● 仿皮,"● 仿皮
○ 皮/Alcantara混搭",● 仿皮,● 皮/Alcantara混搭
座椅配置,运动风格座椅,●,●,●,●,●,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副-,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3000元)
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,● Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿 (5000元),● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿 (5000元),● Harman/Kardon哈曼卡顿,○ Harman/Kardon哈曼卡顿 (5000元),● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,● 12喇叭,"● 6喇叭
○ 12喇叭",● 12喇叭,● 12喇叭,"● 6喇叭
○ 12喇叭",● 12喇叭,"● 6喇叭
○ 12喇叭",● 12喇叭,● 12喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,-,-,-,-,-
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
