セクション,項目,奔驰C级 2025款 改款 C 200 L 运动版,奔驰C级 2025款 改款 C 260 L,奔驰C级 2025款 改款 C 260 L 运动版,奔驰C级 2025款 改款 C 260 L 4MATIC 运动版,奔驰C级 2025款 改款 C 260 L 皓夜运动版
车身,高度(mm),1461,1461,1461,1461,1461
车身,轴距(mm),2954,2954,2954,2954,2954
车身,前轮距(mm),1589,1589,1589,1589,1589
车身,后轮距(mm),1563,1563,1563,1563,1563
车身,接近角(°),15,15,15,15,15
车身,离去角(°),18,18,18,18,18
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),66,66,66,66,66
车身,后备厢容积(L),455,455,455,455,455
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,254 915,254 915,254 915,254 915,254 915
发动机,排量(mL),1496,1496,1496,1496,1496
发动机,排量(L),1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,纵置,纵置,纵置,纵置,纵置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),170,204,204,204,204
发动机,最大功率(kW),125,150,150,150,150
发动机,最大功率转速(rpm),5800,6100,6100,6100,6100
发动机,最大扭矩(N·m),250,300,300,300,300
发动机,最大扭矩转速(rpm),1800-4000,1800-4000,1800-4000,1800-4000,1800-4000
发动机,最大净功率(kW),125,150,150,150,150
发动机,能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
发动机,燃油标号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
变速箱,简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
变速箱,挡位个数,9,9,9,9,9
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱,● 前置四驱,● 前置后驱
底盘转向,四驱形式,-,-,-,● 全时四驱,-
底盘转向,中央差速器结构,-,-,-,● 多片离合器,-
底盘转向,前悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 225/45 R18,● 225/45 R18
车轮制动,后轮胎规格,● 255/40 R18,● 255/40 R18,● 255/40 R18,● 255/40 R18,● 255/40 R18
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,前 / 后,前 / 后,前 / 后,前 / 后,前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,●,●,●,●,●
被动安全,被动行人保护,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●
主动安全,内置行车记录仪,-,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,发动机启停技术,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶操控,可变转向比,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,○ L2,○ L2,○ L2,○ L2
驾驶功能,卫星导航系统,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,AR实景导航,-,○,○,○,○
驾驶功能,并线辅助,-,○,○,○,●
驾驶功能,车道保持辅助系统,●,●,●,●,●
驾驶功能,车道居中保持,-,○,○,○,○
驾驶功能,道路交通标识识别,-,○,○,○,○
驾驶功能,辅助泊车入位,●,●,●,●,●
驾驶功能,辅助变道,-,○,○,○,○
外观/防盗,外观套件,● 运动风格,-,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,○ (2600元),○ (2600元),○ (2600元),○ (2600元)
外观/防盗,感应后备厢,-,○,○,○,○
外观/防盗,发动机电子防盗,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,○ 全车 (7500元),○ 全车 (7500元),○ 全车 (7500元),○ 全车 (7500元)
外观/防盗,远程启动功能,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,○ 像素式 (1.60万元),○ 像素式 (1.60万元),○ 像素式 (1.60万元),○ 像素式 (1.60万元)
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●
车外灯光,转向头灯,-,○,○,○,○
车外灯光,车前雾灯,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 11.9英寸,● 11.9英寸,● 11.9英寸,● 11.9英寸,● 11.9英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持Android Auto,● 支持CarPlay 支持Android Auto,● 支持CarPlay 支持Android Auto,● 支持CarPlay 支持Android Auto,● 支持CarPlay 支持Android Auto
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰,● 你好，奔驰
屏幕/系统,语音免唤醒词,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●
屏幕/系统,应用商店,●,●,●,●,●
屏幕/系统,车载智能系统,● MBUX,● MBUX,● MBUX,● MBUX,● MBUX
屏幕/系统,车机智能芯片,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295
智能化配置,车联网,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车况查询/诊断 车辆定位/寻车,● 车门控制 车辆启动 车况查询/诊断 车辆定位/寻车
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,○ (9000元),○ (9000元),○ (9000元),○ (9000元)
方向盘/内后视镜,内后视镜功能,● 手动防眩目,手动防眩目 自动防眩目,手动防眩目 自动防眩目,手动防眩目 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (3000元),○ (3000元),○ (3000元),○ (3000元),○ (3000元)
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,● 前排
座椅配置,座椅材质,● 仿皮,真皮 (1.10万元) 仿皮,真皮 (1.10万元) 仿皮,真皮 (1.10万元) 仿皮,真皮 (1.10万元) 仿皮
座椅配置,运动风格座椅,●,-,●,●,●
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腿托调节 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,○ 加热 (3000元),○ 加热 (3000元) 通风 (9800元),○ 加热 (3000元) 通风 (9800元),○ 加热 (3000元) 通风 (9800元),○ 加热 (3000元) 通风 (9800元)
座椅配置,电动座椅记忆功能,-,○ 驾驶位 (3000元),○ 驾驶位 (3000元),○ 驾驶位 (3000元),○ 驾驶位 (3000元)
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●
座椅配置,第二排座椅调节,-,-,-,-,-
座椅配置,第二排座椅功能,○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3000元),○ 加热 (3000元)
座椅配置,后排座椅放倒形式,-,-,-,-,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Burmester柏林之声 (7980元),○ Burmester柏林之声 (7980元),○ Burmester柏林之声 (7980元),○ Burmester柏林之声 (7980元),● Burmester柏林之声
音响/车内灯光,扬声器数量,5喇叭 15喇叭,5喇叭 15喇叭,5喇叭 15喇叭,5喇叭 15喇叭,● 15喇叭
音响/车内灯光,车内环境氛围灯,● 64色,● 64色,● 64色,● 64色,● 64色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,○ (6100元)
空调/冰箱,后座出风口,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●
空调/冰箱,负离子发生器,-,○,○,○,○
空调/冰箱,车内香氛装置,-,○,○,○,○
颜色,外观颜色,曜岩黑 北极白 松石绿色 石墨灰 时空银 熔岩红 ￥6200 海夜蓝 绿砾石银,曜岩黑 北极白 松石绿色 石墨灰 时空银 熔岩红 ￥6200 海夜蓝 绿砾石银,曜岩黑 北极白 松石绿色 石墨灰 时空银 熔岩红 ￥6200 海夜蓝 绿砾石银,曜岩黑 北极白 松石绿色 石墨灰 时空银 熔岩红 ￥6200 海夜蓝 绿砾石银,曜岩黑 北极白 松石绿色 石墨灰 时空银 熔岩红 ￥6200 海夜蓝 绿砾石银
颜色,内饰颜色,黑色 黑色/玛奇朵米色 黑色/烈焰红色 黑色/赭石棕色 黑色/钛金灰色,黑色 黑色/玛奇朵米色 黑色/赭石棕色 黑色/钛金灰色,黑色 黑色/玛奇朵米色 黑色/烈焰红色 ￥11000 黑色/赭石棕色 黑色/钛金灰色,黑色 黑色/玛奇朵米色 黑色/烈焰红色 黑色/赭石棕色 黑色/钛金灰色,黑色 黑色/玛奇朵米色 黑色/烈焰红色 ￥11000 黑色/赭石棕色 黑色/钛金灰色
选装包,智乐套装,○ 包含：Burmester 3D 环绕立体声音响系统、个性化音效设置 选配 (7980元),○ 包含：Burmester 3D 环绕立体声音响系统、个性化音效设置 选配 (7980元),○ 包含：Burmester 3D 环绕立体声音响系统、个性化音效设置 选配 (7980元),○ 包含：Burmester 3D 环绕立体声音响系统、个性化音效设置 选配 (7980元),-
选装包,智能领航辅助Max,-,○ 包含：车道级导航：限制: 服务有效期: 3 年、后视镜组件、导航辅助驾驶：服务有效期: 3 年、智能领航辅助Pro 选配 (21300元),○ 包含：车道级导航：限制: 服务有效期: 3 年、后视镜组件、导航辅助驾驶：服务有效期: 3 年、智能领航辅助Pro 选配 (21300元),○ 包含：车道级导航：限制: 服务有效期: 3 年、后视镜组件、导航辅助驾驶：服务有效期: 3 年、智能领航辅助Pro 选配 (21300元),○ 包含：车道级导航：限制: 服务有效期: 3 年、后视镜组件、导航辅助驾驶：服务有效期: 3 年、智能领航辅助Pro 选配 (20200元)
