セクション,項目,熊猫 2025款 熊猫mini 210km 元气熊,熊猫 2025款 210km 熊猫卡丁,熊猫 2025款 210km 熊猫卡丁猪猪侠限定版,熊猫 2025款 210km 熊猫骑士,熊猫 2024款 熊猫mini 200km 耐力熊,熊猫 2023款 熊猫mini 120km 亚运熊,熊猫 2023款 熊猫mini 120km 超萌熊,熊猫 2023款 熊猫mini 200km 灵动熊
电动机,三电首任车主质保政策,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,-,-
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,-,-,● 国轩高科
电池/充电,CLTC纯电续航里程(km),210,210,210,210,200,120,120,200
电池/充电,电池能量(kWh),17.03,17.03,17.03,17.03,17.03,9.61,9.61,17.03
电池/充电,电池能量密度(Wh/kg),125.78,125.78,125.78,125.78,125.78,-,-,125.78
电池/充电,百公里耗电量(kWh/100km),9.1,9.1,9.1,9.1,9.4,-,-,9.8
电池/充电,快充功能,支持,支持,支持,支持,支持,不支持,不支持,支持
电池/充电,快充功率(kW),22,22,22,22,22,-,-,22
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,-,-,0.5
电池/充电,电池慢充时间(小时),4.5,4.5,4.5,4.5,4.5,5,5,-
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,-,-,30-80
电池/充电,电池慢充电量范围(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,-
电池/充电,慢充接口位置,车正前,车正前,车正前,车正前,车正前,车正前,车正前,车正前
电池/充电,快充接口位置,车正前,车正前,车正前,车正前,车正前,-,-,车正前
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹
车轮制动,前轮胎规格,● 155/70 R13,● 155/65 R14,● 155/65 R14,● 155/65 R14,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/65 R14
车轮制动,后轮胎规格,● 155/70 R13,● 155/65 R14,● 155/65 R14,● 155/65 R14,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 155/65 R14
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副-,主 ● / 副-,主 ● / 副-,主 ● / 副-
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),○,-,●,-,-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),○,-,●,-,-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),○,-,●,-,-,-,-,-
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,-,-,●,-,-,-,-,-
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,-,-,-,-,-,-,-,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,○,-,●,-,-,-,-,-
驾驶硬件,前/后驻车雷达,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●,前- / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,○ 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 2个,● 2个,● 2个,● 2个,● 2个,○ 2个,● 2个,● 2个
驾驶功能,巡航系统,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-
外观/防盗,外观套件,-,● 运动风格,● 运动风格,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 钢,● 铝合金,● 钢,● 钢,● 钢,● 钢
外观/防盗,车顶行李架,-,-,-,●,-,-,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
○ 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,○,●,●
外观/防盗,无钥匙进入功能,-,-,-,-,●,○,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,LED日间行车灯,-,-,-,-,●,●,-,-
车外灯光,自适应远近光,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,-,-,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,-,-,-,-,-,-,-,-
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,○ 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 8英寸,● 8英寸,● 8英寸,● 8英寸,● 8英寸,○ 8英寸,● 8英寸,● 8英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,○ LCD,-,● LCD
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射,○ 原厂互联/映射,● 原厂互联/映射,● 原厂互联/映射
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话","○ 多媒体系统
○ 导航
○ 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话"
屏幕/系统,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,○ 单区域,● 单区域,● 单区域
智能化配置,车联网,-,-,-,-,-,-,-,-
智能化配置,OTA升级,-,-,-,-,-,-,-,-
智能化配置,手机APP远程功能,"● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","○ 车门控制
○ 空调控制
○ 车况查询/诊断
○ 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料
方向盘/内后视镜,方向盘位置调节,-,-,-,-,-,-,-,-
方向盘/内后视镜,换挡形式,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,-,-,-,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,● 9.2英寸,● 9.2英寸,● 9.2英寸,● 9.2英寸,● 9.2英寸,● 9.2英寸,● 9.2英寸,● 9.2英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个
车内充电,USB/Type-C最大充电功率,● 10W,● 10W,● 10W,● 10W,● 10W,-,-,● 10W
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 皮/织物混搭,● 皮/织物混搭,● 皮/织物混搭,● 织物,● 织物,● 织物,● 织物
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,-,-,-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,-,-,-,-,-,-,-,-
座椅配置,后排杯架,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,○ 手动空调,● 手动空调,● 手动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–
选装包,舒适科技包,-,-,-,-,-,○ 选配 (3000元),-,-
选装包,安心驾控包,○ 选配 (1000元),-,-,-,-,-,-,-
选装包,来电科技包,-,-,-,-,-,-,-,○ 选配 (1500元)
选装包,悬浮双色车身,-,-,-,-,-,-,-,○ 选配 (2000元)
