セクション,セクション_ja,項目,項目_ja,2025年モデル eDrive25L Xデザインパッケージ,2025年モデル eDrive25L Mスポーツパッケージ,2025年モデル xDrive30L Xデザインパッケージ,2025年モデル xDrive30L Mスポーツ曜夜パッケージ,2023年モデル eDrive25L Xデザインパッケージ,2023年モデル eDrive25L Mスポーツパッケージ,2023年モデル xDrive30L Xデザインパッケージ,2023年モデル xDrive30L Mスポーツパッケージ
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),250,250,494,494,250,250,494,494
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),150,150,150,150,150,150,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),250,250,-,-,250,250,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,150,150,-,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,デュアルモーター,デュアルモーター,単モーター,単モーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置,前置,前後置,前後置,前置,前置,前後置,前後置
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● EVEエナジー,● EVEエナジー,● EVEエナジー,● EVEエナジー,● EVEエナジー,● EVEエナジー,● EVEエナジー,● EVEエナジー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),510,510,450,450,510,510,450,450
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),66.45,66.45,66.45,66.45,66.45,66.45,66.45,66.45
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),14.2,14.2,16.3,16.3,14.2,14.2,16.3,16.3
电池/充电,バッテリー/充電,电池组质保,バッテリー保証期間,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),10.5,10.5,10.5,10.5,10.5,10.5,7,7
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電量範囲(%),0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両左前側,車両左前側,車両左前側,車両左前側,車両左前側,車両左前側,車両左前側,車両左前側
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両右後側,車両右後側,車両右後側,車両右後側,車両右後側,車両右後側,車両右後側,車両右後側
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 前置前輪駆動,● 前置前輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 電動四輪駆動,● 電動四輪駆動,-,-,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/55 R18,● 225/55 R18,"● 245/45 R19
○ 245/40 R20（8000元）","● 245/45 R19
○ 245/40 R20（8000元）",● 225/55 R18,● 225/55 R18,● 245/45 R19,● 245/45 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/55 R18,● 225/55 R18,"● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20",● 225/55 R18,● 225/55 R18,● 245/45 R19,● 245/45 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●,●,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,○,○,○,○
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,○,○,○,○
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,○,○,○,○,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● カスタム/パーソナライズ","● スポーツ
● エコ
● カスタム/パーソナライズ","● スポーツ
● エコ
● カスタム/パーソナライズ","● スポーツ
● エコ
● カスタム/パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● リアビューカメラ
○ 360度パノラマカメラ","● リアビューカメラ
○ 360度パノラマカメラ","● リアビューカメラ
○ 360度パノラマカメラ","● リアビューカメラ
○ 360度パノラマカメラ","● リアビューカメラ
○ 360度パノラマカメラ","● リアビューカメラ
○ 360度パノラマカメラ","● リアビューカメラ
○ 360度パノラマカメラ","● リアビューカメラ
○ 360度パノラマカメラ"
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,"● 単眼
○ 双眼","● 単眼
○ 双眼","● 単眼
○ 双眼","● 単眼
○ 双眼",-,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,"● 2個
○ 6個","● 2個
○ 6個","● 2個
○ 6個","● 2個
○ 6個",-,-,-,-
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,○ 1個（2000元）,○ 1個（2000元）,○ 1個（2000元）,○ 1個（2000元）,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,"● クルーズコントロール
○ アダプティブクルーズコントロール","● クルーズコントロール
○ アダプティブクルーズコントロール","● クルーズコントロール
○ アダプティブクルーズコントロール","● クルーズコントロール
○ アダプティブクルーズコントロール","● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール","● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール","● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール","● クルーズコントロール
○ 全速度域アダプティブクルーズコントロール"
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2,○ レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,○,○,○,○,○,○,○,○
驾驶功能,運転機能,道路交通标识识别,交通標識認識,○,○,○,○,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,●,●,●,●,●,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバック機能,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,○,○,○,○,○,○,○,○
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,● オフロードスタイル,● スポーツスタイル,● オフロードスタイル,● スポーツスタイル,-,● スポーツスタイル,-,● スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,○,○,●,●,-,-,-,-
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
○ NFC/RFIDキー
○ UWBデジタルキー","● リモコンキー
○ NFC/RFIDキー
○ UWBデジタルキー","● リモコンキー
● NFC/RFIDキー
● UWBデジタルキー","● リモコンキー
● NFC/RFIDキー
● UWBデジタルキー","● リモコンキー
○ UWBデジタルキー (2500元)","● リモコンキー
○ UWBデジタルキー (2500元)","● リモコンキー
● UWBデジタルキー","● リモコンキー
● UWBデジタルキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,○ 前席,○ 前席,● 前席,● 前席,○ 前席,○ 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,-,-,-,-
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリープリヒート機能,●,●,●,●,-,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,-,-,-,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能 (3000元)","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能 (3000元)","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能 (3000元)","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
○ 自動防眩機能 (3000元)"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 10.7インチ,● 10.7インチ,● 10.7インチ,● 10.7インチ,● 10.7インチ,● 10.7インチ,● 10.7インチ,● 10.7インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話","● マルチメディアシステム
● ナビ
● 電話","● マルチメディアシステム
● ナビ
● 電話","● マルチメディアシステム
● ナビ
● 電話"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,● こんにちは、BMW,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,-,-,-,-
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,-,-,-,-
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,○,○,○,○,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive,● iDrive
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,"● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)","● 4G
○ 5G (2500元)"
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●
