セクション,項目,红旗H5 2025款 1.5T DCT旗悦版,红旗H5 2025款 1.5T DCT旗韵版,红旗H5 2025款 2.0T 自动旗享版,红旗H5 2025款 2.0T 自动旗畅版,红旗H5 2025款 2.0T 自动旗领版,红旗H5 2025款 1.5T DCT玄影200万辆纪念版,红旗H5 2025款 2.0T 自动玄影200万辆纪念版
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/50 R18,● 225/50 R18,● 245/45 R18,● 245/45 R18
车轮制动,后轮胎规格,● 225/55 R17,● 225/55 R17,● 225/55 R17,● 225/50 R18,● 225/50 R18,● 245/45 R18,● 245/45 R18
车轮制动,备胎规格,● 无,● 无,● 无,● 无,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后
被动安全,前/后排头部气囊(气帘),-,-,● 前 / 后,● 前 / 后,● 前 / 后,-,● 前 / 后
被动安全,膝部气囊,-,-,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,-,● 主驾膝部气囊
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 全车,● 全车,● 全车,● 前排,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,●,●,-,●
主动安全,主动刹车/主动安全系统,-,-,-,●,●,-,●
主动安全,疲劳驾驶提示,-,-,-,●,●,-,●
主动安全,DOW开门预警,-,-,●,●,●,-,●
主动安全,前方碰撞预警,-,-,-,●,●,-,●
主动安全,后方碰撞预警,-,-,●,●,●,-,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,-,-,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,● 运动 经济 标准/舒适 自定义/个性化,-,● 运动 经济 标准/舒适 自定义/个性化
驾驶操控,发动机启停技术,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,-,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,●,-,●,●,●,●
驾驶硬件,前方感知摄像头,-,-,-,● 单目,● 单目,-,● 单目
驾驶硬件,摄像头数量,-,● 4个,● 1个,● 5个,● 5个,● 4个,● 5个
驾驶硬件,超声波雷达数量,● 4个,● 8个,● 8个,● 8个,8个 12个,● 8个,● 8个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,-,-,-,● L2,● L2,-,● L2
驾驶功能,倒车车侧预警系统,-,-,●,●,●,-,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,●,●,●,-,●
驾驶功能,车道保持辅助系统,-,-,-,●,●,-,●
驾驶功能,车道居中保持,-,-,-,●,●,-,●
驾驶功能,道路交通标识识别,-,-,-,●,●,-,●
驾驶功能,辅助泊车入位,-,-,-,-,○ (2500元),-,-
外观/防盗,外观套件,-,-,-,-,-,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,●,●,-,●
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,● LED,● LED,-,● LED
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,-,-,-,-,●,-,-
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.6英寸,● 12.6英寸,● 12.6英寸,● 12.6英寸,● 12.6英寸,● 12.6英寸,● 12.6英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,-,-,-,-,-,-,-
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 嗨，红旗,● 嗨，红旗,● 嗨，红旗,● 嗨，红旗,● 嗨，红旗,● 嗨，红旗,● 嗨，红旗
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●
智能化配置,车联网,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 5G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 真皮,● 真皮,● 真皮,● 皮质,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,●,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,●,●,●,-,●
方向盘/内后视镜,液晶仪表尺寸,● 7英寸,● 7英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 7英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,●,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,-,-,● 前排,● 前排,-,● 前排
车内充电,手机无线充电功率,-,-,-,● 40W,● 40W,-,● 40W
座椅配置,座椅材质,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,加热 通风 (1100元),加热 通风 (1100元),● 加热 通风,● 加热 通风 按摩(仅驾驶位),加热 通风 (1100元),● 加热 通风
座椅配置,电动座椅记忆功能,-,-,-,● 驾驶位,● 驾驶位,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-
座椅配置,第二排座椅功能,-,-,-,-,● 加热,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,-,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,● Dynaudio丹拿,● Dynaudio丹拿,● Dynaudio丹拿,-,● Dynaudio丹拿
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 6喇叭,● 8喇叭
音响/车内灯光,车内环境氛围灯,● 253色,● 253色,● 253色,● 253色,● 253色,● 253色,● 253色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,●,●,●,-,●
空调/冰箱,车内PM2.5过滤装置,-,-,●,●,●,-,●
空调/冰箱,负离子发生器,-,-,-,●,●,-,●
空调/冰箱,车内香氛装置,-,-,-,-,●,-,-
颜色,外观颜色,魅夜黑 高山莹白 量子银灰,魅夜黑 高山莹白 量子银灰,魅夜黑 高山莹白 量子银灰,魅夜黑 高山莹白 量子银灰,魅夜黑 高山莹白 量子银灰,魅夜黑,魅夜黑
颜色,内饰颜色,石墨黑,石墨黑 石墨黑/石榴红,石墨黑 石墨黑/石榴红,石墨黑 石墨黑/石榴红,石墨黑 石墨黑/石榴红,石墨黑 石墨黑/石榴红,石墨黑 石墨黑/石榴红
