セクション,項目,驱逐舰05 2025款 DM-i 55KM 畅行版,驱逐舰05 2025款 DM-i 120KM 畅行版,驱逐舰05 2024款 荣耀版 DM-i 55KM 豪华型,驱逐舰05 2024款 荣耀版 DM-i 55KM 尊贵型,驱逐舰05 2024款 荣耀版 DM-i 120KM 豪华型,驱逐舰05 2024款 荣耀版 DM-i 120KM 尊贵型,驱逐舰05 2024款 荣耀版 DM-i 120KM 尊荣型,驱逐舰05 2024款 荣耀版 DM-i 120KM 旗舰型,驱逐舰05 2024款 DM-i 55KM 领航荣耀版,驱逐舰05 2024款 DM-i 120KM 领航荣耀版
基本参数,WLTC综合油耗(L/100km),-,-,2.17,2.17,1.58,1.58,1.58,1.58,-,-
基本参数,最低荷电状态油耗(L/100km),-,-,4.6,4.6,4.6,4.6,4.6,4.6,-,-
基本参数,最低荷电状态油耗(L/100km)NEDC,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
基本参数,电能当量燃料消耗量(L/100km),-,-,1.29,1.29,1.64,1.64,1.64,1.64,-,-
基本参数,整车质保,● 一年或10万公里,● 一年或10万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,-,-
基本参数,整备质量(kg),1515,1620,1515,1515,1620,1620,1620,1620,1515,1620
基本参数,最大满载质量(kg),1890,1995,1890,1890,1995,1995,1995,1995,1890,1995
车身,长度(mm),4780,4780,4780,4780,4780,4780,4780,4780,4780,4780
车身,宽度(mm),1837,1837,1837,1837,1837,1837,1837,1837,1837,1837
车身,高度(mm),1495,1495,1495,1495,1495,1495,1495,1495,1495,1495
车身,轴距(mm),2718,2718,2718,2718,2718,2718,2718,2718,2718,2718
车身,前轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
车身,后轮距(mm),1590,1590,1590,1590,1590,1590,1590,1590,1590,1590
车身,接近角(°),13,13,13,13,13,13,13,13,13,13
车身,离去角(°),14,14,14,14,14,14,14,14,14,14
车身,最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),48,48,48,48,48,48,48,48,48,48
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,BYD472QA,BYD472QA,BYD472QA,BYD472QA,BYD472QA,BYD472QA,BYD472QA,BYD472QA,BYD472QA,BYD472QA
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4
发动机,压缩比,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),110,110,110,110,110,110,110,110,110,110
发动机,最大功率(kW),81,81,81,81,81,81,81,81,81,81
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
发动机,最大扭矩(N·m),135,135,135,135,135,135,135,135,135,135
发动机,最大扭矩转速(rpm),4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
发动机,最大净功率(kW),78,78,78,78,78,78,78,78,78,78
发动机,发动机特有技术,VVT,VVT,VVT,VVT,VVT,VVT,VVT,VVT,VVT,VVT
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ220XYF,TZ220XYF,TZ220XYF,TZ220XYF,TZ220XYF,TZ220XYF,TZ220XYF,TZ220XYF,TZ220XYF,TZ220XYF
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),132,145,132,132,145,145,145,145,132,145
电动机,电动机总马力(Ps),180,197,180,180,197,197,197,197,180,197
电动机,电动机总扭矩(N·m),316,325,316,316,325,325,325,325,316,325
电动机,前电动机最大功率(kW),132,145,132,132,145,145,145,145,132,145
电动机,前电动机最大扭矩(N·m),316,325,316,316,325,325,325,325,316,325
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,NEDC纯电续航里程(km),55,120,55,55,120,120,120,120,55,120
电池/充电,WLTC纯电续航里程(km),46,101,46,46,101,101,101,101,46,101
电池/充电,电池能量(kWh),8.3,18.3,8.3,8.3,18.3,18.3,18.3,18.3,8.3,18.3
电池/充电,百公里耗电量(kWh/100km),11.4,14.5,11.4,11.4,14.5,14.5,14.5,14.5,11.4,14.5
电池/充电,电池组质保,● 六年或60万公里,● 六年或60万公里,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-,-
电池/充电,快充功能,不支持,支持,不支持,不支持,支持,支持,支持,支持,不支持,支持
电池/充电,快充功率(kW),-,17,-,-,17,17,17,17,-,17
电池/充电,电池快充时间(小时),-,1.1,-,-,1.1,1.1,1.1,1.1,-,1.1
电池/充电,电池慢充时间(小时),2.5,5.5,2.5,2.5,5.5,5.5,5.5,5.5,2.5,5.5
电池/充电,电池快充电量范围(%),-,80,-,-,80,80,80,80,-,80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,-,车右后侧,-,-,车右后侧,车右后侧,车右后侧,车右后侧,-,车右后侧
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/60 R16,● 215/55 R17,● 225/60 R16,● 225/60 R16,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 225/60 R16,● 215/55 R17
车轮制动,后轮胎规格,● 225/60 R16,● 215/55 R17,● 225/60 R16,● 225/60 R16,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 215/55 R17,● 225/60 R16,● 215/55 R17
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,●,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,●,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,-,-,-,-,-,-,-,●,-,-
主动安全,后方碰撞预警,-,-,-,-,-,-,-,●,-,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,-,-,-,-,-,●,-,-
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地,● 运动 经济 标准/舒适 雪地
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,● 前- / 后,● 前- / 后,● 前- / 后,● 前- / 后,● 前- / 后,● 前- / 后,● 前 / 后,● 前 / 后,● 前- / 后,● 前- / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,-,-,-,-,-,-,-,● 单目,-,-
驾驶硬件,摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 4个,● 6个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 4个,● 4个,● 4个,● 4个,● 4个,● 4个,● 6个,● 6个,● 4个,● 4个
驾驶硬件,毫米波雷达数量,-,-,-,-,-,-,-,● 1个,-,-
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航
驾驶功能,辅助驾驶系统,-,-,-,-,-,-,-,● DiPilot,-,-
驾驶功能,辅助驾驶等级,-,-,-,-,-,-,-,● L2,-,-
驾驶功能,倒车车侧预警系统,-,-,-,-,-,-,-,●,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,-,-,-,-,●,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,●,-,-
驾驶功能,车道居中保持,-,-,-,-,-,-,-,●,-,-
驾驶功能,道路交通标识识别,-,-,-,-,-,-,-,●,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-
驾驶功能,遥控泊车,-,-,-,●,-,●,●,●,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙,● 遥控钥匙 蓝牙钥匙 NFC/RFID钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,-,●,-,-,●,●,●,●,-,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,●,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,● 电动天窗,-,-,● 电动天窗,● 电动天窗,-,-
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 驾驶位,● 驾驶位,● 驾驶位,● 全车,● 驾驶位,● 全车,● 全车,● 全车,● 驾驶位,● 驾驶位
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 副驾驶,● 副驾驶,● 副驾驶,● 主驾位 副驾驶,● 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 副驾驶,● 副驾驶
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 后视镜加热,● 电动调节 后视镜加热
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,旋转大屏,●,●,●,●,●,●,●,●,●,●
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,-,-,-,-,-,-,-,-,-,-
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调 天窗,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
屏幕/系统,车机系统内存(GB),● 6,● 6,● 6,● 6,● 6,● 6,● 6,● 6,● 6,● 6
屏幕/系统,车机系统存储(GB),● 64,● 64,● 64,● 64,● 64,● 64,● 64,● 64,● 64,● 64
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车辆启动 充电管理 空调控制 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车辆启动 充电管理 空调控制 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车辆启动 充电管理 空调控制 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车辆启动 充电管理 空调控制 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车辆启动 充电管理 空调控制 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车辆启动 充电管理 空调控制 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车辆启动 充电管理 空调控制 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车辆启动 充电管理 空调控制 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车辆启动 充电管理 空调控制 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车辆启动 充电管理 空调控制 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）
智能化配置,车载KTV,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,●,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-,● 8.8英寸,-,-
方向盘/内后视镜,仪表盘屏幕材质,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
