セクション,項目,威兰达 2024款 2.0L CVT两驱领先版,威兰达 2024款 2.0L CVT两驱都市版,威兰达 2024款 2.0L CVT两驱豪华PLUS版,威兰达 2024款 2.0L CVT四驱豪华PLUS版,威兰达 2024款 2.0L CVT两驱尊贵版,威兰达 2024款 2.0L CVT四驱尊贵版,威兰达 2024款 双擎 2.5L E-CVT两驱都市版,威兰达 2024款 双擎 2.5L E-CVT两驱豪华PLUS版,威兰达 2024款 双擎 2.5L E-CVT四驱豪华PLUS版,威兰达 2024款 双擎 2.5L E-CVT两驱尊贵版,威兰达 2024款 双擎 2.5L E-CVT四驱尊贵版,威兰达 2025款 双擎 2.0L 基本型
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.5L 178马力 L4,2.5L 178马力 L4,2.5L 178马力 L4,2.5L 178马力 L4,2.5L 178马力 L4,2.0L 152马力 L4
基本参数,电动机(Ps),-,-,-,-,-,-,120,120,174,120,174,-
基本参数,长*宽*高(mm),4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4600*1855*1680
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),6.39,6.39,6.39,6.85,6.43,6.81,5.1,5.1,5.23,5.1,5.23,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,-
基本参数,整备质量(kg),1545,1560,1590,1640,1615,1695,1645,1675,1740,1690,1760,1655
基本参数,最大满载质量(kg),2115,2115,2115,2195,2115,2195,2195,2195,2230,2195,2230,2165
车身,长度(mm),4665,4665,4665,4665,4665,4665,4665,4665,4665,4665,4665,4600
车身,宽度(mm),1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855
车身,高度(mm),1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
车身,轴距(mm),2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690
车身,前轮距(mm),1605,1605,1605,1605,1595,1595,1605,1605,1605,1605,1605,1600
车身,后轮距(mm),1620,1620,1620,1620,1610,1610,1620,1620,1620,1620,1620,1620
车身,接近角(°),-,-,-,-,-,-,-,-,-,-,-,18
车身,离去角(°),-,-,-,-,-,-,-,-,-,-,-,21
车身,最小转弯半径(m),5.5,5.5,5.5,5.5,5.7,5.7,5.5,5.5,5.5,5.5,5.5,-
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),55,55,55,55,55,55,55,55,55,55,55,-
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,M20C,M20C,M20C,M20C,M20C,M20C,A25D,A25D,A25D,A25D,A25D,M20F
发动机,排量(mL),1987,1987,1987,1987,1987,1987,2487,2487,2487,2487,2487,1987
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.0
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,13,13,13,13,13,13,14,14,14,14,14,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),80.5,80.5,80.5,80.5,80.5,80.5,87.5,87.5,87.5,87.5,87.5,-
发动机,行程(mm),97.6,97.6,97.6,97.6,97.6,97.6,103.4,103.4,103.4,103.4,103.4,-
发动机,最大马力(Ps),171,171,171,171,171,171,178,178,178,178,178,152
发动机,最大功率(kW),126,126,126,126,126,126,131,131,131,131,131,112
发动机,最大功率转速(rpm),6600,6600,6600,6600,6600,6600,5700,5700,5700,5700,5700,-
发动机,最大扭矩(N·m),206,206,206,206,206,206,221,221,221,221,221,-
发动机,最大扭矩转速(rpm),4600-5000,4600-5000,4600-5000,4600-5000,4600-5000,4600-5000,3600-5200,3600-5200,3600-5200,3600-5200,3600-5200,-
发动机,最大净功率(kW),126,126,126,126,126,126,131,131,131,131,131,112
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),-,-,-,-,-,-,88,88,128,88,128,-
电动机,电动机总马力(Ps),-,-,-,-,-,-,120,120,174,120,174,-
电动机,电动机总扭矩(N·m),-,-,-,-,-,-,202,202,323,202,323,-
电动机,前电动机最大功率(kW),-,-,-,-,-,-,88,88,88,88,88,-
电动机,前电动机最大扭矩(N·m),-,-,-,-,-,-,202,202,202,202,202,-
电动机,后电动机最大功率(kW),-,-,-,-,-,-,-,-,40,-,40,-
电动机,后电动机最大扭矩(N·m),-,-,-,-,-,-,121,121,121,121,121,-
电动机,系统综合功率(kW),-,-,-,-,-,-,160,160,163,160,163,-
电动机,系统综合功率(Ps),-,-,-,-,-,-,218,218,222,218,222,-
电动机,驱动电机数,-,-,-,-,-,-,单电机,单电机,双电机,单电机,双电机,单电机
电动机,电机布局,-,-,-,-,-,-,前置,前置,前置+后置,前置,前置+后置,前置
电池/充电,电池类型,-,-,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,-,-,-,-,-,-,-,-,-,-,-,● 大连泰星
电池/充电,电池组质保,-,-,-,-,-,-,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-
变速箱,简称,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,10,10,10,10,10,10,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置前驱,● 前置四驱,● 前置前驱,● 前置四驱,● 前置前驱
底盘转向,四驱形式,-,-,-,● 适时四驱,-,● 适时四驱,-,-,● 电动四驱,-,● 电动四驱,-
底盘转向,中央差速器结构,-,-,-,● 多片离合器,-,● 多片离合器,-,-,-,-,-,-
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 235/55 R19,● 235/55 R19,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 235/60 R18
车轮制动,后轮胎规格,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 235/55 R19,● 235/55 R19,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 235/60 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,-
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,低速行车警告,-,-,-,-,-,-,●,●,●,●,●,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,驾驶模式切换,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适 越野 雪地,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适 越野 雪地,-
驾驶操控,发动机启停技术,●,●,●,●,●,●,-,-,-,-,-,-
驾驶操控,能量回收系统,-,-,-,-,-,-,●,●,●,●,●,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,陡坡缓降,-,-,-,-,-,●,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-
驾驶硬件,驾驶辅助影像,-,-,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-
驾驶硬件,摄像头数量,● 1个,● 1个,● 5个,● 5个,● 5个,● 5个,● 1个,● 5个,● 5个,● 5个,● 5个,-
驾驶硬件,超声波雷达数量,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-
驾驶功能,辅助驾驶系统,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense,-
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,-
驾驶功能,倒车车侧预警系统,-,-,-,-,●,●,-,-,-,●,●,-
驾驶功能,卫星导航系统,-,-,-,-,●,●,-,-,-,●,●,-
驾驶功能,导航路况信息显示,-,-,-,-,●,●,-,-,-,●,●,-
驾驶功能,并线辅助,-,-,-,-,●,●,-,-,-,●,●,-
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,-
外观/防盗,电动后备厢,-,-,-,-,●,●,-,-,-,●,●,-
外观/防盗,感应后备厢,-,-,-,-,●,●,-,-,-,●,●,-
外观/防盗,电动后备厢位置记忆,-,-,-,-,●,●,-,-,-,●,●,-
外观/防盗,车顶行李架,-,-,●,●,●,●,-,●,●,●,●,-
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,-
外观/防盗,无钥匙启动系统,-,●,●,●,●,●,●,●,●,●,●,-
外观/防盗,无钥匙进入功能,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-
外观/防盗,主动闭合式进气格栅,-,-,-,-,-,-,●,●,●,●,●,-
外观/防盗,远程启动功能,-,●,●,●,●,●,●,●,●,●,●,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,车前雾灯,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,-
车外灯光,大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,-,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 电动天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,-
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,-
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,-
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●,●,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,-
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-
屏幕/系统,中控屏幕尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,-
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 支持HUAWEI HiCar,-
屏幕/系统,语音识别控制系统,-,-,-,-,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,-,-,-,● 多媒体系统 导航 电话 空调 天窗 车窗,● 多媒体系统 导航 电话 空调 天窗 车窗,-
屏幕/系统,语音助手唤醒词,-,-,-,-,● 你好，小悦,● 你好，小悦,-,-,-,● 你好，小悦,● 你好，小悦,-
屏幕/系统,语音分区域唤醒识别,-,-,-,-,● 单区域,● 单区域,-,-,-,● 单区域,● 单区域,-
智能化配置,车联网,-,-,-,-,●,●,-,-,-,●,●,-
智能化配置,4G/5G网络,-,-,-,-,● 4G,● 4G,-,-,-,● 4G,● 4G,-
智能化配置,OTA升级,-,-,-,-,●,●,-,-,-,●,●,-
智能化配置,手机APP远程功能,● 车门控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,-
方向盘/内后视镜,方向盘材质,● 塑料,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,-
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,-
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,-
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
