セクション,セクション_ja,項目,項目_ja,2024年モデル 2.0L CVT 2WD 先進版,2024年モデル 2.0L CVT 2WD 都市版,2024年モデル 2.0L CVT 2WD 豪華PLUS版,2024年モデル 2.0L CVT 4WD 豪華PLUS版,2024年モデル 2.0L CVT 2WD 尊貴版,2024年モデル 2.0L CVT 4WD 尊貴版,2024年モデル ハイブリッド 2.5L E CVT 2WD 都市版,2024年モデル ハイブリッド 2.5L E CVT 2WD 豪華PLUS版,2024年モデル ハイブリッド 2.5L E CVT 4WD 豪華PLUS版,2024年モデル ハイブリッド 2.5L E CVT 2WD 尊貴版,2024年モデル ハイブリッド 2.5L E CVT 4WD 尊貴版,2025年モデル ハイブリッド 2.0L ベーシックモデル
电动机,モーター,电机类型,モーター種類,-,-,-,-,-,-,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,-,-,-,-,88,88,128,88,128,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),-,-,-,-,-,-,120,120,174,120,174,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,-,-,-,202,202,323,202,323,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,-,-,88,88,88,88,88,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,-,-,202,202,202,202,202,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,-,-,-,-,-,-,40,-,40,-
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,-,-,-,-,-,121,121,121,121,121,-
电动机,モーター,系统综合功率(kW),システム総合出力(kW),-,-,-,-,-,-,160,160,163,160,163,-
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),-,-,-,-,-,-,218,218,222,218,222,-
电动机,モーター,驱动电机数,駆動モーター数,-,-,-,-,-,-,単モーター,単モーター,デュアルモーター,単モーター,デュアルモーター,単モーター
电动机,モーター,电机布局,モーター配置,-,-,-,-,-,-,前置エンジン,前置エンジン,前後置エンジン,前置エンジン,前後置エンジン,前置エンジン
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,-,-,-,-,-,-,-,-,-,-,● 大連タイシン製
电池/充电,バッテリー/充電,电池组质保,バッテリー保証,-,-,-,-,-,-,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業車（免責条項は公式基準による）,-
变速箱,トランスミッション,简称,略称,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,10,10,10,10,10,10,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,無段変速機（CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置前輪駆動,● 前置4WD,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置前輪駆動,● 前置4WD,● 前置前輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 走行状況連動4WD,-,● 走行状況連動4WD,-,-,● 電動4WD,-,● 電動4WD,-
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,● 多板クラッチ,-,● 多板クラッチ,-,-,-,-,-,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 235/55 R19タイヤ,● 235/55 R19タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 235/60 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 235/55 R19タイヤ,● 235/55 R19タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 235/60 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,● 全車両装備,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,-,-,-,-,-,-,●,●,●,●,●,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコノミー・標準／快適モード,● スポーツ・エコノミー・標準／快適モード,● スポーツ・エコノミー・標準／快適モード,● スポーツ・エコノミー・標準／快適・オフロード・スノーモード,● スポーツ・エコノミー・標準／快適モード,● スポーツ・エコノミー・標準／快適・オフロード・スノーモード,● スポーツ・エコノミー・標準／快適モード,● スポーツ・エコノミー・標準／快適モード,● スポーツ・エコノミー・標準／快適・オフロード・スノーモード,● スポーツ・エコノミー・標準／快適モード,● スポーツ・エコノミー・標準／快適・オフロード・スノーモード,-
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,-,-,-,-,-,-,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,-
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,-,-,-,-,-,●,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,-,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,-,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 1個,● 5個,● 5個,● 5個,● 5個,● 1個,● 5個,● 5個,● 5個,● 5個,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,-
驾驶功能,運転機能,巡航系统,クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,-
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,-,●,●,-,-,-,●,●,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,-,-,●,●,-,-,-,●,●,-
