セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Max,2026年モデル 増程 Max+,2026年モデル 増程 Ultra,2026年モデル 純電 Max,2026年モデル 純電 Max+,2026年モデル 純電 Ultra,2025年モデル 増程 251km Pro,2025年モデル 増程 251km Max,2025年モデル 増程 360km Max,2025年モデル 増程 331km Ultra,2024年モデル 純電 667km Pro,2024年モデル 純電 667km Max,2024年モデル 純電 802km Max,2024年モデル 純電 736km Ultra
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 156馬力,レンジエクステンダー 156馬力,レンジエクステンダー 156馬力,-,-,-,レンジエクステンダー 156馬力,レンジエクステンダー 156馬力,レンジエクステンダー 156馬力,レンジエクステンダー 156馬力,-,-,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),309,309,520,292,292,496,309,309,309,520,292,292,292,496
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4982×1981×1650mm,4982×1981×1650mm,4982×1981×1634mm,4982×1981×1650mm,4982×1981×1650mm,4982×1981×1634mm,4956×1981×1634mm,4956×1981×1634mm,4956×1981×1634mm,4956×1981×1634mm,4956×1981×1634mm,4956×1981×1634mm,4956×1981×1634mm,4956×1981×1634mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.4,7.4,4.9,5.9,5.9,3.9,7.4,7.4,7.4,4.9,5.9,5.9,5.9,3.9
基本参数,基本仕様,官方100-0km/h制动(m),公式100-0km/h制動距離(m),-,-,-,-,-,-,-,-,-,-,-,-,-,34.7
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.46,0.24,0.32,-,-,-,0.46,0.46,0.24,0.32,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.68,5.75,6.15,-,-,-,5.68,5.68,5.75,6.15,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,1.52,1.53,1.67,-,-,-,-,1.52,1.52,1.53,1.67
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.61,2.41,2.68,-,-,-,2.61,2.61,2.41,2.68,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km,● 4年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2298,2308,2388,2148,2180,2320,2298,2298,2308,2388,2148,2148,2180,2320
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2735,2745,2817,2550,2575,2710,2735,2735,2745,2817,2550,2550,2575,2710
车身,車体,长度(mm),全長(mm),4982,4982,4982,4982,4982,4982,4956,4956,4956,4956,4956,4956,4956,4956
车身,車体,宽度(mm),全幅(mm),1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981
车身,車体,高度(mm),全高(mm),1650,1650,1634,1650,1650,1634,1634,1634,1634,1634,1634,1634,1634,1634
车身,車体,轴距(mm),ホイールベース(mm),2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950
车身,車体,前轮距(mm),前トレッド(mm),1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692
车身,車体,后轮距(mm),後トレッド(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
车身,車体,接近角(°),アプローチアングル(°),16,16,15,16,16,16,16,16,16,15,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18
车身,車体,最小转弯半径(m),最小回転半径(m),5.75,5.75,5.75,5.67,5.67,5.67,-,-,-,-,-,-,-,-
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),67,67,67,-,-,-,67,67,67,67,-,-,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,-,52,52,52,-,-,-,-,52,52,52,52
车身,車体,后备厢容积(L),リアトランク容量(L),796-2089,796-2089,796-2089,837-2130,837-2130,837-2130,796-2089,796-2089,796-2089,796-2089,837-2130,837-2130,837-2130,837-2130
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.247,0.247,0.247,0.219,0.219,0.219,0.247,0.247,0.247,0.247,0.219,0.219,0.219,0.219
发动机,エンジン,发动机型号,エンジン型式,SQRH4J15,SQRH4J15,SQRH4J15,-,-,-,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,-,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,-,-,-,1499,1499,1499,1499,-,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,-,-,-,1.5,1.5,1.5,1.5,-,-,-,-
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,-,-,-,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,-,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,-,-,-,L,L,L,L,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,-,-,-,4,4,4,4,-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,-,-,-,4,4,4,4,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC,DOHC,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,-,-,-,156,156,156,156,-,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,-,-,-,115,115,115,115,-,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5200,5200,5200,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),220,220,220,-,-,-,220,220,220,220,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2500,2500,2500,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),105,105,105,-,-,-,105,105,105,105,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,-,-,-,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,-,-,-,直噴,直噴,直噴,直噴,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-,-,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-,-,-
电动机,モーター,前电动机品牌,前モーターブランド,-,-,Huawei DriveONE,-,-,Huawei DriveONE,-,-,-,Huaweiデジタル,-,-,-,Huaweiデジタル
电动机,モーター,后电动机品牌,後モーターブランド,Huawei DriveONE,Huawei DriveONE,Huawei DriveONE,Huawei DriveONE,Huawei DriveONE,Huawei DriveONE,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル,Huaweiデジタル
电动机,モーター,前电动机型号,前モーター型式,-,-,YS210XYA52,-,-,YS210XYA01,-,-,-,YS210XYA52,-,-,-,YS210XYA01
电动机,モーター,后电动机型号,後モーター型式,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4,TZ210XYA02,TZ210XYA02,TZ210XYA02,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4,TZ210XYAP4,TZ210XYA02,TZ210XYA02,TZ210XYA02,TZ210XYA02
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,前誘導/非同期モーター 後永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,前誘導/非同期モーター 後永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,前誘導/非同期モーター 後永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,前誘導/非同期モーター 後永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),227,227,382,215,215,365,227,227,227,382,215,215,215,365
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),309,309,520,292,292,496,309,309,309,520,292,292,292,496
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),320,320,550,396,396,673,320,320,320,-,-,-,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,155,-,-,150,-,-,-,155,-,-,-,150
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,230,-,-,277,-,-,-,-,-,-,-,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),227,227,227,215,215,215,227,227,227,227,215,215,215,215
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),320,320,320,396,396,396,320,320,320,320,-,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,デュアルモーター,単モーター,単モーター,デュアルモーター,単モーター,単モーター,単モーター,デュアルモーター,単モーター,単モーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,後置,前置＋後置,後置,後置,前置＋後置,後置,後置,後置,前置＋後置,後置,後置,後置,前置＋後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系＋リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（四川時代）,● CATL（四川時代）,● CATL（四川時代）,● CALB（中创新航）,● CATL（江蘇時代）,● CATL（江蘇時代）,● CATL（四川時代）,● CATL（四川時代）,● CATL（四川時代）,● CATL（四川時代）,● CALB（中创新航）,● CATL（江蘇時代）,● CATL（江蘇時代）,● CATL（江蘇時代）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),201,284,258,-,-,-,201,201,284,258,-,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),251,360,331,667,802,736,251,251,360,331,667,667,802,736
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1380,1445,1345,-,-,-,1380,1380,1445,1345,-,-,-,-
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1570,1673,1551,-,-,-,1570,1570,1673,1551,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),37,53.4,53.4,82,100,100,37,37,53.4,53.4,82,82,100,100
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力量(kWh/100km),18.5,18.7,20.3,13.1,13.2,14.4,18.5,18.5,18.7,20.3,13.1,13.1,13.2,14.4
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,-,-,-,対応,対応,対応,-,-,-,-,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,400,400,400,800,800,800,400,400,400,400,800,800,800,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,20-80,20-80,20-80,20-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 電動四輪駆動,-,-,● 電動四輪駆動,-,-,-,● 電動四輪駆動,-,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）","● 255/50 R20
○ 255/45 R21（10,000元）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
