セクション,項目,智界R7 2026款 增程 Max,智界R7 2026款 增程 Max+,智界R7 2026款 增程 Ultra,智界R7 2026款 纯电 Max,智界R7 2026款 纯电 Max+,智界R7 2026款 纯电 UItra,智界R7 2025款 增程 251km Pro,智界R7 2025款 增程 251km Max,智界R7 2025款 增程 360km Max,智界R7 2025款 增程 331km Ultra,智界R7 2024款 纯电 667km Pro,智界R7 2024款 纯电 667km Max,智界R7 2024款 纯电 802km Max,智界R7 2024款 纯电 736km UItra
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)","● 255/50 R20
○ 255/45 R21 (10000元)"
车轮制动,后轮胎规格,"● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21","● 255/50 R20
○ 255/45 R21"
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,前排中间气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,"● 悬架软硬调节
○ 悬架高低调节","● 悬架软硬调节
● 悬架高低调节",● 悬架软硬调节,"● 悬架软硬调节
○ 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,-,○ (10000元),●,-,○ (10000元),●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 10个,● 11个,● 11个,● 11个,● 10个,● 11个,● 11个,● 11个
驾驶硬件,车内摄像头数量,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达品牌,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,-,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,-,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为
驾驶硬件,激光雷达数量,● 2个,● 2个,● 2个,● 2个,● 2个,● 2个,-,● 1个,● 1个,● 1个,-,● 1个,● 1个,● 1个
驾驶硬件,激光雷达线数,● 192线,● 192线,● 192线,● 192线,● 192线,● 192线,-,● 192线,● 192线,● 192线,-,● 192线,● 192线,● 192线
驾驶硬件,激光雷达10%反射率探测距离,● 180米,● 180米,● 180米,● 180米,● 180米,● 180米,-,● 180米,● 180米,● 180米,-,● 180米,● 180米,● 180米
驾驶硬件,激光雷达点云数量,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,● 184万/秒,-,● 184万/秒,● 184万/秒,● 184万/秒,-,● 184万/秒,● 184万/秒,● 184万/秒
驾驶硬件,前方最大探测距离,● 250米,● 250米,● 250米,● 250米,● 250米,● 250米,-,● 250米,● 250米,● 250米,-,● 250米,● 250米,● 250米
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●
