セクション,セクション_ja,項目,項目_ja,2025年モデル 510 Air,2025年モデル 510 Pro,2025年モデル 510 Max,2025年モデル 625 Pro,2025年モデル 625 Max
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.23,0.23,0.23,0.23,0.23
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6.6,6.6,6.6,6.6,6.6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/55 R17,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/55 R17,● 225/45 R19,● 225/45 R19,● 225/45 R19,● 225/45 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,●,-,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,●,-,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,●,-,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,-,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 経済 標準/快適 カスタム/個性化,● スポーツ 経済 標準/快適 カスタム/個性化,● スポーツ 経済 標準/快適 カスタム/個性化,● スポーツ 経済 標準/快適 カスタム/個性化,● スポーツ 経済 標準/快適 カスタム/個性化
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,● 前席/後席,-,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,-,● NVIDIA Drive Orin,-,● NVIDIA Drive Orin
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● 単眼カメラ,● ステレオカメラ,● 単眼カメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 5個,● 7個,● 5個,● 7個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,● 1個,● 2個,● 1個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,-,-,● 12個,-,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,-,● 3個,-,● 3個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,● Momenta,-,● Momenta
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,●,-,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,●,-,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,-,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,●,-,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,-,-,●,-,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,●,-,●
驾驶功能,運転機能,记忆泊车,メモリーパーク,-,-,●,-,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,-,●,-,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動出入支援,-,-,●,-,●
驾驶功能,運転機能,信号灯识别,信号認識,-,-,●,-,●
驾驶功能,運転機能,方向盘离手检测,ハンドル離し検知,-,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,● 市街地 高速道路,-,● 市街地 高速道路
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー,● リモコンキー Bluetoothキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブクローズグリル,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリープリヒート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特長機能,-,○ ピクセル式,○ ピクセル式,○ ピクセル式,○ ピクセル式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト表示,-,○,○,○,○
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウ昇降機能,● 車全体,● 車全体,● 車全体,● 車全体,● 車全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席 助手席,● 運転席 助手席,● 運転席＋照明 助手席＋照明,● 運転席 助手席,● 運転席＋照明 助手席＋照明
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,ディスプレイ・システム,中控液晶屏分屏显示,センター液晶画面分割表示,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応,● CarPlay対応 HUAWEI HiCar対応 Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓 シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン 窓 シートヒーター シートベンチレーション シートマッサージ
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小ニ,● こんにちは、小ニ,● こんにちは、小ニ,● こんにちは、小ニ,● こんにちは、小ニ
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン,● クアッドゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,-,● 接続済み,● 接続済み,● 接続済み,● 接続済み
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● NISSAN OS,● NISSAN OS,● NISSAN OS,● NISSAN OS,● NISSAN OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8295P
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 32,● 16,● 32
屏幕/系统,ディスプレイ・システム,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 256,● 128,● 256
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●
智能化配置,スマート機能装備,车内生物监测系统,車内バイオモニタリングシステム,-,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア制御 エンジン始動 充電管理 エアコン制御 車両状態確認・診断 位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア制御 エンジン始動 充電管理 エアコン制御 シートヒーター シートベンチレーション 車両状態確認・診断 位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア制御 エンジン始動 充電管理 エアコン制御 シートヒーター シートベンチレーション 車両状態確認・診断 位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア制御 エンジン始動 充電管理 エアコン制御 シートヒーター シートベンチレーション 車両状態確認・診断 位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア制御 エンジン始動 充電管理 エアコン制御 シートヒーター シートベンチレーション 車両状態確認・診断 位置特定・車両探索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）
智能化配置,スマート機能装備,模拟声浪,シミュレートエンジンサウンド,-,●,●,●,●
智能化配置,スマート機能装備,车载KTV,車載カラオケ機能,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 27W,● 27W,● 27W,● 27W,● 27W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● レザー／スエード素材ミックス,● レザー／スエード素材ミックス,● レザー／スエード素材ミックス,● レザー／スエード素材ミックス,● レザー／スエード素材ミックス
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向） レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）,● 前後調整 背もたれ調整 高さ調整（2方向） レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）,● 前後調整 背もたれ調整 高さ調整（2方向） レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）,● 前後調整 背もたれ調整 高さ調整（2方向） レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）,前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）,前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）,前後調整 背もたれ調整 レッグレスト調整 腰部サポート（4方向） サイドサポート（アクティブ）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,運転席 助手席,運転席 助手席,運転席 助手席,運転席 助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-
