セクション,項目,揽境 2026款 450TSI 四驱至尊 7座,揽境 2026款 450TSI 四驱至尊 6座,揽境 2026款 450TSI 四驱旗舰 7座,揽境 2026款 450TSI 四驱旗舰 6座,揽境 2025款 380TSI 四驱豪华佳境Pro 众享款 6座,揽境 2025款 380TSI 四驱豪华佳境Pro 众享款 7座
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15英寸,● 15英寸,● 15英寸,● 15英寸,● 12英寸,● 12英寸
屏幕/系统,中控屏幕分辨率,● 2K,● 2K,● 2K,● 2K,-,-
屏幕/系统,副驾娱乐屏尺寸,● 11.6英寸,● 11.6英寸,● 11.6英寸,● 11.6英寸,-,-
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife 原厂互联/映射 支持HUAWEI HiCar,● 支持CarPlay 支持CarLife,● 支持CarPlay 支持CarLife
屏幕/系统,语音识别控制系统,多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风,多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风,多媒体系统 导航 电话 空调 天窗 车窗 座椅加热 座椅通风 座椅按摩,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调
屏幕/系统,语音助手唤醒词,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众
屏幕/系统,语音免唤醒词,●,●,●,●,-,-
屏幕/系统,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 单区域,● 单区域
屏幕/系统,语音连续识别,●,●,●,●,-,-
屏幕/系统,可见即可说,●,●,●,●,-,-
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,-,-
屏幕/系统,应用商店,●,●,●,●,-,-
屏幕/系统,车载智能系统,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,-,-
屏幕/系统,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,-,-
屏幕/系统,车机系统内存(GB),● 12,● 12,● 12,● 12,-,-
屏幕/系统,车机系统存储(GB),● 128,● 128,● 128,● 128,-,-
智能化配置,车联网,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 4G,● 4G
智能化配置,OTA升级,●,●,●,●,-,-
智能化配置,Wi-Fi热点,●,●,●,●,-,-
智能化配置,V2X通讯,●,●,●,●,-,-
智能化配置,手机APP远程功能,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车辆启动 空调控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,● 车门控制 车况查询/诊断 车辆定位/寻车,● 车门控制 车况查询/诊断 车辆定位/寻车
智能化配置,车载KTV,●,●,●,●,-,-
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,-,●,●
方向盘/内后视镜,方向盘加热,○,○,○,○,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,HUD抬头数字显示,○ (6000元),○ (6000元),●,●,-,-
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○,○,○,○,○,○
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排4个,● 前排2个/后排6个,● 前排2个/后排4个,● 前排2个/后排6个,● 前排5个/后排6个,● 前排5个/后排4个
车内充电,USB/Type-C最大充电功率,● 45W,● 45W,● 45W,● 45W,-,-
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 40W,● 40W,● 40W,● 40W,● 15W,● 15W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,○ 加热 通风 (3000元),○ 加热 通风 (3000元),加热 通风,加热 通风,○ 加热 通风,○ 加热 通风
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 前后调节 靠背调节,前后调节 靠背调节 腰部调节,● 前后调节 靠背调节,前后调节 靠背调节 腰部调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,第二排座椅电动调节,-,●,-,●,●,-
座椅配置,第二排座椅功能,○ 加热,○ 加热 通风 按摩,○ 加热,○ 加热 通风 按摩,○ 加热 通风 按摩,○ 加热
座椅配置,第二排独立座椅,-,●,-,●,●,-
座椅配置,座椅布局,● 2-3-2,● 2-2-2,● 2-3-2,● 2-2-2,● 2-2-2,● 2-3-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Harman/Kardon哈曼卡顿 (6000元),○ Harman/Kardon哈曼卡顿 (6000元),● Harman/Kardon哈曼卡顿,● Harman/Kardon哈曼卡顿,-,-
音响/车内灯光,扬声器数量,9喇叭 12喇叭,9喇叭 12喇叭,● 12喇叭,● 12喇叭,● 8喇叭,● 8喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 30色,● 30色,● 30色,● 30色,● 30色,● 30色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●
颜色,外观颜色,锰石黑 珠光白 ￥2000 昊空蓝 黑色/珠光白 山影青 破晓蓝 黑色/破晓蓝 黑色/山影青,锰石黑 珠光白 ￥2000 昊空蓝 黑色/珠光白 山影青 破晓蓝 黑色/破晓蓝 黑色/山影青,锰石黑 珠光白 ￥2000 昊空蓝 黑色/珠光白 山影青 破晓蓝 黑色/破晓蓝 黑色/山影青,锰石黑 珠光白 ￥2000 昊空蓝 黑色/珠光白 山影青 破晓蓝 黑色/破晓蓝 黑色/山影青,锰石黑 珠光白 昊空蓝,锰石黑 珠光白 昊空蓝
颜色,内饰颜色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/灰色,黑色 黑色/灰色,黑色 黑色/灰色 棕色/米色,黑色 黑色/灰色 棕色/米色
选装包,双色车身,○ 包含：双色车身（黑色车顶） 选配 (2000元),○ 包含：双色车身（黑色车顶） 选配 (2000元),○ 包含：双色车身（黑色车顶） 选配 (2000元),○ 包含：双色车身（黑色车顶） 选配 (2000元),○ 包含：双色车身（黑色车顶） 选配 (2000元),○ 包含：双色车身（黑色车顶） 选配 (2000元)
选装包,车内加热包,○ 包含：前排座椅加热、第二排座椅加热、方向盘加热 选配 (3500元),○ 包含：前排座椅加热、第二排座椅加热、方向盘加热 选配 (3500元),○ 包含：前排座椅加热、第二排座椅加热、方向盘加热 选配 (3500元),○ 包含：前排座椅加热、第二排座椅加热、方向盘加热 选配 (3500元),-,-
选装包,高级大灯包2,○ 包含：IQ.Light光耀矩阵式大灯、MDFS智能动态灯光辅助功能、AFS大灯随动转向功能、前贯穿式双层LED灯带 选配 (8000元),○ 包含：IQ.Light光耀矩阵式大灯、MDFS智能动态灯光辅助功能、AFS大灯随动转向功能、前贯穿式双层LED灯带 选配 (8000元),-,-,-,-
选装包,躺赢包A,-,○ 包含：六座布局、前排座椅通风、第二排座椅通风、第二排老板座椅按摩 、第二排电动腰托、Exclusive专属徽标 选配 (6666元),-,-,-,-
选装包,躺赢包B,-,-,-,○ 包含：第二排老板座椅通风、第二排老板座椅按摩、第二排电动腰托、Exclusive专属徽标 选配 (5666元),-,-
选装包,躺赢包1,-,-,-,-,○ 包含：第二排老板座椅高级通风按摩功能、专属Exclusive 徽标、前排座椅通风 选配 (暂无价格),-
选装包,座椅通风包,-,-,-,-,○ 包含：前排座椅通风 选配 (暂无价格),○ 包含：前排座椅通风 选配 (暂无价格)
选装包,冬季包,-,-,-,-,○ 包含：前风挡加热、前风挡清洗喷嘴加热 选配 (3000元),○ 包含：前风挡加热、前风挡清洗喷嘴加热 选配 (3000元)
选装包,座椅加热包,-,-,-,-,○ 包含：前排座椅加热、第二排座椅加热 选配 (3000元),○ 包含：前排座椅加热、第二排座椅加热 选配 (3000元)
选装包,高级大灯包1,-,-,-,-,○ 包含：高级全LED前大灯、MDFS智能动态灯光辅助功能、AFS大灯随动转向功能 选配 (8000元),○ 包含：高级全LED前大灯、MDFS智能动态灯光辅助功能、AFS大灯随动转向功能 选配 (8000元)
