セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5Lハイブリッド 快適版,2026年モデル 2.5Lハイブリッド 豪華版,2026年モデル 2.5Lハイブリッド プレミアムPLUS版,2026年モデル 2.5Lハイブリッド プレミアム福祉PLUS版,2026年モデル 2.5Lハイブリッド プレミアムULTRA版,2026年モデル 2.5Lハイブリッド フラッグシップULTRA版,2026年モデル 2.5Lハイブリッド プレミアムPLUS 4WD版,2026年モデル 2.5Lハイブリッド プレミアムMAX 4WD版,2024年モデル 2.5Lハイブリッド 快適版,2024年モデル 2.5Lハイブリッド 豪華版,2024年モデル 2.5Lハイブリッド プレミアムPLUS版,2024年モデル 2.5Lハイブリッド プレミアム福祉PLUS版,2024年モデル 2.5Lハイブリッド プレミアムULTRA版,2024年モデル 2.5Lハイブリッド フラッグシップULTRA版,2024年モデル 2.5Lハイブリッド プレミアムPLUS 4WD版
基本参数,基本仕様,电动机(Ps),モーター（Ps）,182,182,182,182,182,182,237,237,182,182,182,182,182,182,237
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5175×1995×1765mm,5175×1995×1785mm,5175×1995×1785mm,5175×1995×1785mm,5175×1995×1785mm,5175×1995×1785mm,5175×1995×1785mm,5175×1995×1785mm,5175×1995×1765mm,5175×1995×1785mm,5175×1995×1785mm,5175×1995×1785mm,5175×1995×1785mm,5175×1995×1785mm,5175×1995×1785mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.71,5.77,5.66,5.77,5.66,5.66,6.13,6.13,5.71,5.77,5.66,5.77,5.66,5.66,6.13
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2090,2090,2165,2165,2165,2165,2155,2155,2090,2090,2165,2165,2165,2165,2165
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
车身,車体,长度(mm),全長(mm),5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175
车身,車体,宽度(mm),全幅(mm),1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
车身,車体,高度(mm),全高(mm),1765,1785,1785,1785,1785,1785,1785,1785,1765,1785,1785,1785,1785,1785,1785
车身,車体,轴距(mm),ホイールベース(mm),3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060
车身,車体,前轮距(mm),前トレッド(mm),1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725
车身,車体,后轮距(mm),後トレッド(mm),1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.7,5.5,5.7,5.7,5.5,5.5,5.7,5.7,5.7,5.7,5.7,5.7,5.7
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,車体,油箱容积(L),燃料タンク容量(L),68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
车身,車体,后备厢容积(L),トランク容量(L),525-2112,525-2112,525-2112,525-1545,525-2112,525-2112,525-2112,525-2112,525-2112,525-2112,525-2112,525-1545,525-2112,525-2112,525-2112
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,A25H,A25H,A25H,A25H,A25H,A25H,A25H,A25H,A25H,A25H,A25H,A25H,A25H,A25H,A25H
发动机,エンジン,排量(mL),排気量(mL),2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487
发动机,エンジン,排量(L),排気量(L),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
发动机,エンジン,最大功率(kW),最大出力(kW),139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),236,236,236,236,236,236,236,236,236,236,236,236,236,236,236
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700,4200-4700
发动机,エンジン,最大净功率(kW),最大出力(kW),139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
发动机,エンジン,发动机特有技术,エンジン独自技術,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射,複合噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),134,134,134,134,134,134,174,174,134,134,134,134,134,134,174
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),182,182,182,182,182,182,237,237,182,182,182,182,182,182,237
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),270,270,270,270,270,270,391,391,270,270,270,270,270,270,391
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,-,-,-,-,40,40,-,-,-,-,-,-,40
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,-,-,-,-,-,121,121,-,-,-,-,-,-,121
电动机,モーター,系统综合功率(kW),システム総合出力(kW),181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
电动机,モーター,系统综合功率(Ps),システム総合出力(Ps),246,246,246,246,246,246,246,246,246,246,246,246,246,246,246
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,デュアルモーター,デュアルモーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置,前置,前置,前置,前置,前置,前後置,前後置,前置,前置,前置,前置,前置,前置,前後置
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池,● ニッケル水素電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,"● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ","● PRIMEARTH
● 新中源トヨタ"
电池/充电,バッテリー/充電,电池组质保,バッテリー保証,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,-,-,-,● 電動四輪駆動,● 電動四輪駆動,-,-,-,-,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/65 R17,● 235/60 R18,● 235/50 R20,● 235/60 R18,● 235/50 R20,● 235/50 R20,● 235/60 R18,● 235/60 R18,● 235/65 R17,● 235/60 R18,● 235/50 R20,● 235/60 R18,● 235/50 R20,● 235/50 R20,● 235/60 R18
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/65 R17,● 235/60 R18,● 235/50 R20,● 235/60 R18,● 235/50 R20,● 235/50 R20,● 235/60 R18,● 235/60 R18,● 235/65 R17,● 235/60 R18,● 235/50 R20,● 235/60 R18,● 235/50 R20,● 235/50 R20,● 235/60 R18
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席 ●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
