セクション,項目,小米SU7 2024款 后驱长续航智驾版,小米SU7 2024款 后驱超长续航高阶智驾Pro版,小米SU7 2024款 四驱超长续航高阶智驾Max版
电池/充电,CLTC纯电续航里程(km),700,830,800
电池/充电,电池能量(kWh),73.6,94.3,101
电池/充电,百公里耗电量(kWh/100km),12.3,12.9,13.7
电池/充电,快充功能,支持,支持,支持
电池/充电,高压快充,-,-,支持
电池/充电,高压平台（V）,400,400,800
电池/充电,电池快充时间(小时),0.42,0.5,0.32
电池/充电,电池快充电量范围(%),10-80,10-80,10-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.5,3.5,3.5
电池/充电,对外直流放电功率(kW),6.6,6.6,6.6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 双电机四驱
底盘转向,四驱形式,-,-,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,245/45 R19 245/40 R20 (8000元),245/45 R19 245/40 R20 (8000元),245/45 R19 245/35 R21 (1.30万元) 245/40 R20 (6000元)
车轮制动,后轮胎规格,245/45 R19 245/40 R20,245/45 R19 245/40 R20,245/45 R19 265/40 R20 265/35 R21
车轮制动,备胎规格,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,● 前 / 后-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,● 前 / 后
被动安全,前排中间气囊,●,●,●
被动安全,被动行人保护,●,●,●
主动安全,ABS防抱死,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●
主动安全,车道偏离预警系统,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●
主动安全,疲劳驾驶提示,●,●,●
主动安全,DOW开门预警,●,●,●
主动安全,前方碰撞预警,●,●,●
主动安全,后方碰撞预警,●,●,●
主动安全,哨兵模式/千里眼,●,●,●
主动安全,低速行车警告,●,●,●
主动安全,内置行车记录仪,●,●,●
主动安全,道路救援呼叫,●,●,●
驾驶操控,驾驶模式切换,● 运动 标准/舒适 雪地 自定义/个性化,● 运动 标准/舒适 雪地 自定义/个性化,● 运动 标准/舒适 雪地 自定义/个性化
驾驶操控,能量回收系统,●,●,●
驾驶操控,自动驻车,●,●,●
驾驶操控,上坡辅助,●,●,●
驾驶操控,可变悬架功能,-,-,● 悬架软硬调节 悬架高低调节
驾驶操控,空气悬架,-,-,●
驾驶硬件,前/后驻车雷达,● 前 / 后,● 前 / 后,● 前 / 后
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●
驾驶硬件,辅助驾驶芯片,● 英伟达 Drive Orin,● 2颗 英伟达 Drive Orin,● 2颗 英伟达 Drive Orin
驾驶硬件,芯片总算力,● 84 TOPS,● 508 TOPS,● 508 TOPS
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万
驾驶硬件,环境感知摄像头像素,● 300万,● 300万,● 300万
驾驶硬件,环视摄像头像素,● 300万,● 300万,● 300万
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 1个,● 3个,● 3个
驾驶硬件,激光雷达品牌,-,● HESAI禾赛科技,● HESAI禾赛科技
驾驶硬件,激光雷达型号,-,● AT128,● AT128
驾驶硬件,激光雷达数量,-,● 1个,● 1个
驾驶硬件,激光雷达线数,-,● 128线,● 128线
驾驶硬件,激光雷达10%反射率探测距离,-,● 200米,● 200米
驾驶硬件,激光雷达点云数量,-,● 153万/秒,● 153万/秒
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Xiaomi Pilot Pro,● Xiaomi HAD,● Xiaomi HAD
驾驶功能,辅助驾驶等级,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●
驾驶功能,卫星导航系统,●,●,●
驾驶功能,导航路况信息显示,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●
驾驶功能,车道保持辅助系统,●,●,●
驾驶功能,车道居中保持,●,●,●
驾驶功能,道路交通标识识别,●,●,●
驾驶功能,辅助泊车入位,●,●,●
驾驶功能,遥控泊车,●,●,●
驾驶功能,记忆泊车,○,○,○
驾驶功能,循迹倒车,○,○,○
驾驶功能,辅助变道,●,●,●
驾驶功能,辅助匝道自动驶出(入),○,○,○
驾驶功能,信号灯识别,-,○,○
驾驶功能,远程召唤,○,○,○
驾驶功能,方向盘离手检测,●,●,●
驾驶功能,起步提醒,●,●,●
驾驶功能,辅助驾驶路段,○ 高速路段,○ 城市路段 高速路段,○ 城市路段 高速路段
外观/防盗,电动扰流板,-,○ (6000元),●
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,-,-,● 全车
外观/防盗,无框设计车门,●,●,●
外观/防盗,电动后备厢,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●
外观/防盗,车内中控锁,●,●,●
外观/防盗,钥匙类型,遥控钥匙 (399元) 蓝牙钥匙 NFC/RFID钥匙 智能手表/手环钥匙,遥控钥匙 (399元) 蓝牙钥匙 NFC/RFID钥匙 智能手表/手环钥匙,遥控钥匙 (399元) 蓝牙钥匙 NFC/RFID钥匙 智能手表/手环钥匙
外观/防盗,无钥匙启动系统,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,●,●,●
外观/防盗,远程启动功能,●,●,●
外观/防盗,电池预加热,●,●,●
外观/防盗,对外放电,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●
车外灯光,自适应远近光,●,●,●
车外灯光,自动头灯,●,●,●
车外灯光,转向辅助灯,●,●,●
车外灯光,车前雾灯,-,-,-
车外灯光,大灯高度可调,●,●,●
车外灯光,大灯延时关闭,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●
天窗/玻璃,后排侧隐私玻璃,●,●,●
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯
天窗/玻璃,后雨刷,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 16.1英寸,● 16.1英寸,● 16.1英寸
屏幕/系统,中控屏幕分辨率,● 3K,● 3K,● 3K
屏幕/系统,中控屏幕像素密度,● 225PPI,● 225PPI,● 225PPI
屏幕/系统,蓝牙/车载电话,●,●,●
屏幕/系统,手机互联/映射,● 支持CarPlay 原厂互联/映射 支持Carlink,● 支持CarPlay 原厂互联/映射 支持Carlink,● 支持CarPlay 原厂互联/映射 支持Carlink
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风,● 多媒体系统 导航 电话 空调 车窗 座椅加热 座椅通风
屏幕/系统,语音助手唤醒词,● 小爱同学,● 小爱同学,● 小爱同学
屏幕/系统,语音免唤醒词,●,●,●
屏幕/系统,语音分区域唤醒识别,● 五区域,● 五区域,● 五区域
屏幕/系统,语音连续识别,●,●,●
屏幕/系统,可见即可说,●,●,●
屏幕/系统,声纹识别,●,●,●
屏幕/系统,应用商店,●,●,●
屏幕/系统,车载智能系统,● 澎湃OS,● 澎湃OS,● 澎湃OS
屏幕/系统,车机智能芯片,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295
屏幕/系统,后排液晶屏幕,○,○,○
屏幕/系统,后排液晶屏幕尺寸,○ 11英寸 12.4英寸,○ 11英寸 12.4英寸,○ 11英寸 12.4英寸
屏幕/系统,后排多媒体屏幕数量,○ 2个,○ 2个,○ 2个
屏幕/系统,后排控制多媒体,○,○,○
智能化配置,车联网,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●
智能化配置,Wi-Fi热点,●,●,●
智能化配置,手机APP远程功能,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）,● 车门控制 车窗控制 车辆启动 充电管理 空调控制 方向盘加热 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等）
智能化配置,模拟声浪,○,○,●
智能化配置,车载KTV,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 7.1英寸,● 7.1英寸,● 7.1英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,●
方向盘/内后视镜,HUD抬头尺寸,-,-,● 56英寸
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个
车内充电,USB/Type-C最大充电功率,● 67W,● 67W,● 67W
车内充电,手机无线充电功能,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●
座椅配置,座椅材质,真皮 (8000元) 仿皮,真皮 (8000元) 仿皮,真皮 (8000元) 仿皮
座椅配置,运动风格座椅,●,●,●
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向) 侧翼支撑(主动)
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,● 加热 通风 头枕扬声器(仅驾驶位),● 加热 通风 头枕扬声器(仅驾驶位),● 加热 通风 头枕扬声器(仅驾驶位)
座椅配置,电动座椅记忆功能,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位,● 驾驶位 副驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-
座椅配置,第二排座椅调节,-,-,-
座椅配置,第二排座椅功能,● 加热,● 加热,● 加热
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-
音响/车内灯光,扬声器数量,10喇叭 25喇叭 (6000元),10喇叭 25喇叭 (6000元),● 25喇叭
音响/车内灯光,杜比全景声(Dolby Atmos),○,○,●
音响/车内灯光,车内环境氛围灯,● 256色,● 256色,● 256色
音响/车内灯光,主动式环境氛围灯,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●
空调/冰箱,后排独立空调,-,-,-
空调/冰箱,后座出风口,●,●,●
空调/冰箱,温度分区控制,●,●,●
空调/冰箱,车载空气净化器,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●
空调/冰箱,车内香氛装置,○ (399元),○ (399元),○ (399元)
空调/冰箱,空气质量监测,●,●,●
空调/冰箱,车载冰箱,○ (2000元),○ (2000元),○ (2000元)
特色配置,人车家生态空间,●,●,●
特色配置,生态拓展空间,●,●,●
颜色,外观颜色,海湾蓝 橄榄绿 雅灰 霞光紫 ￥7000 熔岩橙 ￥7000 寒武岩灰 ￥7000 流星蓝 ￥7000 珍珠白 ￥7000 钻石黑 ￥7000 璀璨洋红 ￥9000,海湾蓝 橄榄绿 雅灰 霞光紫 ￥7000 熔岩橙 ￥7000 寒武岩灰 ￥7000 流星蓝 ￥7000 珍珠白 ￥7000 钻石黑 ￥7000 璀璨洋红 ￥9000,海湾蓝 橄榄绿 雅灰 霞光紫 ￥7000 熔岩橙 ￥7000 寒武岩灰 ￥7000 流星蓝 ￥7000 珍珠白 ￥7000 钻石黑 ￥7000 璀璨洋红 ￥9000
颜色,内饰颜色,曜石黑 ￥3000 银河灰 ￥3000 暮光红 迷雾紫 米灰色,曜石黑 ￥3000 银河灰 ￥3000 暮光红 迷雾紫 米灰色,曜石黑 ￥3000 银河灰 ￥3000 暮光红 迷雾紫 米灰色
选装包,车载手机支架,○ 包含：车载手机支架99元、车载无线充手机支架149元 选配 (暂无价格),○ 包含：车载手机支架99元、车载无线充手机支架149元 选配 (暂无价格),○ 包含：车载手机支架99元、车载无线充手机支架149元 选配 (暂无价格)
选装包,米家前风挡遮阳伞,○ 包含：米家前风挡遮阳伞 选配 (129元),○ 包含：米家前风挡遮阳伞 选配 (129元),○ 包含：米家前风挡遮阳伞 选配 (129元)
选装包,米家车载舒适头枕,○ 包含：米家车载舒适头枕 选配 (149元),○ 包含：米家车载舒适头枕 选配 (149元),○ 包含：米家车载舒适头枕 选配 (149元)
选装包,对讲机充电座,○ 包含：对讲机充电座 选配 (169元),○ 包含：对讲机充电座 选配 (169元),○ 包含：对讲机充电座 选配 (169元)
选装包,拾音氛围灯,○ 包含：拾音氛围灯 选配 (199元),○ 包含：拾音氛围灯 选配 (199元),○ 包含：拾音氛围灯 选配 (199元)
选装包,米家多功能强光手电筒,○ 包含：米家多功能强光手电筒 选配 (199元),○ 包含：米家多功能强光手电筒 选配 (199元),○ 包含：米家多功能强光手电筒 选配 (199元)
选装包,全景天幕遮阳帘,○ 包含：全景天幕遮阳帘 选配 (299元),○ 包含：全景天幕遮阳帘 选配 (299元),○ 包含：全景天幕遮阳帘 选配 (299元)
选装包,车载前备箱收纳盒,○ 包含：车载前备箱收纳盒 选配 (299元),○ 包含：车载前备箱收纳盒 选配 (299元),○ 包含：车载前备箱收纳盒 选配 (299元)
选装包,车载后备箱收纳盒,○ 包含：车载后备箱收纳盒 选配 (399元),○ 包含：车载后备箱收纳盒 选配 (399元),○ 包含：车载后备箱收纳盒 选配 (399元)
选装包,椅背平板支架套裝,○ 包含：椅背平板支架套裝 选配 (399元),○ 包含：椅背平板支架套裝 选配 (399元),○ 包含：椅背平板支架套裝 选配 (399元)
选装包,智能香氛机套装,○ 包含：智能香氛机套装 选配 (399元),○ 包含：智能香氛机套装 选配 (399元),○ 包含：智能香氛机套装 选配 (399元)
选装包,小米对讲机3,○ 包含：小米对讲机3 选配 (449元),○ 包含：小米对讲机3 选配 (449元),○ 包含：小米对讲机3 选配 (449元)
选装包,车载K歌麦克风,○ 包含：车载K歌麦克风 选配 (499元),○ 包含：车载K歌麦克风 选配 (499元),○ 包含：车载K歌麦克风 选配 (499元)
选装包,中控屏物理按鍵,○ 包含：中控屏物理按鍵 选配 (499元),○ 包含：中控屏物理按鍵 选配 (499元),○ 包含：中控屏物理按鍵 选配 (499元)
选装包,户外蓝牙音箱,○ 包含:户外蓝牙音箱 选配 (699元),○ 包含:户外蓝牙音箱 选配 (699元),○ 包含:户外蓝牙音箱 选配 (699元)
选装包,智能双表盘,○ 包含：智能双表盘 选配 (699元),○ 包含：智能双表盘 选配 (699元),○ 包含：智能双表盘 选配 (699元)
选装包,智能底盘氛围灯,○ 包含：智能底盘氛围灯 选配 (999元),○ 包含：智能底盘氛围灯 选配 (999元),○ 包含：智能底盘氛围灯 选配 (999元)
选装包,高性能制动套装,○ 包含：高性能制动片、高沸点刹车油 选配 (4133元),○ 包含：高性能制动片、高沸点刹车油 选配 (4133元),○ 包含：高性能制动片、高沸点刹车油 选配 (4133元)
选装包,Xiaomi Pilot Pro增强功能,○ 包含：高速领航辅助、加减速变道、出入匝道、自动控速、自动超车、弯道自适应、施工避让、大车两级避让、拥堵防加塞、汇流口避让 选配 (18000元),-,-
选装包,Xiaomi HAD,-,○ 包含：高速领航辅助：加减速变道、出入匝道、自动控速、自动超车、弯道自适应、施工避让、大车两级避让、拥堵防加塞、汇流口避让、城市领航辅助：红绿灯通行、加减速变道、绕行避让、路口左右转、礼让行人、拥堵防加塞、两轮车避让、 施工避让、特殊车辆识别 选配 (26000元),○ 包含：高速领航辅助：加减速变道、出入匝道、自动控速、自动超车、弯道自适应、施工避让、大车两级避让、拥堵防加塞、汇流口避让、城市领航辅助：红绿灯通行、加减速变道、绕行避让、路口左右转、礼让行人、拥堵防加塞、两轮车避让、 施工避让、特殊车辆识别 选配 (26000元)
