セクション,セクション_ja,項目,項目_ja,2024年モデル 後輪駆動 長距離走行スマートドライブ版,2024年モデル 後輪駆動 超長距離走行上位スマートドライブPro版,2024年モデル 4WD 超長距離走行上位スマートドライブMax版
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,フロント＋リア配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● CATL フォーディ,● CATL,● CATL
电池/充电,バッテリー／充電,电池特有技术,バッテリー独自技術,シェンシン電池／ブレード電池,シェンシン電池,キリン電池
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),700,830,800
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),73.6,94.3,101
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),12.3,12.9,13.7
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応
电池/充电,バッテリー／充電,高压快充,高圧急速充電,-,-,対応
电池/充电,バッテリー／充電,高压平台（V）,高圧プラットフォーム（V）,400,400,800
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.42,0.5,0.32
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),3.5,3.5,3.5
电池/充电,バッテリー／充電,对外直流放电功率(kW),外部直流放電出力(kW),6.6,6.6,6.6
变速箱,トランスミッション,简称,略称,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置リア駆動,● リア配置リア駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,245/45 R19 245/40 R20（8000元）,245/45 R19 245/40 R20（8000元）,245/45 R19 245/35 R21（1.3万元） 245/40 R20（6000元）
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,245/45 R19 245/40 R20,245/45 R19 245/40 R20,245/45 R19 265/40 R20 265/35 R21
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ 標準／快適 雪道 カスタム／パーソナライズ,● スポーツ 標準／快適 雪道 カスタム／パーソナライズ,● スポーツ 標準／快適 雪道 カスタム／パーソナライズ
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,● サスペンション硬軟調整 サスペンション高さ調整
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,-,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席／後席,● 前席／後席,● 前席／後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Drive Orin,● NVIDIA Drive Orin 2基,● NVIDIA Drive Orin 2基
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 84 TOPS,● 508 TOPS,● 508 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,● 300万画素,● 300万画素,● 300万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全方位カメラ画素数,● 300万画素,● 300万画素,● 300万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 1個,● 3個,● 3個
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,-,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー
驾驶硬件,運転ハードウェア,激光雷达型号,LiDAR型番,-,● AT128,● AT128
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR台数,-,● 1個,● 1個
驾驶硬件,運転ハードウェア,激光雷达线数,LiDARレーザーライン数,-,● 128ライン,● 128ライン
驾驶硬件,運転ハードウェア,激光雷达10%反射率探测距离,LiDAR 10%反射率検出距離,-,● 200m,● 200m
驾驶硬件,運転ハードウェア,激光雷达点云数量,LiDAR点群数,-,● 153万点/秒,● 153万点/秒
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Xiaomi Pilot Pro,● Xiaomi HAD,● Xiaomi HAD
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況表示,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●
驾驶功能,運転機能,记忆泊车,駐車メモリー機能,○,○,○
驾驶功能,運転機能,循迹倒车,トレースバック駐車,○,○,○
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,○,○,○
驾驶功能,運転機能,信号灯识别,信号機認識,-,○,○
驾驶功能,運転機能,远程召唤,リモートサモン,○,○,○
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,○ 高速道路区間,○ 市街地区間・高速道路区間,○ 市街地区間・高速道路区間
外观/防盗,エクステリア・盗難防止,电动扰流板,電動スポイラー,-,○ （6000元）,●
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,-,-,● 全車
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,リモコンキー（399元）、Bluetoothキー、NFC/RFIDキー、スマートウォッチ/リストバンドキー,リモコンキー（399元）、Bluetoothキー、NFC/RFIDキー、スマートウォッチ/リストバンドキー,リモコンキー（399元）、Bluetoothキー、NFC/RFIDキー、スマートウォッチ/リストバンドキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席／後席,● 前席／後席,● 前席／後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席サイドプライバシーガラス,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー機能,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 16.1インチ,● 16.1インチ,● 16.1インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センター画面解像度,● 3K解像度,● 3K解像度,● 3K解像度
屏幕/系统,ディスプレイ・システム,中控屏幕像素密度,センター画面ピクセル密度,● 225PPI,● 225PPI,● 225PPI
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 純正連携/ミラーリング対応 Carlink対応,● CarPlay対応 純正連携/ミラーリング対応 Carlink対応,● CarPlay対応 純正連携/ミラーリング対応 Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション,● マルチメディアシステム ナビ 電話 エアコン 窓 座席ヒーター 座席ベンチレーション
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● XiaoAI（シャオアイ）,● XiaoAI（シャオアイ）,● XiaoAI（シャオアイ）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 5ゾーン（エアコン）,● 5ゾーン（エアコン）,● 5ゾーン（エアコン）
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● 澎湃OS,● 澎湃OS,● 澎湃OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶画面,○,○,○
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶画面サイズ,○ 11インチ・12.4インチ,○ 11インチ・12.4インチ,○ 11インチ・12.4インチ
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後席マルチメディア画面数,○ 2個,○ 2個,○ 2個
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,○,○,○
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 5G対応,● 5G対応,● 5G対応
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 ステアリングヒーター 座席ヒーター 座席ベンチレーション 車両状態確認/診断 車両位置特定/車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 ステアリングヒーター 座席ヒーター 座席ベンチレーション 車両状態確認/診断 車両位置特定/車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 ステアリングヒーター 座席ヒーター 座席ベンチレーション 車両状態確認/診断 車両位置特定/車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等）
智能化配置,スマート機能装備,模拟声浪,エンジンサウンドシミュレーション,○,○,●
智能化配置,スマート機能装備,车载KTV,車載カラオケ,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー調,● レザー調,● レザー調
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7.1インチ,● 7.1インチ,● 7.1インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,ヘッドアップディスプレイサイズ,-,-,● 56インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電端子,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席4個／後席2個,● 前席4個／後席2個,● 前席4個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 67W,● 67W,● 67W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,●
座椅配置,シート装備,座椅材质,シート素材,本革（8000元） 合成皮革,本革（8000元） 合成皮革,本革（8000元） 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向） サイドサポート（アクティブ）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター ベンチレーション ヘッドレストスピーカー（運転席のみ）,● ヒーター ベンチレーション ヘッドレストスピーカー（運転席のみ）,● ヒーター ベンチレーション ヘッドレストスピーカー（運転席のみ）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席 助手席,● 運転席 助手席,● 運転席 助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● ヒーター付き,● ヒーター付き,● ヒーター付き
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方式,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,10スピーカー 25スピーカー (6000元),10スピーカー 25スピーカー (6000元),● 25スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス（Dolby Atmos）,○,○,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色表示,● 256色表示,● 256色表示
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●
