セクション,項目,宏光MINIEV 2025款 四门版 进阶款,宏光MINIEV 2025款 四门版 臻享款,宏光MINIEV 2025款 四门版 臻享+款,宏光MINIEV 2024款 第三代 120km,宏光MINIEV 2024款 第三代 170km,宏光MINIEV 2024款 第三代 215km 青春版,宏光MINIEV 2024款 第三代 215km 进阶版,宏光MINIEV 2022款 轻松款 三元锂,宏光MINIEV 2022款 轻松款 磷酸铁锂,宏光MINIEV 2022款 自在款 三元锂,宏光MINIEV 2022款 自在款 磷酸铁锂,宏光MINIEV 2022款 悦享款 三元锂,宏光MINIEV 2022款 悦享款 磷酸铁锂,宏光MINIEV 2022款 马卡龙时尚款 三元锂,宏光MINIEV 2022款 马卡龙时尚款 磷酸铁锂,宏光MINIEV 2022款 马卡龙臻享款 三元锂,宏光MINIEV 2022款 马卡龙臻享款 磷酸铁锂,宏光MINIEV 2022款 马卡龙缤纷款 三元锂,宏光MINIEV 2022款 马卡龙缤纷款 磷酸铁锂,宏光MINIEV 2022款 马卡龙绘色款 三元锂,宏光MINIEV 2022款 马卡龙绘色款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 200km 玩乐款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 200km 玩咖款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 300km 玩乐款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 300km 玩咖款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 200km 都市追风限量版,宏光MINIEV 2022款 GAMEBOY 200km 竞速游侠限量版,宏光MINIEV 2022款 GAMEBOY 300km 都市追风限量版,宏光MINIEV 2022款 GAMEBOY 300km 竞速游侠限量版,宏光MINIEV 2022款 敞篷版
基本参数,电池快充电量范围(%),30-80,30-80,30-80,-,-,30-80,30-80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,电池慢充电量范围(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最大功率(kW),30,30,30,20,20,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30
基本参数,最大扭矩(N·m),-,-,-,85,85,92,92,85,85,85,85,85,85,85,85,85,85,85,85,85,85,110,110,110,110,110,110,110,110,110
基本参数,车身结构,5门4座两厢车,5门4座两厢车,5门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,2门2座软顶敞篷车
基本参数,电动机(Ps),41,41,41,27,27,41,41,27,27,27,27,27,27,27,27,27,27,27,27,27,27,41,41,41,41,41,41,41,41,41
基本参数,长*宽*高(mm),3256*1510*1578,3256*1510*1578,3256*1510*1578,3064*1493*1614,3064*1493*1629,3064*1493*1614,3064*1493*1629,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,3061*1520*1665,3061*1520*1665,3061*1520*1659,3061*1520*1659,3064*1521*1649,3089*1521*1604,3064*1521*1649,3089*1521*1604,3059*1521*1614
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,官方0-50km/h加速(s),4.9,4.9,4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
基本参数,电能当量燃料消耗量(L/100km),1.03,1.03,1.03,-,-,1.02,1.02,1,1,1,1,1.1,1.1,1,1,1.1,1.1,1,1,1.1,1.1,1.02,1.02,1.09,1.09,1.02,1.02,1.09,1.09,1.21
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或10万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),780,780,780,685,715,777,777,665,665,665,665,700,700,665,665,700,700,665,665,700,700,772,772,822,822,772,772,832,832,925
基本参数,最大满载质量(kg),1100,1100,1100,1000,1030,1095,1095,980,980,980,980,1020,1020,980,980,1020,1020,980,980,1020,1020,1080,1080,1150,1150,1080,1080,1150,1150,1100
车身,长度(mm),3256,3256,3256,3064,3064,3064,3064,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,3061,3061,3061,3061,3064,3089,3064,3089,3059
车身,宽度(mm),1510,1510,1510,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1520,1520,1520,1520,1521,1521,1521,1521,1521
车身,高度(mm),1578,1578,1578,1614,1629,1614,1629,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1665,1665,1659,1659,1649,1604,1649,1604,1614
车身,轴距(mm),2190,2190,2190,2010,2010,2010,2010,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,2010,2010,2010,2010,2010,2010,2010,2010,2010
车身,前轮距(mm),1282,1282,1282,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
车身,后轮距(mm),1290,1290,1290,1306,1306,1306,1306,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1306,1306,1306,1306,1306,1306,1306,1306,1306
车身,满载最小离地间隙(mm),120,120,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,空载最小离地间隙(mm),-,-,-,138,138,130,130,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,120,120,120,120,120
车身,接近角(°),22,22,22,25,25,25,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,23,23,23,23,26,22,26,22,24
车身,离去角(°),38,38,38,36,36,36,36,44,44,44,44,44,44,44,44,44,44,44,44,44,44,34,34,34,34,31,31,31,31,37
车身,最小转弯半径(m),4.5,4.5,4.5,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,软顶敞篷车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 3,● 2
车身,座位数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 2
车身,后备厢容积(L),123-745,123-745,123-745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,后电动机品牌,柳州赛克,柳州赛克,柳州赛克,双林汽车/浙江方正,双林汽车/浙江方正,双林汽车,双林汽车,双林汽车,双林汽车,双林汽车,双林汽车,双林汽车,双林汽车,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,浙江方正,双林汽车,双林汽车,浙江方正,浙江方正,双林汽车,双林汽车,双林汽车
电动机,后电动机型号,TZ155XZ230,TZ155XZ230,TZ155XZ230,TZ155X020/TZ160X020,TZ155X020/TZ160X020,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ155X030,TZ160X020,TZ160X020,TZ160X020,TZ160X020,TZ160X020,TZ160X020,TZ160X020,TZ160X020,TZ160X030,TZ160X030,TZ155X030,TZ155X030,TZ160X030,TZ160X030,TZ155X030,TZ155X030,TZ155X030
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),30,30,30,20,20,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30
电动机,电动机总马力(Ps),41,41,41,27,27,41,41,27,27,27,27,27,27,27,27,27,27,27,27,27,27,41,41,41,41,41,41,41,41,41
电动机,电动机总扭矩(N·m),-,-,-,85,85,92,92,85,85,85,85,85,85,85,85,85,85,85,85,85,85,110,110,110,110,110,110,110,110,110
电动机,后电动机最大功率(kW),30,30,30,20,20,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30
电动机,后电动机最大扭矩(N·m),-,-,-,85,85,92,92,85,85,85,85,85,85,85,85,85,85,85,85,85,85,110,110,110,110,110,110,110,110,110
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电系统质保,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里,● 八年或12万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代 国轩高科,● 宁德时代 国轩高科,● 宁德时代 国轩高科,● 蜂巢能源 柳州华霆,● 蜂巢能源 国轩高科 柳州科易,● 国轩高科 广西宁福,● 国轩高科 广西宁福,● 华霆,● 华霆,● 华霆,● 华霆,● 华霆,● 苏州科易,● 华霆,● 华霆,● 华霆,● 苏州科易,● 华霆,● 华霆,● 华霆,● 苏州科易,● 国轩高科 鹏辉电源,● 国轩高科 鹏辉电源,● 华霆 苏州科易,● 华霆 苏州科易,● 国轩高科 鹏辉电源,● 国轩高科 鹏辉电源,● 华霆 苏州科易,● 华霆 苏州科易,● 鹏辉电源
电池/充电,电池特有技术,神炼电池,神炼电池,神炼电池,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,换电,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
电池/充电,NEDC纯电续航里程(km),-,-,-,-,-,-,-,120,120,120,120,170,170,120,120,170,170,120,120,170,170,-,-,-,-,-,-,-,-,-
电池/充电,CLTC纯电续航里程(km),205,205,205,120,170,215,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,300,300,200,200,300,300,280
电池/充电,电池能量(kWh),16.2,16.2,16.2,9.3,13.4,17.3,17.3,9,9.3,9,9.3,13.8,13.9,9,9.3,13.8,13.9,9,9.3,13.8,13.9,17.3,17.3,26.5,26.5,17.3,17.3,26.5,26.5,26.5
电池/充电,电池能量密度(Wh/kg),125,125,125,-,-,-,-,100,98,100,98,110,115,100,98,110,115,100,98,110,115,115,115,130,130,115,115,130,130,130
电池/充电,百公里耗电量(kWh/100km),8.9,8.9,8.9,-,-,9,9,8.8,8.8,8.8,8.8,9.3,9.3,8.8,8.8,9.3,9.3,8.8,8.8,9.3,9.3,9,9,9.6,9.6,9,9,9.6,9.6,10.7
电池/充电,快充功能,支持,支持,支持,-,-,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
电池/充电,快充功率(kW),20,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池快充时间(小时),0.58,0.58,0.58,-,-,0.58,0.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池慢充时间(小时),4.8,4.8,4.8,4.6,6.8,5,5,6.5,6.5,6.5,6.5,9,9,6.5,6.5,9,9,6.5,6.5,9,9,5.5,5.5,8.5,8.5,5.5,5.5,8.5,8.5,8.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,-,-,30-80,30-80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池慢充电量范围(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,慢充接口位置,车正前,车正前,车正前,车正前,车正前,车正前,车正前,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,快充接口位置,车正前,车正前,车正前,-,-,车正前,车正前,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 整体桥式非独立悬架,● 整体桥式非独立悬架,● 整体桥式非独立悬架,● 多连杆非独立悬架,● 整体桥式非独立悬架,● 整体桥式非独立悬架,● 整体桥式非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架,● 多连杆非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,后制动器类型,● 鼓式,● 盘式,● 盘式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,● 手刹,● 电子驻车,● 电子驻车,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹
车轮制动,前轮胎规格,● 155/70 R13,● 155/70 R13,● 155/70 R13,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12,● 145/70 R12
